,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,dummyCoder
10,Case Western Reserve University,"There is a constant demand for better performing, more compact, lighter-weight, and lower-cost electronic devices. Unfortunately, the materials traditionally used to make components for electronic devices have reached their limits. Case Western Reserve University is developing capacitors made of new materials that could be used to produce the next generation of compact and efficient high-powered consumer electronics and electronic vehicles. A capacitor is an important component of an electronic device. It stores an electric charge and then discharges it into an electrical circuit in the device. Case Western is creating its capacitors from titanium, an abundant material extracted from ore which can be found in the U.S. Case Western's capacitors store electric charges on the surfaces of films, which are grown on a titanium alloy electrode that is formed as a spinal column with attached branches. The new material and spine design make the capacitor smaller and lighter than traditional capacitors, and they enable the component to store 300% more energy than capacitors of the same weight made of tantalum, the current industry standard. Case Western's titanium-alloy capacitors also spontaneously self-repair, which prolongs their life.
",2012-11-30,ADEPT,ALUMNI,?q=slick-sheet-project/titanium-alloy-power-capacitor,2010-09-01,Ohio,Titanium-Alloy Power Capacitor,Electrical Efficiency, ,2238263,0,Non-profit,Perish,Pivot
11,Center for Power Electronics Systems (CPES) at Virginia Tech,"The Center for Power Electronics Systems (CPES) at Virginia Tech is finding ways to save real estate on a computer's motherboard that could be used for other critical functions. Every computer processor today contains a voltage regulator that automatically maintains a constant level of electricity entering the device. These regulators contain bulky components and take up about 30% of a computer's motherboard. CPES is developing a voltage regulator that uses semiconductors made of gallium nitride on silicon (GaN-on-Si) and high-frequency soft magnetic material. These materials are integrated on a small, 3D chip that can handle the same amount of power as traditional voltage regulators at 1/10 the size and with improved efficiency. The small size also frees up to 90% of the motherboard space occupied by current voltage regulators.
",2014-07-31,ADEPT,ALUMNI,?q=slick-sheet-project/voltage-regulator-chip,2010-09-01,Virginia,Voltage Regulator Chip,Electrical Efficiency, ,1649628,0,Non-profit,Persist,Perish
12,Center for Power Electronics Systems (CPES) at Virginia Tech,"The Center for Power Electronics Systems (CPES) at Virginia Tech is developing an extremely efficient power converter that could be used in power adapters for small, light-weight laptops and other types of mobile electronic devices. Power adapters convert electrical energy into usable power for an electronic device, and they currently waste a lot of energy when they are plugged into an outlet to power up. CPES is integrating high-density capacitors, new magnetic materials, high-frequency integrated circuits, and a constant-flux transformer to create its efficient power converter. The high-density capacitors enable the power adapter to store more energy. The new magnetic materials also increase energy storage, and they can be precisely dispensed using a low-cost ink-jet printer which keeps costs down. The high-frequency integrated circuits can handle more power, and they can handle it more efficiently. And, the constant-flux transformer processes a consistent flow of electrical current, which makes the converter more efficient.
",2013-11-30,ADEPT,ALUMNI,?q=slick-sheet-project/integrated-power-adapter,2010-09-01,Virginia,Integrated Power Adapter,Electrical Efficiency, ,999950,0,Non-profit,Pivot,Persist
13,Ceramatec,"Ceramatec is developing a small-scale reactor to convert natural gas into benzene--a feedstock for industrial chemicals or liquid fuels. Natural gas as a byproduct is highly abundant, readily available, and inexpensive. Ceramatec's reactor will use a one-step chemical conversion process to convert natural gas into benzene. This one-step process is highly efficient and prevents the build-up of solid residue that can occur when gas is processed. The benzene that is produced can be used as a starting material for nylons, polycarbonates, polystyrene, epoxy resins, and as a component of gasoline.
",2015-02-15,OPEN 2012,ALUMNI,?q=slick-sheet-project/one-step-gas-liquid-chemical-converter,2013-02-01,Utah,"A One-Step, Gas-to-Liquid Chemical Converter",Resource Efficiency, ,1557753,1,Non-profit,Perish,Pivot
14,City University of New York (CUNY) Energy Institute,"City University of New York (CUNY) Energy Institute is developing less expensive, more efficient, smaller, and longer-lasting power converters for energy-efficient LED lights. LEDs produce light more efficiently than incandescent lights and last significantly longer than compact fluorescent bulbs, but they require more sophisticated power converter technology, which increases their cost. LEDs need more sophisticated converters because they require a different type of power (low-voltage direct current, or DC) than what's generally supplied by power outlets. CUNY Energy Institute is developing sophisticated power converters for LEDs that contain capacitors made from new, nanoscale materials. Capacitors are electrical components that are used to store energy. CUNY Energy Institute's unique capacitors are configured with advanced power circuits to more efficiently control and convert power to the LED lighting source. They also eliminate the need for large magnetic components, instead relying on networks of capacitors that can be easily printed on plastic substrate. CUNY Energy Institute's prototype LED power converter already meets DOE's 2020 projections for the energy efficiency of LED power converters.
",2014-02-28,ADEPT,ALUMNI,?q=slick-sheet-project/metacapacitors-led-lighting,2010-09-02,New York,Metacapacitors for LED Lighting,Electrical Efficiency, ,1568278,0,Non-profit,Perish,Persist
15,Cornell University,"Cornell University will develop thermoregulatory apparel that enables the expansion of the comfortable temperature range in buildings by more than 4?F in both heating and cooling seasons. Cornell's thermoregulatory apparel integrates advanced textile technologies and state-of-the-art wearable electronics into a functional apparel design without compromising comfort, wearability, washability, appearance, or safety. The thermoregulatory clothing system senses the wearer's skin temperature and activates a heated or cooled airflow around the individual, reducing the energy required to heat or cool the building itself by satisfying the comfort requirements of the individual.

",2018-08-15,DELTA,ALUMNI,?q=slick-sheet-project/thermoregulatory-clothing-system,2015-04-27,New York,Thermoregulatory Clothing System,Building Efficiency, ,2996807,0,Non-profit,Perish,Pivot
16,Cornell University,"Cornell University is creating a new software platform for grid operators called GridControl that will utilize cloud computing to more efficiently control the grid. In a cloud computing system, there are minimal hardware and software demands on users. The user can tap into a network of computers that is housed elsewhere (the cloud) and the network runs computer applications for the user. The user only needs interface software to access all of the cloud's data resources, which can be as simple as a web browser. Cloud computing can reduce costs, facilitate innovation through sharing, empower users, and improve the overall reliability of a dispersed system. Cornell's GridControl will focus on 4 elements: delivering the state of the grid to users quickly and reliably; building networked, scalable grid-control software; tailoring services to emerging smart grid uses; and simulating smart grid behavior under various conditions.
",2015-08-07,GENI,ALUMNI,?q=slick-sheet-project/cloud-computing-grid,2012-02-08,New York,Cloud Computing for the Grid,Grid, ,1300000,0,Non-profit,Persist,Pivot
17,Dais Analytic Corporation,"Dais Analytic Corporation is developing a product called NanoAir which dehumidifies the air entering a building to make air conditioning more energy efficient. The system uses a polymer membrane that allows moisture but not air to pass through it. A vacuum behind the membrane pulls water vapor from the air, and a second set of membranes releases the water vapor outside. The membrane's high selectivity translates into reduced energy consumption for dehumidification. Dais' design goals for NanoAir are the use of proprietary materials and processes and industry-standard installation techniques. NanoAir is also complementary to many other energy saving strategies, including energy recovery. Dais received a separate award of up to $800,000 from the Department of the Navy to help decrease military fuel use.
",2012-02-29,BEETIT,ALUMNI,?q=slick-sheet-project/dehumidifying-air-cooling-refrigeration,2010-10-01,Florida,Dehumidifying Air for Cooling & Refrigeration,Building Efficiency, ,681322,0,Non-profit,Persist,Pivot
18,eNova,"eNova is developing a gas compressor powered by waste heat from the exhaust of a gas turbine. A conventional gas turbine facility releases the exhaust heat produced during operation into the air--this heat is a waste by-product that can be used to improve power generation system efficiency. eNova's gas compressor converts the exhaust waste heat from the simple cycle gas turbine to compressed air for injection into the turbine, thereby  lessening the burden on the turbine's air compressor. This new compressor design is ideal for use with a remote gas turbine--such as that typically used in the natural gas industry to compress pipeline natural gas--with limited options for waste heat recovery and access to high voltage power lines and water.
",2014-02-17,OPEN 2012,ALUMNI,?q=slick-sheet-project/waste-heat-powered-gas-compressor,2013-05-01,Texas,Waste Heat-Powered Gas Compressor,Resource Efficiency, ,8358,1,Non-profit,Perish,Pivot
19,FloDesign Wind Turbine,"FloDesign's innovative wind turbine, inspired by the design of jet engines, could deliver 300% more power than existing wind turbines of the same rotor diameter by extracting more energy over a larger area. FloDesign's unique shrouded design expands the wind capture area, and the mixing vortex downstream allows more energy to flow through the rotor without stalling the turbine. The unique rotor and shrouded design also provide significant opportunity for mass production and simplified assembly, enabling mid-scale turbines (approximately 100 kW) to produce power at a cost that is comparable to larger-scale conventional turbines.

",2013-03-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/mixer-ejector-wind-turbine,2010-02-22,Massachusetts,Mixer-Ejector Wind Turbine,Distributed Generation, ,8325400,1,Non-profit,Perish,Pivot
20,Foro Energy,"Foro Energy is developing a unique capability and hardware system to transmit high power lasers over long distances via fiber optic cables. This laser power is integrated with a mechanical drilling bit to enable rapid and sustained penetration of hard rock formations too costly to drill with mechanical drilling bits alone. The laser energy that is directed at the rock basically softens the rock, allowing the mechanical bit to more easily remove it. Foro Energy's laser-assisted drill bits have the potential to be up to 10 times more economical than conventional hard-rock drilling technologies, making them an effective way to access the U.S. energy resources currently locked under hard rock formations.

",2013-09-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/laser-mechanical-drilling-geothermal-energy,2010-01-15,Colorado,Laser-Mechanical Drilling for Geothermal Energy,Centralized Generation,Distributed Generation,9141029,1,Non-profit,Persist,Pivot
21,Gas Technology Institute (GTI),"Gas Technology Institute (GTI) is developing a hybrid solar converter that focuses sunlight onto solar cells with a reflective backside mirror. These solar cells convert most visible wavelengths of sunlight to electricity while reflecting the unused wavelengths to heat a stream of flowing particles. The particles are used to store the heat for use immediately or at a later time to drive a turbine and produce electricity. GTI's design integrates the parabolic trough mirrors, commonly used in CSP plants, into a dual-mirror system that captures the full solar spectrum while storing heat to dispatch electricity when the sun does not shine. Current solar cell technologies capture limited portions of the solar spectrum to generate electricity that must be used immediately. By using back-reflecting gallium arsenide (GaAs) cells, this hybrid converter is able to generate both electricity from specific solar wavelengths and capture the unused light as heat in the flowing particles. The particle-based heat storage system is a departure from standard fluid-based heat storage approaches and could enable much more efficient and higher energy density heat storage.  GTI's converter could be used to provide solar electricity whether or not the sun is shining.
",2018-01-31,FOCUS,ALUMNI,?q=slick-sheet-project/double-reflector-hybrid-solar-energy-system,2014-05-13,Illinois,Double-Reflector Hybrid Solar Energy System,Distributed Generation, ,3969400,0,Non-profit,Persist,Perish
22,General Electric (GE) Global Research,"General Electric (GE) Global Research is developing electricity transmission hardware that could connect distributed renewable energy sources, like wind farms, directly to the grid--eliminating the need to feed the energy generated through intermediate power conversion stations before they enter the grid. GE is using the advanced semiconductor material silicon carbide (SiC) to conduct electricity through its transmission hardware because SiC can operate at higher voltage levels than semiconductors made out of other materials. This high-voltage capability is important because electricity must be converted to high-voltage levels before it can be sent along the grid's network of transmission lines. Power companies do this because less electricity is lost along the lines when the voltage is high.
",2015-01-22,GENI,ALUMNI,?q=slick-sheet-project/connecting-renewables-directly-grid,2012-01-23,Connecticut,Connecting Renewables Directly to the Grid,Grid, ,4412392,0,Non-profit,Perish,Pivot
23,General Electric (GE) Global Research,"General Electric (GE) Global Research is developing a new gas tube switch that could significantly improve and lower the cost of utility-scale power conversion. A switch breaks an electrical circuit by interrupting the current or diverting it from one conductor to another. To date, solid state semiconductor switches have completely replaced gas tube switches in utility-scale power converters because they have provided lower cost, higher efficiency, and greater reliability. GE is using new materials and innovative designs to develop tubes that not only operate well in high-power conversion, but also perform better and cost less than non-tube electrical switches. A single gas tube switch could replace many semiconductor switches, resulting in more cost effective high power converters.

",2017-07-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-power-gas-tube-switches,2013-04-30,Connecticut,High-Power Gas Tube Switches,Grid, ,5470993,1,Non-profit,Persist,Pivot
24,General Motors (GM),"General Motors (GM) is using shape memory alloys that require as little as a 10?C temperature difference to convert low-grade waste heat into mechanical energy. When a stretched wire made of shape memory alloy is heated, it shrinks back to its pre-stretched length. When the wire cools back down, it becomes more pliable and can revert to its original stretched shape. This expansion and contraction can be used directly as mechanical energy output or used to drive an electric generator. Shape memory alloy heat engines have been around for decades, but the few devices that engineers have built were too complex, required fluid baths, and had insufficient cycle life for practical use. GM is working to create a prototype that is practical for commercial applications and capable of operating with either air- or fluid-based heat sources. GM's shape memory alloy based heat engine is also designed for use in a variety of non-vehicle applications. For example, it can be used to harvest non-vehicle heat sources, such as domestic and industrial waste heat and natural geothermal heat, and in HVAC systems and generators.

",2012-03-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/waste-heat-recovery-system,2010-01-01,Michigan,Waste Heat Recovery System,Resource Efficiency, ,2698935,1,Non-profit,Pivot,Perish
25,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a high-efficiency concentrating solar receiver and reactor for the production of solar fuels. The team will develop a system that uses liquid metal to capture and transport heat at much higher temperatures compared to state-of-the-art concentrating solar power facilities. This high temperature system will be combined with the team's novel reactor to produce solar fuels that allow the flexibility to store and transport solar energy for later use or for immediate power production. Higher temperatures should result in much higher efficiencies and therefore lower costs of produced fuel or electricity. Additionally, plant operators would have the flexibility to match electricity or fuel production with the changing market demand to improve the cost effectiveness of the plant.
",2016-10-17,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-efficiency-solar-fuel-reactor,2013-04-17,Georgia,High-Efficiency Solar Fuel Reactor,Distributed Generation, ,3598640,1,Non-profit,Perish,Pivot
26,Georgia Tech Research Corporation,"Georgia Tech Research Corporation?is creating compact, low-profile power adapters and power bricks using materials and tools adapted from other industries and from grid-scale power applications. Adapters and bricks convert electrical energy into usable power for many types of electronic devices, including laptop computers and mobile phones. These converters are often called wall warts because they are big, bulky, and sometimes cover up an adjacent wall socket that could be used to power another electronic device. The magnetic components traditionally used to make adapters and bricks have reached their limits; they can't be made any smaller without sacrificing performance. Georgia Tech is taking a cue from grid-scale power converters that use iron alloys as magnetic cores. These low-cost alloys can handle more power than other materials, but the iron must be stacked in insulated plates to maximize energy efficiency. In order to create compact, low-profile power adapters and bricks, these stacked iron plates must be extremely thin--only hundreds of nanometers in thickness, in fact. To make plates this thin, Georgia Tech is using manufacturing tools used in microelectromechanics and other small-scale industries.
",2014-02-28,ADEPT,ALUMNI,?q=slick-sheet-project/compact-low-profile-power-converters,2010-09-01,Georgia,"Compact, Low-Profile Power Converters",Electrical Efficiency,Grid,1015792,0,Non-profit,Perish,Pivot
27,Georgia Tech Research Corporation,"Georgia Tech Research Corporation?is developing a decentralized, autonomous, internet-like control architecture and control software system for the electric power grid. Georgia Tech's new architecture is based on the emerging concept of electricity prosumers--economically motivated actors that can produce, consume, or store electricity. Under Georgia Tech's architecture, all of the actors in an energy system are empowered to offer associated energy services based on their capabilities. The actors achieve their sustainability, efficiency, reliability, and economic objectives, while contributing to system-wide reliability and efficiency goals. This is in marked contrast to the current one-way, centralized control paradigm.
",2015-02-15,GENI,ALUMNI,?q=slick-sheet-project/autonomous-decentralized-grid-architecture,2012-01-11,Georgia,"Autonomous, Decentralized Grid Architecture",Grid, ,2009908,0,Non-profit,Pivot,Persist
28,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a cost-effective, utility-scale power router that uses an enhanced transformer to more efficiently direct power on the grid. Existing power routing technologies are too expensive for widespread use, but the ability to route grid power to match real-time demand and power outages would significantly reduce energy costs for utilities, municipalities, and consumers. Georgia Tech is adding a power converter to an existing grid transformer to better control power flows at about 1/10th the cost of existing power routing solutions. Transformers convert the high-voltage electricity that is transmitted through the grid into the low-voltage electricity that is used by homes and businesses. The added converter uses fewer steps to convert some types of power and eliminates unnecessary power storage, among other improvements. The enhanced transformer is more efficient, and it would still work even if the converter fails, ensuring grid reliability.
",2013-01-31,ADEPT,ALUMNI,?q=slick-sheet-project/utility-scale-power-router,2010-09-01,Georgia,Utility-Scale Power Router,Electrical Efficiency, ,995896,0,Non-profit,Pivot,Persist
29,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a method to capture energy from wind vortices that form from a thin layer of solar-heated air along the ground. ""Dust devils"" are a random and intermittent example of this phenomenon in nature. Naturally, the sun heats the ground creating a thin air layer near the surface that is warmer than the air above. Since hot air rises, this layer of air will naturally want to rise. The Georgia Tech team will use a set of vanes to force the air to rotate as it rises, forming an anchored columnar vortex that draws in additional hot air to sustain itself. Georgia Tech's technology uses a rotor and generator to produce electrical power from this rising, rotating air similar to a conventional wind turbine. This solar-heated air, a renewable energy resource, is broadly available, especially in the southern U.S. Sunbelt, yet has not been utilized to date. This technology could offer more continuous power generation than conventional solar PV or wind. Georgia Tech's technology is a, low-cost, scalable approach to electrical power generation that could create a new class of renewable energy ideally suited for arid low-wind regions.
",2016-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/power-generation-using-solar-heated-ground-air,2013-05-03,Georgia,Power Generation Using Solar-Heated Ground Air,Distributed Generation, ,3674039,1,Non-profit,Perish,Pivot
30,Glint Photonics,"Glint Photonics is developing an inexpensive solar concentrating PV (CPV) module that tracks the sun's position over the course of the day to channel sunlight into PV materials more efficiently. Conventional solar concentrator technology requires complex moving parts to track the sun's movements. In contrast, Glint's inexpensive design can be mounted in a stationary configuration and adjusts its properties automatically in response to the solar position. By embedding this automated tracking function within the concentrator, Glint's design enables CPV modules to use traditional mounting technology and techniques, reducing installation complexity and cost. These self-tracking concentrators can significantly decrease the cost of solar power modules by enabling high efficiency while eliminating the additional costs of precision trackers and specialized mounting hardware. The concentrator itself is designed to be manufactured at extremely low-cost due to low material usage and compatibility with high-speed fabrication techniques. Glint's complete module costs are estimated to be $0.35/watt-peak.

",2017-03-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/self-tracking-concentrator-photovoltaics,2013-04-01,California,Self-Tracking Concentrator Photovoltaics,Distributed Generation, ,2723044,1,Non-profit,Perish,Pivot
31,Grid Logic,"Grid Logic is developing a new type of electrical superconductor that could significantly improve the performance (in $/kA-m) and lower the cost of high-power energy generation, transmission, and distribution. Grid Logic is using a new manufacturing technique to coat very fine particles of superconducting material with an extremely thin layer--less than 1/1,000 the width of a human hair--of a low-cost metal composite. This new manufacturing process is not only much simpler and more cost effective than the process used to make today's state-of-the-art high-power superconductors, but also it makes superconductive cables easier to handle and improves their electrical properties in certain applications.
",2016-06-04,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-power-superconductors,2013-03-05,Michigan,High-Power Superconductors,Electrical Efficiency, ,3828075,1,Non-profit,Perish,Pivot
32,HexaTech,"HexaTech is developing new semiconductors for electrical switches that will more efficiently control the flow of electricity across high-voltage electrical lines. A switch helps control electricity: switching it on and off, converting it from one voltage to another, and converting it from an Alternating Current (A/C) to a Direct Current (D/C) and back. Most switches today use silicon or silicon-based semiconductors, which are not able to handle high voltages, fast switching speeds, or high operating temperatures. HexaTech has developed highest quality, single crystalline Aluminum Nitride (AlN) semiconductor wafers. HexaTech AlN wafers are the enabling platform for power converters which can handle 50 times more voltage than silicon, as well as higher switching speeds and operating temperatures.
",2016-05-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/semiconductors-improve-electricity-flow,2013-02-05,North Carolina,Semiconductors that Improve Electricity Flow,Grid, ,2807237,1,Non-profit,Persist,Pivot
33,Integral Consulting,"Integral Consulting is developing a cost-effective ocean wave buoy system that will accurately measure its own movements as it follows the surface wave motions of the ocean and relay this real-time wave data. Conventional real-time wave measurement buoys are expensive, which limits the ability to deploy large networks of buoys. Data from Integral Consulting's buoys can be used as input to control strategies of wave energy conversion (WEC) devices and allow these controlled WECs to capture significantly more energy than systems that do not employ control strategies. Integral Consulting's system will also enable assessment of the optimal locations and designs of WEC systems. Integral Consulting's ocean wave buoy system could measure and relay real-time wave data at 10% the cost of commercially available wave measurement systems.

",2017-08-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/measuring-real-time-wave-data-ocean-wave,2013-04-05,Washington,Measuring Real-Time Wave Data with Ocean Wave Buoy,Distributed Generation, ,2339676,1,Non-profit,Persist,Pivot
