Companies,description,endDate,program,projectStatus,projecturl,startDate,state,Tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder5,Final Decision,Discussion points,coder1notes,coder5notes,Comments,,
Energy Research Company (ERCo),"Energy Research Company (ERCo) is developing an automated Aluminum Integrated Minimill (AIM) that can produce finished components from mixed metal scrap. Unlike most current approaches, ERCo's AIM can distinguish and accurately sort multiple grades of aluminum scrap for recycling. ERCo's AIM reduces energy consumption in several ways. First, the technology would provide real-time feedback controls to improve the accuracy of the sorting process. The sorted scrap is then melted and cast. Further, ERCo's design replaces the inefficient dryers used in conventional processes with advanced, high-efficiency equipment. ERCo's AIM enables significantly more efficient and less expensive scrap sorting and aluminum recovery for casting.

",9/30/18,METALS,ALUMNI,?q=slick-sheet-project/integrated-minimill-produce-aluminum-scrap,1/1/14,New Jersey,Integrated Minimill to Produce Aluminum from Scrap,Manufacturing Efficiency,,3815131,0,For-profit,Pivot,Persist,Persist,https://arpa-e.energy.gov/sites/default/files/Erco-METALS-May1.pdf,seems like they were already doing what they were working on,Ended in Sept 2018; just signed with WPI recycling,,,
Gas Technology Institute (GTI),"The team led by Gas Technology Institute (GTI) will develop a conventional automotive engine as a reactor to convert ethane into ethylene by using a new catalyst and reactor design that could enable record-breaking conversion yields. The technology proposed by GTI would use a reciprocating engine as a variable volume oxidative dehydrogenation (ODH) reactor. This means a conventional engine would be modified with a new valving mechanism that would take advantage of high flow rates and high pressure and temperature regime that already exists in an internal combustion engine. This process requires no energy input, does produce minimal CO2 emissions, and improves yields to about 80% at one third the cost. The ODH reactor engine's relatively small size and high throughput will enable ethylene producers to add ethylene production capacity without the financial risk of building a billion-dollar steam cracking plant. This technology will reduce energy-related emissions and could enable the U.S. plastics industry to increase utilization of low-cost, domestic ethane to produce ethylene for plastics.

",2/28/18,OPEN 2015,ALUMNI,?q=slick-sheet-project/reactor-engine,3/1/16,Illinois,Reactor Engine,Manufacturing Efficiency,,3199931,1,For-profit,Perish,Persist,Perish,?,"A few publications, but doesn't seem to be all that efficient. All simulated, some validation",couldn't trace specific technology,,,
General Electric (GE) Global Research,"General Electric (GE) Global Research is developing low-cost, thin-film sensors that enable real-time mapping of temperature and surface pressure for each cell within a battery pack, which could help predict how and when batteries begin to fail. The thermal sensors within today's best battery packs are thick, expensive, and incapable of precisely assessing important factors like temperature and pressure within their cells. In comparison to today's best systems, GE's design would provide temperature and pressure measurements using smaller, more affordable sensors than those used in today's measurement systems. Ultimately, GE's sensors could dramatically improve the thermal mapping and pressure measurement capabilities of battery management systems, allowing for better prediction of potential battery failures.

",12/31/16,AMPED,ALUMNI,?q=slick-sheet-project/thin-film-temperature-sensors-batteries,1/1/13,Connecticut,Thin-Film Temperature Sensors for Batteries,Storage,Transportation Storage,3122076,0,For-profit,Pivot,Persist,Pivot,"Do they use the sensors for batteries, or more general applications?","got bought, won a bunch of awards, but nothing on website",Amphenol Advanced Sensors Transportation Sensor Applications,,,
Harvard University,"Harvard University is developing an innovative grid-scale flow battery to store electricity from renewable sources. Flow batteries store energy in external tanks instead of within the battery container, permitting larger amounts of stored energy at lower cost per kWh. Harvard is designing active material for a flow battery that uses small, inexpensive organic molecules in aqueous electrolyte. Relying on low-cost organic materials, Harvard's innovative storage device concept would yield one or more systems that may be developed by their partner, Sustainable Innovations, LLC, into viable grid-scale electrical energy storage systems.
",3/25/17,OPEN 2012,ALUMNI,?q=slick-sheet-project/organic-flow-battery-energy-storage,2/1/13,Massachusetts,Organic Flow Battery for Energy Storage,Storage,,4340035,1,Non-profit,Pivot,Persist,Pivot,I generally batched really research-y projects as pivots,,"Still reporting research progress, but still seems a long way off from commercializable solution (https://www.sciencedaily.com/releases/2019/05/190528193015.htm)",,,
INFINIUM,"INFINIUM is developing a technology to produce light metals such as aluminum and titanium using an electrochemical cell design that could reduce energy consumption associated with these processes by over 50%. The key component of this innovation lies within the anode assembly used to electrochemically refine these light metals from their ores. While traditional processes use costly graphite anodes that are reacted to produce CO<sub>2</sub> during refining, INFINIUM's anode can use much cheaper fuels such as natural gas, and produce a high-purity oxygen by-product. Revenue from this by-product could significantly affect aluminum production economics. Traditional cell designs also waste a great deal of heat due to the necessity of keeping the reactor open to the air while contaminated CO<sub>2</sub> rapidly exits the chamber. Since INFINIUM's anode keeps the oxygen or CO<sub>2</sub> anode gas away from the main reactor chamber, the entire system may be far more effectively insulated.
",12/10/16,METALS,ALUMNI,?q=slick-sheet-project/aluminum-production-using-zirconia-solid-electrolyte,12/12/13,Massachusetts,Aluminum Production Using Zirconia Solid Electrolyte,Manufacturing Efficiency,,3980000,0,For-profit,Perish,Persist,Perish,?,"Don't seem to be doing anything with Aluminum, just rare earth elements",,@rebecca figure out whats up with this one,Patent app abandoned https://patents.google.com/patent/US20160108532A1/en?q=titanium&q=aluminum&assignee=infinium&after=priority:20100101,
Johns Hopkins University,"Johns Hopkins University will develop and assess components of a self-powered system to convert methane (the main component in natural gas) into carbon fiber. Methane can be separated into carbon and hydrogen, or burned for energy. The team will develop processes to use methane both to power the system and serve as carbon feedstock in a four stage system. First, methane is decomposed into hydrogen and carbon, and combined into a carbon/metal aggregate. Second, the carbon/metal aggregate is melted, producing a liquid melt containing carbon dissolved within it. Third, the melt is solidified into a homogeneous ribbon. Fourth, carbon is extracted from the ribbon in the form of fiber or fiber precursor. Finally, the metal content of the ribbon is reclaimed and recycled back to the start of the process for further methane decomposition. The project will focus on resolving the materials science challenges of directing carbon crystal growth into fiber and/or fiber precursors (steps 3 and 4). The final goal is to produce fibers that have the strength and stiffness of traditionally produced carbon fiber while requiring a fraction of energy and cost to produce.
",3/31/17,IDEAS,ALUMNI,?q=slick-sheet-project/carbon-fiber-methane,10/1/15,Marylan,Carbon Fiber from Methane,Manufacturing Efficiency,,489889,1,Non-profit,Pivot,Persist,Pivot,https://arpa-e.energy.gov/?q=slick-sheet-project/more-information-johns-hopkinss-project-coming-soon,"Switching to hydrogen, new OPEN project",just starting up,,,
Lawrence Berkeley National Laboratory (LBNL),"Lawrence Berkeley National Laboratory (LBNL) is designing a flow battery for grid storage that relies on a hydrogen-bromine chemistry which could be more efficient, last longer, and cost less than today's lead-acid batteries. Flow batteries are fundamentally different from traditional lead-acid batteries because the chemical reactants that provide their energy are stored in external tanks instead of inside the battery. A flow battery can provide more energy because all that is required to increase its storage capacity is to increase the size of the external tanks. The hydrogen-bromine reactants used by LBNL in its flow battery are inexpensive, long lasting, and provide power quickly. The cost of the design could be well below $100 per kilowatt hour, which would rival conventional grid-scale battery technologies.
",9/30/13,GRIDS,ALUMNI,?q=slick-sheet-project/hydrogen-bromine-flow-battery,10/1/10,California,Hydrogen-Bromine Flow Battery,Storage,,1900136,0,Non-profit,Pivot,Perish,Pivot,,"Doesn't seem like the research group is continuing this line, bosch is focusing on other tech","Can't find TVN Systems with HBr beyond ARPAe, but H-Br Flow still allive https://www.innoenergy.com/news-events/koolen-industries-invests-in-hydrogen-bromine-flow-battery-maker-elestor/",,,
Lawrence Livermore National Laboratory (LLNL),"Lawrence Livermore National Laboratory (LLNL) is developing a wireless sensor system to improve the safety and reliability of lithium-ion (Li-Ion) battery systems by monitoring key operating parameters of Li-Ion cells and battery packs. This system can be used to control battery operation and provide early indicators of battery failure. LLNL's design will monitor every cell within a large Li-Ion battery pack without the need for large bundles of cables to carry sensor signals to the battery management system. This wireless sensor network will dramatically reduce system cost, improve operational performance, and detect battery pack failures in real time, enabling a path to cheaper, better, and safer large-scale batteries.
",9/30/15,AMPED,ALUMNI,?q=slick-sheet-project/wireless-sensor-system-battery-packs,10/1/12,California,Wireless Sensor System for Battery Packs,Storage,Transportation Storage,1906606,0,Non-profit,Perish,Persist,Pivot,,"Polystor (a partner) is out of business, no one licensing patent","Still at it, working with yardney: https://arpa-e.energy.gov/sites/default/files/LLNL_P1195464pstr-Chang.pdf",@rebecca - follow up on yardney,"have a patent, but it isn't licensed out https://patents.google.com/patent/US9869726B2/en",
Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) is developing efficient heat storage materials for use in solar and nuclear power plants. Heat storage materials are critical to the energy storage process. In solar thermal storage systems, heat can be stored in these materials during the day and released at night--when the sun's not out--to drive a turbine and produce electricity. In nuclear storage systems, heat can be stored in these materials at night and released to produce electricity during daytime peak-demand hours. MIT is designing nanostructured heat storage materials that can store a large amount of heat per unit mass and volume. To do this, MIT is using phase-change materials, which absorb a large amount of latent heat to melt from solid to liquid. MIT's heat storage materials are designed to melt at high temperatures and conduct heat well--this makes them efficient at storing and releasing heat and enhances the overall efficiency of the thermal storage and energy-generation process. MIT's low-cost heat storage materials also have a long life cycle, which further enhances their efficiency.
",11/30/14,HEATS,ALUMNI,?q=slick-sheet-project/efficient-heat-storage-materials,11/21/11,Massachusetts,Efficient Heat Storage Materials,Storage,,871612,0,Non-profit,Pivot,Persist,Pivot,,Different project w/ combined pv/thermal solar collectors,"MIT academic, no commercialization found",,,
Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) is developing a low-cost, compact, high-capacity, advanced thermo-adsorptive battery (ATB) for effective climate control of EVs. The ATB provides both heating and cooling by taking advantage of the materials' ability to adsorb a significant amount of water. This efficient battery system design could offer up as much as a 30% increase in driving range compared to current EV climate control technology. The ATB provides high-capacity thermal storage with little-to-no electrical power consumption. MIT is also looking to explore the possibility of shifting peak electricity loads for cooling and heating in a variety of other applications, including commercial and residential buildings, data centers, and telecom facilities.

",9/30/16,HEATS,ALUMNI,?q=slick-sheet-project/advanced-thermo-adsorptive-battery,12/13/11,Massachusetts,Advanced Thermo-Adsorptive Battery,Storage,,3555627,0,Non-profit,Pivot,Persist,Pivot,This one seems super researchy,,"MIT persists, but did ATB demo at Ford ever happen?",,,
Massachusetts Institute of Technology (MIT),"Led by Massachusetts Institute of Technology (MIT) professor Donald Sadoway, the Electroville project team is creating a community-scale electricity storage device using new materials and a battery design inspired by the aluminum production process known as smelting. A conventional battery includes a liquid electrolyte and a solid separator between its 2 solid electrodes. MIT's battery contains liquid metal electrodes and a molten salt electrolyte. Because metals and salt don't mix, these 3 liquids of different densities naturally separate into layers, eliminating the need for a solid separator. This efficient design significantly reduces packaging materials, which reduces cost and allows more space for storing energy than conventional batteries offer. MIT's battery also uses cheap, earth-abundant, domestically available materials and is more scalable. By using all liquids, the design can also easily be resized according to the changing needs of local communities.

",9/30/13,OPEN 2009,ALUMNI,?q=slick-sheet-project/electroville-grid-scale-batteries,1/15/10,Massachusetts,Electroville: Grid-Scale Batteries,Storage,,6949584,1,Non-profit,Persist,Pivot,Pivot,,Ambri,"No commercialization to date?; Dec 2018 description of pivot from grid to mobile (Marine) application (https://www.maritime-executive.com/editorials/molten-metal-energy-storage-for-future-maritime-propulsion); 2014 Nature report on Sadoway's work, showing pivot to different type of liquid metal electrode(?) : https://www.nature.com/news/liquid-metal-batteries-get-boost-from-molten-lead-1.15967 ",@ rebecca follow up,,
Massachusetts Institute of Technology (MIT),"MIT is developing a thermal energy storage device that captures energy from the sun; this energy can be stored and released at a later time when it is needed most. Within the device, the absorption of sunlight causes the solar thermal fuel's photoactive molecules to change shape, which allows energy to be stored within their chemical bonds. A trigger is applied to release the stored energy as heat, where it can be converted into electricity or used directly as heat. The molecules would then revert to their original shape, and can be recharged using sunlight to begin the process anew. MIT's technology would be 100% renewable, rechargeable like a battery, and emissions-free. Devices using these solar thermal fuels--called HybriSol--can also be used without a grid infrastructure for applications such as de-icing, heating, cooking, and water purification.
",1/8/15,HEATS,ALUMNI,?q=slick-sheet-project/solar-thermal-energy-storage-device,1/9/12,Massachusetts,Solar Thermal Energy Storage Device,Storage,Transportation Storage,2966654,0,Non-profit,Pivot,Persist,Pivot,,,Lots of coverage by MIT still...,@rebecca follow up,"I called this a pivot because there don't seem to be patents related to this, but a lot of very fundamental research",
NAVITASMAX,"NAVITASMAX, along with their partners at Harvard University, Cornell University, and Barber-Nichols, is developing a novel thermal energy storage solution. This innovative technology is based on tuning the properties of simple and complex fluids to increase their ability to store more heat. In solar thermal storage systems, heat can be stored in NAVITASMAX's system during the day and released at night--when the sun is not shining--to drive a turbine and produce electricity. In nuclear storage systems, heat can be stored in NAVITASMAX's system at night and released to produce electricity during daytime peak-demand hours.
",8/30/13,HEATS,ALUMNI,?q=slick-sheet-project/advanced-thermal-energy-storage-technology,12/1/11,Arizona,Advanced Thermal Energy Storage Technology,Storage,,812328,0,For-profit,Perish,Persist,Perish,This was definitely dumber than the $500k we spent on a sankey diagram ,Literally nothing on the website.,Wow - cult?!,,,
Oak Ridge National Laboratory (ORNL),"Oak Ridge National Laboratory (ORNL) is developing an innovative battery design to more effectively regulate destructive isolated hot-spots that develop within a battery during use and eventually lead to degradation of the cells. Today's batteries are not fully equipped to monitor and regulate internal temperatures, which can negatively impact battery performance, life-time, and safety. ORNL's design would integrate efficient temperature control at each layer inside lithium ion (Li-Ion) battery cells. In addition to monitoring temperatures, the design would provide active cooling and temperature control deep within the cell, which would represent a dramatic improvement over today's systems, which tend to cool only the surface of the cells. The elimination of cell surface cooling and achievement of internal temperature regulation would have significant impact on battery performance, life-time, and safety.

",2/15/15,AMPED,ALUMNI,?q=slick-sheet-project/temperature-regulated-batteries,10/1/12,Tennessee,Temperature-Regulated Batteries,Storage,Transportation Storage,999998,0,Non-profit,Pivot,Persist,Pivot,,"No one seems to be using this, different research direction",Patent but not clear if still on commercial path,,,
Pacific Northwest National Laboratory (PNNL),"Pacific Northwest National Laboratory (PNNL) is developing a thermal energy storage system based on a Reversible Metal Hydride Thermochemical (RMHT) system, which uses metal hydride as a heat storage material. Heat storage materials are critical to the energy storage process. In solar thermal storage systems, heat can be stored in these materials during the day and released at night--when the sun is not out--to drive a turbine and produce electricity. In nuclear storage systems, heat can be stored in these materials at night and released to produce electricity during daytime peak-demand hours. PNNL's metal hydride material can reversibly store heat as hydrogen cycles in and out of the material. In a RHMT system, metal hydrides remain stable in high temperatures (600- 800?C). A high-temperature tank in PNNL's storage system releases heat as hydrogen is absorbed, and a low-temperature tank stores the heat until it is needed. The low-cost material and simplicity of PNNL's thermal energy storage system is expected to keep costs down. The system has the potential to significantly increase energy density.

",4/30/14,HEATS,ALUMNI,?q=slick-sheet-project/metal-hydride-thermal-storage,12/5/11,Washington,Metal Hydride Thermal Storage,Storage,,712453,0,Non-profit,Pivot,Persist,Pivot,,"still researching, not at cost target",Do these National Lab efforts ever perish?; No commercial,,,
Palo Alto Research Center (PARC),"Palo Alto Research Center (PARC) is developing an advanced diagnostic probe that identifies the composition of light metal scrap for efficient sorting and recycling. Current sorting technologies for light metals are costly and inefficient because they cannot distinguish between different grades of light metals for recycling. Additionally, state-of-the-art electrochemical probes rely on aqueous electrolytes that are not optimally suited for separating light metal scrap. PARC's probe, however, uses a novel liquid, which enables a chemical reaction with light metals to represent their alloy composition accurately. A probe that is more accurate than existing methods could separate scrap based on alloy quality to obtain low-cost, high-quality aluminum.
",5/31/16,METALS,ALUMNI,?q=slick-sheet-project/electrochemical-probe-rapid-scrap-metal-sorting,12/12/13,California,Electrochemical Probe for Rapid Scrap Metal Sorting,Manufacturing Efficiency,,1492128,0,For-profit,Perish,Persist,Pivot,,"Nothing recent, no licensee",patent still active,,,
Pennsylvania State University (Penn State),"Pennsylvania State University (Penn State) will develop a process for cold-sintering of ceramic ion conductors below 200?C to achieve a commercially viable process for integration into batteries. Compared to liquid electrolytes, ceramics and ceramic composites exhibit various advantages, such as lower flammability, and larger electrochemical and thermal stability. One challenge with traditional ceramics is the propagation of lithium dendrites, branchlike metal fibers that short-circuit battery cells.  Penn State will create ceramic and ceramic/polymer composite electrolytes that resist dendrite growth by creating optimized microstructures via cold sintering. Sintering is the process of compacting and forming a solid mass by heat and/or pressure without melting it to the point of changing it to a liquid, similar to pressing a snowball together from loose snow. However, the high temperature required for traditional sintering of ceramics limits opportunities for integration in electrochemical systems and leads to high processing costs. Cold-sintering below 200?C changes the ability to control grain boundaries within ceramic materials, creates opportunities to tune interfaces, and opens the door for integration of different materials. It also allows large area co-processing of organic and inorganic materials in a one-step process, leading to savings in fabricating costs by eliminating the separate ceramic sintering steps and high-temperature processing.

",12/31/18,IONICS,ALUMNI,?q=slick-sheet-project/cold-sintering-composite-structures,1/1/17,Pennsylvania,Cold Sintering Composite Structures,Storage,Transportation Storage,1000000,0,Non-profit,Pivot,Persist,Pivot,,"Research, not commercialized",,,,
Pennsylvania State University (Penn State),"Pennsylvania State University (Penn State) is developing an innovative, reconfigurable design for electric vehicle battery packs that can re-route power in real time between individual cells. Much like how most cars carry a spare tire in the event of a blowout, today's battery packs contain extra capacity to continue supplying power, managing current, and maintaining capacity as cells age and degrade. Some batteries carry more than 4 times the capacity needed to maintain operation, or the equivalent of mounting 16 tires on a vehicle in the event that one tire goes flat. This overdesign is expensive and inefficient. Penn State's design involves unique methods of electrical reconfigurability to enable the battery pack to switch out cells as they age and weaken. The system would also contain control hardware elements to monitor and manage power across cells, identify damaged cells, and signal the need to switch them out of the circuit.
",3/31/16,AMPED,ALUMNI,?q=slick-sheet-project/reconfigurable-battery-packs,1/1/13,Pennsylvania,Reconfigurable Battery Packs,Storage,Transportation Storage,1355208,0,Non-profit,Pivot,Persist,Pivot,,"Seems to do a lot of controls research, but no product/spinnoff/actual arpa-e attribution",Continuing to publish in space but didn't find commercialization,,,
