Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Notes/Comments
OPEN 2012,Rensselaer Polytechnic Institute (RPI),ALUMNI,Non-profit,3/7/13,3/6/16,Grid,https://scholar.google.com/citations?hl=en&user=uxs7YVwAAAAJ&view_op=list_works&sortby=pubdate,,,High-Power Transistor Switch,Perish,
OPEN 2012,Stanford University,ALUMNI,Non-profit,2/20/13,3/19/18,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/StanfordRadiativeCooling_OPEN2012_ExternalImpactSheet_FINAL.pdf,https://www.nature.com/articles/nature13883,https://www.pnas.org/content/pnas/112/40/12282.full.pdf,Radiative Coolers for Rooftops and Cars,Pivot,
OPEN 2012,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,4/1/13,9/30/15,Distributed Generation,https://tees.tamu.edu/,,,Electricity from Low-Temperature Waste Heat,Persist,
OPEN 2012,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,4/8/13,11/30/16,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/documents/files/RAPMOD%20Impact%20Sheet-01272017_FINAL.pdf,,,Rapid Building Energy Modeler - RAPMOD,Pivot,
OPEN 2012,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,3/1/13,6/30/18,Grid,https://arpa-e.energy.gov/sites/default/files/documents/files/UCB_OPEN2012_ExternalProjectImpactSheet_FINAL.pdf,,,Measuring Phase Angle Change in Power Lines,Pivot,
OPEN 2012,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,4/5/13,8/31/16,Grid,https://www.osti.gov/biblio/1341011,http://hkn.ieee.org/wp-content/uploads/2017/10/Bridge_2_2016.pdf,,Power Grid Security,Persist,
OPEN 2012,University of Minnesota (UMN),ALUMNI,Non-profit,3/22/13,9/21/16,Resource Efficiency,https://scholar.google.com/citations?hl=en&user=bzIzJ6cAAAAJ&view_op=list_works&sortby=pubdate,,,Ultra-Thin Membranes for Biofuels Production,Pivot,
OPEN 2012,University of North Dakota Energy & Environmental Research Center (UND-EERC),ALUMNI,Non-profit,4/1/13,6/30/14,Resource Efficiency,https://www.serdp-estcp.org/content/download/48952/466792/file/EW-201723%20Demonstration%20Report.pdf,,,Water-Efficient Power Generation,Pivot,
OPEN 2012,University of Pittsburgh,ALUMNI,Non-profit,5/1/13,4/30/16,Resource Efficiency,https://patents.google.com/patent/US9777122B2/en,https://pubs.acs.org/doi/pdf/10.1021/acs.energyfuels.6b00946?rand=l3np9orf,,CO2 Thickeners for Enhanced Oil and Gas Recovery,Pivot,
OPEN 2012,University of Texas at Austin (UT Austin),ALUMNI,Non-profit,3/28/13,9/26/16,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/documents/files/UTAustin_OPEN2012%20_ExternalProjectImpactSheet_FINAL.pdf,,,Smart Window Coatings,Pivot,
OPEN 2012,Yale University,ALUMNI,Non-profit,4/24/13,12/31/15,Resource Efficiency,https://www.sciencedirect.com/science/article/pii/S0376738817304180,,,Closed-Loop System Using Waste Heat for Electricity,Pivot,
OPEN 2012,General Electric (GE) Power & Water,CANCELLED,For-profit,5/1/13,12/31/14,Distributed Generation,https://patents.google.com/patent/US9188102B2/en,,,Fabric-Based Wind Turbine Blades,Pivot,
OPEN 2012,MicroLink Devices,CANCELLED,For-profit,3/20/13,9/1/15,Distributed Generation,http://www.mldevices.com/,,,High-Efficiency Solar Cells,Pivot,
OPEN 2012,Silicon Power,CANCELLED,For-profit,5/15/13,8/10/15,Grid,https://siliconpower.com/,,,Optical Switches for High-Power Systems,Pivot,
OPEN 2012,"University of California, Santa Cruz (UC Santa Cruz)",CANCELLED,Non-profit,5/1/13,12/31/14,Distributed Generation,https://scholar.google.com/citations?hl=en&user=UE0CVaMAAAAJ&view_op=list_works&sortby=pubdate,,,Efficient Collection of Concentrated Solar,Pivot,
OPEN 2015,Cummins Corporate Research & Technology,ALUMNI,For-profit,2/9/16,8/8/18,Distributed Generation,https://www.cumminswestport.com/models/isx12n,https://www.nrel.gov/news/press/2019/nrel-announces-new-projects-to-advance-medium-and-heavy-duty-natural-gas-vehicle-technologies.html,https://patentimages.storage.googleapis.com/61/57/ae/55bbd9bf9b231f/US9709005.pdf,High-Efficiency Engines,Persist,
OPEN 2015,Princeton Optronics,ALUMNI,For-profit,2/26/16,9/30/17,Electrical Efficiency,https://ams.com/,https://patentimages.storage.googleapis.com/ef/75/1f/469801065caff3/US20170256915A1.pdf,https://www.photonics.com/Articles/AMS_Acquires_Total_Princeton_Shares/a61866,High-Efficiency Data Transfer,Pivot,
OPEN 2015,Stanford University,ALUMNI,Non-profit,6/1/16,12/31/18,Distributed Generation,https://scholar.google.com/citations?hl=en&user=ABSaf6IAAAAJ&view_op=list_works&sortby=pubdate,,https://www.cyclotronroad.org/spark,High-Efficiency Energy Converters,Pivot,
OPEN 2015,The Mackinac Technology Company,ALUMNI,For-profit,4/1/16,3/31/18,Building Efficiency,https://www.mackinac-technology.com/index.html,https://info.ornl.gov/sites/publications/Files/Pub108320.pdf,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/research-innovation/115886/fta-annual-report-public-transportation-innovation-research-projects-fy-2017-fta-report-no-0120.pdf,Single Pane Window Retrofit System,Pivot,
ADEPT,Arkansas Power Electronics International (APEI),ALUMNI,For-profit,9/14/10,3/31/14,Electrical Efficiency,https://arpa-e.energy.gov/?q=slick-sheet-project/powerful-efficient-electric-vehicle-chargers,https://www.cree.com/news-media/news/article/cree-acquires-apei-arkansas-power-electronics-international-inc,,"Powerful, Efficient Electric Vehicle Chargers",Pivot,
ADEPT,Case Western Reserve University,ALUMNI,Non-profit,9/1/10,11/30/12,Electrical Efficiency,https://arpa-e.energy.gov/?q=slick-sheet-project/titanium-alloy-power-capacitor,,,Titanium-Alloy Power Capacitor,Pivot,
ADEPT,Center for Power Electronics Systems (CPES) at Virginia Tech,ALUMNI,Non-profit,9/1/10,7/31/14,Electrical Efficiency,https://scholar.google.com/citations?hl=en&user=z2ynYMUAAAAJ&view_op=list_works&sortby=pubdate,https://www.apec-conf.org/Portals/0/Plenary%20Presentations/Speaker%204%20Heidel%20PRES.pdf,,Voltage Regulator Chip,Perish,
ADEPT,Center for Power Electronics Systems (CPES) at Virginia Tech,ALUMNI,Non-profit,9/1/10,11/30/13,Electrical Efficiency,https://scholar.google.com/citations?hl=en&user=C0lsfwUAAAAJ&view_op=list_works&sortby=pubdate,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7117444,https://link.springer.com/content/pdf/10.1007%2Fs11664-013-2866-7.pdf,Integrated Power Adapter,Persist,
ADEPT,City University of New York (CUNY) Energy Institute,ALUMNI,Non-profit,9/2/10,2/28/14,Electrical Efficiency,https://ieeexplore.ieee.org/abstract/document/7130634/authors#authors,,,Metacapacitors for LED Lighting,Persist,
ADEPT,Cree,ALUMNI,For-profit,9/1/10,12/31/14,Electrical Efficiency,https://www.cree.com/,,,Utility-Scale Silicon Carbide Power Transistors,Pivot,
ADEPT,GeneSiC Semiconductor,ALUMNI,For-profit,9/1/10,2/28/13,Electrical Efficiency,https://www.genesicsemi.com/,https://www.arpa-e.energy.gov/sites/default/files/documents/files/SolarADEPT_Workshop_NxtGenPwr_Singh.pdf,https://www.genesicsemi.com/technical_support/Thyristors/Technical_articles/1207%20ECCE%20AST%20Paper.pdf,Utility-Scale Silicon Carbide Semiconductor,Pivot,
ADEPT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,2/28/14,Electrical Efficiency,http://mems.seas.upenn.edu/research.php#past,,,"Compact, Low-Profile Power Converters",Pivot,
ADEPT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,1/31/13,Electrical Efficiency,https://www.ece.gatech.edu/faculty-staff-directory/deepakraj-m-divan,,,Utility-Scale Power Router,Persist,
ADEPT,HRL Laboratories,ALUMNI,For-profit,10/1/10,6/30/14,Electrical Efficiency,http://www.hrl.com/,,,"Compact, Interactive Electric Vehicle Charger",Pivot,
ADEPT,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,9/1/10,12/31/13,Electrical Efficiency,https://arpa-e.energy.gov/?q=impact-sheet/massachusetts-institute-technology-adept,http://www.gantechnology.com/team.html,,Advanced Power Electronics for LED Drivers,Pivot,
ADEPT,Teledyne Scientific & Imaging,ALUMNI,For-profit,10/1/10,7/31/13,Electrical Efficiency,http://www.teledyne.com/,https://www.teledynerelays.com/Datasheets%20ISSR/S20DC30.pdf,,Chip-Scale Power Conversion for LED Lighting,Pivot,
ADEPT,Transphorm,ALUMNI,For-profit,9/1/10,5/28/13,Electrical Efficiency,https://arpa-e.energy.gov/?q=impact-sheet/transphorm-adept,,,Transistors for Electric Motor Drives,Pivot,
ADEPT,General Electric (GE) Global Research,CANCELLED,For-profit,1/1/11,7/17/12,Electrical Efficiency,http://power.thayer.dartmouth.edu/people.shtml,,,Scalable Thick-Film Magnetics,Persist,
ALPHA,California Institute of Technology (Caltech),ALUMNI,Non-profit,10/1/15,12/31/18,Centralized Generation,http://www.bellanplasmagroup.caltech.edu/publications/index.html,,,Heating and Compression Mechanisms for Fusion,Pivot,
ALPHA,Helion Energy,ALUMNI,For-profit,9/30/15,9/29/18,Centralized Generation,http://www.helionenergy.com/?page_id=199,,,Compression of FRC Targets for Fusion,Pivot,
ALPHA,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,8/1/15,6/30/18,Centralized Generation,https://scholar.google.com/citations?hl=en&user=iNe8iOMAAAAJ&view_op=list_works&sortby=pubdate,https://arpa-e.energy.gov/sites/default/files/documents/files/OPEN_2018_Cohort_Nuclear_FINAL.pdf,,MEMS Based Drivers For Fusion,Pivot,
ALPHA,NumerEx,ALUMNI,For-profit,10/1/15,10/31/18,Centralized Generation,http://www.numerex-llc.com/,,,Stabilized Liner Compressor For Low-Cost Fusion,Pivot,
ALPHA,Sandia National Laboratories,ALUMNI,Non-profit,8/15/15,11/24/18,Centralized Generation,https://ieeexplore.ieee.org/abstract/document/8636552,,,Magnetization and Heating Tools for Low-Cost Fusion,Pivot,
ARID,Advanced Cooling Technologies (ACT),ALUMNI,For-profit,8/15/15,12/31/18,Resource Efficiency,https://www.1-act.com/products/pumped-two-phase-cooling-solutions/,,,Cool Storage for Supplemental Cooling,Pivot,
ARID,General Electric (GE) Global Research,ALUMNI,For-profit,9/1/15,3/2/17,Resource Efficiency,https://patentimages.storage.googleapis.com/dd/3e/fc/079fc9b0f26f48/US20160123229A1.pdf,,,Absorption Heat Pump,Pivot,
ARID,Palo Alto Research Center (PARC),ALUMNI,For-profit,8/6/15,5/5/17,Resource Efficiency,,,,Radiative Film for Supplemental Cooling,Pivot,
ARID,SRI International,ALUMNI,Non-profit,8/5/15,6/6/17,Resource Efficiency,https://www.sri.com/work/projects/static,https://www.sri.com/sites/default/files/brochures/sri_arid_static_2017_datasheet.pdf,,Radiative Film for Supplemental Cooling,Persist,
ARID,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,7/31/15,9/30/18,Resource Efficiency,http://radi-cool.com/,,,Radiative Cooling and Cold Storage,Pivot,
ARID,TDA Research,CANCELLED,For-profit,8/6/15,8/5/16,Resource Efficiency,,,,Water Recovery for Cooling,Pivot,
ARID,University of Maryland (UMD),CANCELLED,Non-profit,9/1/15,8/13/18,Resource Efficiency,https://patentimages.storage.googleapis.com/a2/96/93/ac695c85608e55/US20160200591A1.pdf,,,Advanced Absorption Cooling,Pivot,
BEETIT,American Superconductor (AMSC),ACTIVE,,5/20/14,10/31/19,Building Efficiency,,,,High-Efficiency Air Conditioner,Pivot,
BEETIT,ADMA Products,ALUMNI,For-profit,9/1/10,7/31/14,Building Efficiency,https://www.admaproducts.com/,https://patents.google.com/patent/US9555376B2/en,,Membrane Dehumidifier,Persist,
BEETIT,Architectural Applications (A2),ALUMNI,For-profit,10/15/10,10/14/11,Building Efficiency,http://www.architecturalapplications.com/,https://www.buildinggreen.com/product-review/fa-ade-ventilation-moving-beyond-open-windows,https://www.energy.gov/sites/prod/files/2016/08/f33/30004_Breshears_040716-1015.pdf,Energy Efficient Building Ventilation Systems,Pivot,
BEETIT,Astronautics Corporation of America,ALUMNI,For-profit,9/1/10,4/30/14,Building Efficiency,https://astronautics.com/,,,Air Conditioning with Magnetic Refrigeration,Pivot,
BEETIT,Battelle Memorial Institute,ALUMNI,Non-profit,9/1/10,12/30/11,Building Efficiency,,,,Cascade Reverse Osmosis Air Conditioning System,Pivot,
BEETIT,Dais Analytic Corporation,ALUMNI,For-profit,10/1/10,2/29/12,Building Efficiency,https://daisanalytic.com/,,,Dehumidifying Air for Cooling & Refrigeration,Pivot,
BEETIT,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,6/30/14,Building Efficiency,http://www.me.gatech.edu/news/garimelladodarpae,https://www.sciencedirect.com/science/article/pii/S0140700718300069,https://patents.google.com/patent/US20110180235A1/en,Innovative Miniaturized Heat Pumps for Buildings,Pivot,
BEETIT,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,9/15/10,7/31/15,Building Efficiency,https://www.pnnl.gov/news/release.aspx?id=806,https://www.nature.com/articles/ncomms5368.pdf,https://energyenvironment.pnnl.gov/pdf/NAVY_Flier_ARPAE.pdf,High-Efficiency Adsorption Chillers,Pivot,
BEETIT,Pennsylvania State University (Penn State),ALUMNI,Non-profit,9/1/10,7/31/14,Building Efficiency,Steven Garrett,https://www.forbes.com/sites/johnkoetsier/2019/01/18/this-dutch-startup-converts-heat-into-cold-via-a-stirling-engine-and-could-just-save-the-planet/#3840a2346744,,Helium-Based Soundwave Chiller,Pivot,
BEETIT,Sheetak,ALUMNI,For-profit,9/1/10,6/30/15,Building Efficiency,http://www.sheetak.com/,,,High-Efficiency Solid State Cooling Technologies,Persist,
BEETIT,United Technologies Research Center (UTRC),ALUMNI,For-profit,9/2/10,8/31/14,Building Efficiency,https://patents.google.com/patent/US20170030611A1/en?q=liquid+desiccant&assignee=United+Technologies+Research+Center,https://www.techconnect.org/news/entry.html?id=221,https://www.carrier.com/commercial/en/us/products/packaged-outdoor/outdoor-packaged-units/,Liquid Desiccant in Air Conditioners,Pivot,
BEETIT,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,10/1/10,9/30/12,Building Efficiency,http://www.seas.ucla.edu/mtsl/,https://science.sciencemag.org/content/sci/357/6356/1130.full.pdf,,Compact Solid State Cooling Systems,Pivot,
BEETIT,University of Florida,ALUMNI,Non-profit,9/1/10,8/31/15,Building Efficiency,http://mae.ufl.edu/neslabs/,https://patentimages.storage.googleapis.com/2d/87/ae/d34b986f691997/US20190072303A1.pdf,,Membrane-Based Absorption Refrigeration Systems,Pivot,
BEETIT,University of Maryland (UMD),ALUMNI,Non-profit,10/1/10,3/6/17,Building Efficiency,https://mse.umd.edu/clark/faculty/722/Ichiro-Takeuchi,https://patents.google.com/patent/US20190085228A1/en,https://www.nature.com/articles/s41467-018-06626-y,Elastic Metal Alloy Refrigerants,Pivot,
BEETIT,University of Notre Dame,ALUMNI,Non-profit,10/1/10,9/30/13,Building Efficiency,https://wfschneidergroup.github.io/,,,Carbon Dioxide and Ionic Liquid Refrigerants,Pivot,
BEETIT,Material Methods,CANCELLED,For-profit,9/15/10,9/21/11,Building Efficiency,http://materialmethods.com/index.html,,,Sound Wave Refrigerants,Pivot,
BEETIT,United Technologies Research Center (UTRC),CANCELLED,For-profit,9/2/10,3/16/12,Building Efficiency,http://www.utrc.utc.com/,,,Water-Based Refrigerants,Persist,
DELTA,Cornell University,ALUMNI,Non-profit,4/27/15,8/15/18,Building Efficiency,https://patents.google.com/patent/US20170172227A1/en,,,Thermoregulatory Clothing System,Pivot,
DELTA,SRI International,ALUMNI,Non-profit,5/1/15,9/30/18,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/18_SRI_DELTA_ProgramKickoff_0.pdf,https://arpa-e.energy.gov/sites/default/files/8.%20SRI%20Pitch%20for%20ARPA-E_DELTA%20SEPT-2017%20public.pdf,https://www.sri.com/blog/wearable-active-textiles-personal-cooling-and-heating-saving-energy-and-increasing-comfort,Wearable Electroactive Textile,Pivot,
DELTA,The State University of New York (SUNY) at Stony Brook,ALUMNI,Non-profit,5/5/15,7/30/18,Building Efficiency,https://nesywangsbu.wixsite.com/yawang/blank-c151z,,,Electroactive Smart Air-Conditioner VEnt Registers (eSAVER),Pivot,
DELTA,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,5/14/15,6/30/18,Building Efficiency,https://witricity.com/technology/,,,Wirelessly Powered Heating and Cooling Devices,Pivot,
DELTA,"University of California, Irvine (UC Irvine)",ALUMNI,Non-profit,4/20/15,4/19/18,Building Efficiency,http://innovation.uci.edu/2019/01/uci-professor-alon-gorodetsky-turns-science-fiction-into-reality/,,,Thermocomfort Cloth,Pivot,
