,Companies,description,endDate,program,projectStatus,projecturl,startDate,state,Tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,Rebecca,Sarah,Final Decision,Notes/Comments-Rebecca,Notes/Comments Sarah,Comments,,,,
10,Gas Technology Institute (GTI),"Gas Technology Institute (GTI) is developing a new process to convert natural gas or methane-containing gas into methanol and hydrogen for liquid fuel. Methanol serves as the main feedstock for dimethyl ether, which could be used for vehicular fuel. Unfortunately, current methods to produce liquid fuels from natural gas require large and expensive facilities that use significant amounts of energy. GTI's process uses metal oxide catalysts that are continuously regenerated in a reactor, similar to a battery, to convert the methane into methanol. These metal oxide catalysts reduce the energy required during the conversion process. This process operates at room temperature, is more energy efficient, and less capital-intensive than existing methods.
",2015-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/efficient-natural-gas-methanol-conversion,2013-01-01,Illinois,Efficient Natural Gas-to-Methanol Conversion,Transportation Fuels,,1640390,1,Non-profit,Pivot,Persist,Persist,"other, similar projects funded more recently through NETL",None,,,,,
11,Gas Technology Institute (GTI),"Gas Technology Institute (GTI) will develop a sulfur-based methane oxidation process, known as soft oxidation, to convert methane into liquid fuels and chemicals. Current gas-to-liquid technology for converting methane to liquid hydrocarbons requires massive scale to achieve economic production. The large plant size makes this approach unsuitable to address the challenge of distributed methane emissions. Soft oxidation is a method better suited to address this challenge because of its modular nature. It also addresses a major limitation of conventional gas-to-liquid technology: the irreversible conversion of methane and oxygen to carbon dioxide. In this project, GTI will demonstrate and optimize a two-step methane soft oxidation process and develop a fully integrated system that converts methane to liquid hydrocarbons, recovers the valuable liquids and hydrogen gas, and recycles the remaining products. A key difference with traditional oxygen-based approaches is that GTI's method allows for some hydrogen recovery, whereas in oxygen-based approaches the hydrogen must be consumed completely. Soft oxidation has a higher efficiency because of this, and it lacks the need for complex heat integration and recovery methods that require large scale plants. If successful, this new process could provide an economic pathway to significantly reduce methane emissions through on-site conversion.

",2017-09-30,IDEAS,ALUMNI,?q=slick-sheet-project/methane-soft-oxidation,2016-09-07,Illinois,Methane Soft Oxidation,Transportation Fuels,,500000,1,Non-profit,Perish,Persist,Pivot,Seems hypothetical not first recommended tech,None,,,,,
12,Gas Technology Institute (GTI),"Gas Technology Institute (GTI) will partner with Northwestern University, NuMat Technologies, a Northwestern start-up company, and Westport Fuel Systems to identify materials with the best characteristics for low-pressure natural gas storage. The gas-storing materials, known as metal organic framework (MOF) adsorbents, hold natural gas the way a sponge holds liquids. The project team will further develop their computer modeling and screening technique to support the creation of a low-pressure adsorbent material specifically designed for natural gas vehicles. The team will also validate the materials properties in real-world conditions. Low-pressure gas tanks represent significant potential for lowering not only the cost of NGVs, but also the cost of fueling by reducing the need to compress the gas.
",2014-03-31,MOVE,ALUMNI,?q=slick-sheet-project/low-pressure-conformable-natural-gas-vehicle-tank,2012-10-01,Illinois,Low-Pressure Conformable Natural Gas Vehicle Tank,Transportation Fuels,,1485612,0,Non-profit,Pivot,Persist,Pivot,Partners working on hydrogen now,None,https://www.numat-tech.com/platforms/,,,,
13,Gas Technology Institute (GTI),"Gas Technology Institute (GTI) is developing a natural gas tank for light-duty vehicles that features a thin, tailored shell containing microscopic valves which open and close on demand to manage pressure within the tank. Traditional natural gas storage tanks are thick and heavy, which makes them expensive to manufacture. GTI's tank design uses unique adsorbent pellets with nano-scale pores surrounded by a coating that functions as valves to help manage the pressure of the gas and facilitate more efficient storage and transportation. GTI's low-pressure tanks would have thinner walls than today's best alternatives, resulting in a lighter, more affordable product with increased storage capacity.
",2014-12-31,MOVE,ALUMNI,?q=slick-sheet-project/adsorbent-materials-natural-gas-storage,2013-01-01,Illinois,Adsorbent Materials for Natural Gas Storage,Transportation Fuels,,873515,0,Non-profit,Pivot,Persist,Pivot,"Not sure what's happening with this, have a patent",None,"Publications on MOFs, applications unclear",,,,
14,General Electric (GE) Global Research,"General Electric (GE) Global Research is using nanomaterials technology to develop advanced magnets that contain fewer rare earth materials than their predecessors. Nanomaterials technology involves manipulating matter at the atomic or molecular scale, which can represent a stumbling block for magnets because it is difficult to create a finely grained magnet at that scale. GE is developing bulk magnets with finely tuned structures using iron-based mixtures that contain 80% less rare earth materials than traditional magnets, which will reduce their overall cost. These magnets will enable further commercialization of HEVs, EVs, and wind turbine generators while enhancing U.S. competitiveness in industries that heavily utilize these alternatives to rare earth minerals.
",2013-09-30,OPEN 2009,ALUMNI,?q=slick-sheet-project/nanocomposite-magnets,2010-10-01,Connecticut,Nanocomposite Magnets,Transportation Vehicles,,2249123,1,Non-profit,Pivot,Persist,Pivot,"hold a patent for making nanocomposities, but nothing about the vehicle strategy",None,https://www.energy.gov/sites/prod/files/2018/04/f50/Amorphous%20and%20Nanocomposite%20Magnets%20for%20High%20Efficiency%20High%20Speed%20Motor%20Designs.pdf,Maybe originally misclassified by arpa-e? Should have had multiple tech categories?,,,
15,Georgia Tech Research Corporation,"Researchers with the Georgia Tech Research Corporation?will combine real-time analysis of transportation network data with distributed simulation modeling to provide drivers with information and incentives to reduce energy consumption. The team's system model will use three sources of data to simulate the transportation network of the Atlanta metro area. The Georgia Department of Transportation's intelligent transportation system (ITS) data repository, hosted at Georgia Tech, will provide 20-second, lane-specific operations data while team partner, AirSage, will provide highway speeds and origin-destination patterns obtained from cellular networks. The team will also use real-time speed data collected from 40,000 volunteers using a smartphone application. The researchers will use pattern recognition algorithms to identify traffic accidents and recurrent congestion, predict traffic congestion severity, and user responses to congested conditions. Using this information, the team will develop a control architecture that will signal drivers with options to alter departure times, take specific routes, and/or use alternate modes of transportation to reduce energy use. The team anticipates that users will adopt the suggested guidance because the suggestions identified will not increase the time or cost of the trip, and could ultimately save users money in fuel costs.

",2018-08-15,TRANSNET,ALUMNI,?q=slick-sheet-project/network-performance-monitoring-and-distributed-simulation,2016-01-06,Georgia,Network Performance Monitoring and Distributed Simulation,Transportation Network,,2981746,0,Non-profit,Perish,Persist,Pivot,"Website not working, never referenced by other research groups (they seem to cite everyone else)",https://scholar.google.com/citations?hl=en&user=LRMzl7IAAAAJ&view_op=list_works&sortby=pubdate ,,,,,
16,Ginkgo Bioworks,"Ginkgo Bioworks is bypassing photosynthesis and engineering E. coli to directly use carbon dioxide (CO<sub>2</sub>) to produce biofuels. E. coli doesn't naturally metabolize CO<sub>2</sub>, but Ginkgo Bioworks is manipulating and incorporating the genes responsible for CO<sub>2</sub> metabolism into the microorganism. By genetically modifying E. coli, Ginkgo Bioworks will enhance its rate of CO<sub>2</sub> consumption and liquid fuel production. Ginkgo Bioworks is delivering CO<sub>2</sub> to E. coli as formic acid, a simple industrial chemical that provides energy and CO<sub>2</sub> to the bacterial system.
",2014-01-15,Electrofuels,ALUMNI,?q=slick-sheet-project/biofuels-e-coli,2010-07-16,Massachusetts,Biofuels from E. Coli,Transportation Fuels,,6438793,0,Non-profit,Pivot,Perish,Perish,None,None,,,,,
17,Harvard University,"Harvard University is engineering a self-contained, scalable electrofuels production system that can directly generate liquid fuels from bacteria, carbon dioxide (CO<sub>2</sub>), water, and sunlight. Harvard is genetically engineering bacteria called Shewanella, so the bacteria can sit directly on electrical conductors and absorb electrical current. This current, which is powered by solar panels, gives the bacteria the energy they need to process CO<sub>2</sub> into liquid fuels. The Harvard team pumps this CO<sub>2</sub> into the system, in addition to water and other nutrients needed to grow the bacteria. Harvard is also engineering the bacteria to produce fuel molecules that have properties similar to gasoline or diesel fuel--making them easier to incorporate into the existing fuel infrastructure. These molecules are designed to spontaneously separate from the water-based culture that the bacteria live in and to be used directly as fuel without further chemical processing once they're pumped out of the tank.
",2013-09-30,Electrofuels,ALUMNI,?q=slick-sheet-project/fuel-bacteria-co2-water-and-solar-energy,2010-07-01,Massachusetts,"Fuel from Bacteria, CO2, Water, and Solar Energy",Transportation Fuels,,4194124,0,Non-profit,Pivot,Persist,Pivot,Doesn't seem to be activley working on biofuels anymore,None,,,,,
18,Inventev,"Inventev is developing a proof-of-concept for a commercially viable generator system that is integrated with a truck transmission. The project will involve the design and fabrication of transmission and power electronics subsystems, integration of those systems into a Ford F550 chassis-cab truck, and conversion of the standard gasoline engine to a low-pressure natural gas engine. The project aims to create a 120kW low-cost, low-emission mobile power generator using natural gas with a cost target of 6-to-7 cents per kilowatt-hour. Of particular significance is the ability to use the same devices (i.e. electric machine motor/generators) that electrically propel a vehicle to become generators for exporting 3-phase grid-quality power. If successful, this technology could be used to create fleets of trucks with inherent power generating capability that could be deployed to enable electrical grid resiliency from interruptions or used short-term for low-cost nimble and localized generating capacity.<br/>
",2017-04-05,IDEAS,ALUMNI,?q=slick-sheet-project/transmission-based-power-generator,2016-01-06,Michigan,Transmission-Based Power Generator,Transportation Vehicles,,499999,1,Non-profit,Perish,Persist,Pivot,They do consulting now,None,"Hold a patent, but do a lot more with consulting",,,,
19,Iowa State University (ISU),"Iowa   State University (ISU) will develop a catalytic autothermal pyrolysis (CAP) process for the production of aromatics and olefins that refiners blend into transportation fuels. Pyrolysis is the decomposition of substances by heating - the same process used to render wood into charcoal, caramelize sugar, and dry roast coffee beans. Traditionally, energy for pyrolysis is provided through indirect heat exchange, employing high temperature heat exchangers within reactors or conveying hot solids into reactors with the feedstock. This approach complicates the design and operation of reactors and requires a separate combustor to burn char, coke, or other fuel to generate the thermal energy. The ISU team plans to use an autothermal fluidized bed reactor, a specialized reactor where a gas is passed through solid granular material at high velocity. Air is used as the fluidizing gas to promote direct, partial combustion of biomass and pyrolysis products to supply the energy required for endothermic operation. This will replace indirect heating methods with direct heating within the reactor, simplifying the design and reducing capital cost while increasing throughput, improving catalyst life, and achieving product yield and quality similar to or greater than current processes. The team seeks to demonstrate CAP in the laboratory and pilot-scale reactors; identify optimal CAP operating conditions to maximize the yield of hydrocarbons; and develop engineering scaling relationships for CAP reactors to facilitate the design of commercial-scale CAP reactors.

",2017-12-31,IDEAS,ALUMNI,?q=slick-sheet-project/catalytic-autothermal-pyrolysis,2016-08-11,Iowa,Catalytic Autothermal Pyrolysis,Transportation Fuels,,371726,1,Non-profit,Pivot,Persist,Persist,"Research project, still not commercial",None,https://www.biorenew.iastate.edu/research/thermochemical/autothermal/,https://www.aiche.org/rapid/projects/autothermal-pyrolysis-lignocellulose-wastes-sugars-and-other-biobased-products,,,
20,Lawrence Berkeley National Laboratory (LBNL),"Lawrence Berkeley National Laboratory (LBNL) is modifying tobacco to enable it to directly produce fuel molecules in its leaves for use as a biofuel. Tobacco is a good crop for biofuels production because it is an outstanding biomass crop, has a long history of cultivation, does not compete with the national food supply, and is highly responsive to genetic manipulation. LBNL will incorporate traits for hydrocarbon biosynthesis from cyanobacteria and algae, and enhance light utilization and carbon uptake in tobacco, improving the efficiency of photosynthesis so more fuel can be produced in the leaves. The tobacco-generated biofuels can be processed for gasoline, jet fuel, or diesel alternatives. LBNL is also working to optimize methods for planting, cultivating and harvesting tobacco to increase biomass production several-fold over the level of traditional growing techniques.
",2015-03-26,PETRO,ALUMNI,?q=slick-sheet-project/oil-tobacco-leaves,2012-01-01,California,Oil from Tobacco Leaves,Transportation Fuels,,4836807,0,Non-profit,Pivot,Perish,Perish,PI working with sorgum,None,,,,,
21,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) is using carbon dioxide (CO<sub>2</sub>) and hydrogen generated from electricity to produce natural oils that can be upgraded to hydrocarbon fuels. MIT has designed a 2-stage biofuel production system. In the first stage, hydrogen and CO<sub>2</sub> are fed to a microorganism capable of converting these feedstocks to a 2-carbon compound called acetate. In the second stage, acetate is delivered to a different microorganism that can use the acetate to grow and produce oil. The oil can be removed from the reactor tank and chemically converted to various hydrocarbons. The electricity for the process could be supplied from novel means currently in development, or more proven methods such as the combustion of municipal waste, which would also generate the required CO<sub>2</sub> and enhance the overall efficiency of MIT's biofuel-production system.

",2014-03-31,Electrofuels,ALUMNI,?q=slick-sheet-project/natural-oil-production-microorganisms,2010-07-15,Massachusetts,Natural Oil Production from Microorganisms,Transportation Fuels,,3863563,0,Non-profit,Pivot,Persist,Pivot,Different target market,None,,,,,
22,Massachusetts Institute of Technology (MIT),"The Bioinformatics and Metabolic Engineering Lab at the Massachusetts Institute of Technology (MIT) led by Prof. Greg Stephanopoulos will develop a comprehensive process to directly convert methane into a usable transportation fuel in a single step. MIT's unique technologies integrate methane activation with fuel synthesis, two distinct processes required to convert methane that are typically performed separately. Today, activating methane prior to converting it to useful fuel is a high-temperature, energy-intensive process. MIT's unique approach would use nitrate instead of oxygen to oxidize the methane, which could increase the energy efficiency of methane activation and ultimately convert it to fuel. Further, MIT will investigate the use of zeolite catalysts that have the potential to activate methane and convert it to methanol at very high efficiencies.
",2017-06-30,REMOTE,ALUMNI,?q=slick-sheet-project/single-step-methane-liquid-fuels,2014-02-03,Massachusetts,Single-Step Methane to Liquid Fuels,Transportation Fuels,,3000000,0,Non-profit,Pivot,Persist,Pivot,None,https://stephanopouloslab.org/remote/ ,,,,,
23,Medical University of South Carolina (MUSC),"Medical University of South Carolina (MUSC) is developing an engineered system to create liquid fuels from communities of interdependent microorganisms. MUSC is first pumping carbon dioxide (CO<sub>2</sub>) and renewable sources of electricity into a battery-like cell. A community of microorganisms uses the electricity to convert the CO<sub>2</sub> into hydrogen. That hydrogen is then consumed by another community of microorganisms living in the same system. These new microorganisms convert the hydrogen into acetate, which in turn feed yet another community of microorganisms. This last community of microorganisms uses the acetate to produce a liquid biofuel called butanol. Similar interdependent microbial communities can be found in some natural environments, but they've never been coupled together in an engineered cell to produce liquid fuels. MUSC is working to triple the amount of butanol that can be produced in its system and to reduce the overall cost of the process.

",2015-02-15,Electrofuels,ALUMNI,?q=slick-sheet-project/liquid-fuel-microbial-communities,2010-07-09,South Carolina,Liquid Fuel from Microbial Communities,Transportation Fuels,,2632680,0,Non-profit,Perish,Persist,Pivot,None,None,Add to the academic ? list,,,,
24,North Carolina State University (NC State),"North Carolina State University (NC State) will genetically modify the oil-crop plant Camelina sativa to produce high quantities of both modified oils and terpenes. These components are optimized for thermocatalytic conversion into energy-dense drop-in transportation fuels. The genetically engineered Camelina will capture more carbon than current varieties and have higher oil yields. The Camelina will be more tolerant to drought and heat, which makes it suitable for farming in warmer and drier climate zones in the US. The increased productivity of NC State's enhanced Camelina and the development of energy-effective harvesting, extraction, and conversion technology could provide an alternative non-petrochemical source of fuel.

",2017-03-31,PETRO,ALUMNI,?q=slick-sheet-project/jet-fuel-camelina,2012-01-01,North Carolina,Jet Fuel from Camelina,Transportation Fuels,,8556336,0,Non-profit,Pivot,Persist,Persist,None,None,"Parnter focused on crops (food security, not biofuels)",PI website:,https://sederoff.wordpress.ncsu.edu/,PI Google Scholar,https://scholar.google.com/citations?hl=en&user=jfbyFfcAAAAJ&view_op=list_works&sortby=pubdate
25,Northwestern University,"Northwestern University and partners will leverage computational protein design to engineer and repurpose a natural catalyst to convert methane gas to liquid fuel. Current industrial processes to convert methane to liquid fuels are costly, or inefficient and wasteful. To address this, Northwestern University will alter natural catalysts to create versatile new protein catalysts that convert methane to methanol which can more easily integrate into fuel production pathways. Northwestern will also engineer an additional protein catalysts to couple, or join, two molecules of methane together, a process critical towards producing longer chain ""hydrocarbons"" similar to those found in gasoline. Northwestern University's simplified catalysts will provide a better alternative to existing methane converting enzymes and can be incorporated into multiple types of processes.
",2015-11-15,REMOTE,ALUMNI,?q=slick-sheet-project/new-synthetic-catalysts-methane-activation,2014-02-12,Illinois,New Synthetic Catalysts for Methane Activation,Transportation Fuels,,1613781,0,Non-profit,Pivot,Persist,Pivot,None,None,http://groups.molbiosci.northwestern.edu/rosenzweig/publications.html ,,,,
26,OnBoard Dynamics,"OnBoard Dynamics is modifying a passenger vehicle to allow its internal combustion engine to be used to compress natural gas for storage on board the vehicle. Ordinarily, filling a compressed natural gas vehicle with natural gas would involve driving to a natural gas refueling station or buying an expensive stand-alone station for home use. OnBoard's design would allow natural gas compression to take place in a single cylinder of the engine itself, allowing the actual car to behave like a natural gas refueling station. Ultimately, the engine would then have the ability both to power the vehicle and to compress natural gas so it can be stored efficiently for future use. The design would cost approximately $400 and pay for itself with fuel savings in less than 6 months.

",2018-01-14,MOVE,ALUMNI,?q=slick-sheet-project/vehicle-engine-compressor-system,2012-10-01,Oregon,On-Vehicle Engine-Compressor System,Transportation Fuels,,6268430,0,Non-profit,Pivot,Persist,Pivot,,"New on-vehicle technology is not yet on company website, but appears to still be in development",,,,,
27,Oregon State University (OSU),"Oregon State University (OSU) will develop a small-scale bioreactor that can enable high-rate, low cost bioconversion of methane to liquid fuel. Current systems to convert methane using microorganisms can be slow and inefficient due to the low rate at which methane gas and nutrients are transferred to biocatalysts as well as the build-up of toxins that affect the health of biocatalysts. Using an ultra-thin, stacked ""Bio-Lamina-Plate"" system OSU will attempt to improve the overall rate at which methane is transferred to the biocatalysts. This new reactor design also helps to improve the rate at which oxygen is provided and products are removed from the system. The reactor design improves the amount of surface exposed relative to the volume of biofilm and provides better heat transfer to improve overall reactor efficiency. Unlike reactors build using stainless steel, OSU's reactor may use low-cost materials such as plastic and glass, as well as simple fabrication techniques to reduce the bioreactor manufacturing costs.
",2017-08-31,REMOTE,ALUMNI,?q=slick-sheet-project/bioreactor-using-ultra-thin-plates,2014-01-01,Oregon,Bioreactor Using Ultra-Thin Plates,Transportation Fuels,,2630867,0,Non-profit,Perish,Persist,Perish,"No publications, no recent info, no website",https://patents.google.com/patent/US20180258381A1/en ,,Who is this guy?,,,
28,Otherlab,"Otherlab is developing a natural gas storage tank made of small-radius, high-pressure tubes that allow for maximum conformability to vehicle shape. Current storage options are too rigid, expensive, and inefficient to support adoption of natural gas vehicles. Otherlab's space-filling tube design, modeled after human intestines, provides for maximum storage capacity. This transformational system could be constructed from low-cost materials and well suited to highly automated manufacturing processes.

",2016-03-31,MOVE,ALUMNI,?q=slick-sheet-project/intestinal-natural-gas-storage,2012-09-03,California,Intestinal Natural Gas Storage,Transportation Fuels,,3450000,0,Non-profit,Pivot,Persist,Pivot,Linamar licenscing it from spinn off,Technology licensed to another company.,pivot to hydrogen,,,,
29,Pacific Northwest National Laboratory (PNNL),"Pacific Northwest National Laboratory (PNNL) is developing a low-cost, conformable natural gas tank for light-duty vehicles utilizing the same metal forming techniques used to fabricate high-strength cruise missile fins. Traditional gas tanks are made using a method known as arc welding, where an electric arc is used to melt and combine metals, which can limit their conformability. PNNL's ultra-light design relies on friction stir welding, where metal is softened--like taffy--instead of melted, which allows the metal to retain its original properties and preserves its conformability. The manufacturing process for PNNL's tanks incorporates high-strength internal strut technology that efficiently fits into a vehicle, offering a tank that costs around $1500, a substantial price reduction compared to today's best tanks.
",2014-09-30,MOVE,ALUMNI,?q=slick-sheet-project/ultra-light-conformable-natural-gas-tank,2012-10-01,Washington,Ultra-Light Conformable Natural Gas Tank,Transportation Fuels,,553092,0,Non-profit,Perish,Persist,Pivot,"seem to be focused on hydrogen, not natural gas",None,"http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=9,234,626.PN.&OS=PN/9,234,626&RS=PN/9,234,626",,,,
