Total project count,To-do list,Program,Program Targets/Solicitation,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,,Comments,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,NanOasis Technologies,CANCELLED,For-profit,1/1/10,10/14/11,Resource Efficiency,Website doesn't work,,,Use of Carbon Nanotubes for Efficient Reverse Osmosis,Perish,,,,,,,,,,,,,
1,0,OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2009 ,United Technologies Research Center (UTRC),CANCELLED,For-profit,12/15/09,1/9/12,Resource Efficiency,http://www.utrc.utc.com/,,,Using Synthetic Enzymes for Carbon Capture,Perish,,"tech exists, unclear in UTRC still involved",https://sharestory.me/synthetic-catalyst/,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Arizona State University (ASU),ALUMNI,Non-profit,3/12/13,2/28/17,Resource Efficiency,https://sms.asu.edu/daniel_buttry,,,Electrochemical Carbon Capture,Persist,,https://sms.asu.edu/node/854,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Ceramatec,ALUMNI,For-profit,2/1/13,2/15/15,Resource Efficiency,Website doesn't work,,,"A One-Step, Gas-to-Liquid Chemical Converter",Perish,,no data - ceramatec seems acquired; active research at other places,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Dioxide Materials,ALUMNI,For-profit,2/1/13,3/6/17,Resource Efficiency,https://dioxidematerials.com/,,,Converting CO2 into Fuel and Chemicals,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,eNova,ALUMNI,For-profit,5/1/13,2/17/14,Resource Efficiency,No website,,,Waste Heat-Powered Gas Compressor,Perish,,no data,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,General Electric (GE) Global Research,ALUMNI,For-profit,4/30/13,7/31/17,Grid,https://arpa-e.energy.gov/sites/default/files/documents/files/GE_OPEN2012_ImpactSheet_02062017_FINAL.pdf,,,High-Power Gas Tube Switches,Persist,,also use for ac interim,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,HexaTech,ALUMNI,For-profit,2/5/13,5/31/16,Grid,http://www.hexatechinc.com/,,,Semiconductors that Improve Electricity Flow,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,6/1/13,12/31/14,Resource Efficiency,https://be.mit.edu/directory/jongyoon-han,http://www.rle.mit.edu/micronano/publications/,,"Scalable, Low-Power Water Treatment System",Persist,,https://www.nature.com/articles/srep31850,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,4/12/13,7/17/16,Grid,https://arpa-e.energy.gov/sites/default/files/8_PNNL_Huang_GENI3.pdf,https://www.sciencedirect.com/science/article/abs/pii/S0378779616302322,http://sites.ieee.org/pes-hpcgrid/files/2018/07/GridPACK_slides.pdf,Real-Time Transmission Optimization,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,RamGoss,ALUMNI,For-profit,2/11/13,8/10/14,Grid,"No website/recent info, contact works at Breakthrough Energy",,,High-Performance Transistors,Perish,,"tech still active area of research, but can't find antying about company",https://phys.org/news/2018-07-path-high-performance-transistors.html,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Rensselaer Polytechnic Institute (RPI),ALUMNI,Non-profit,3/7/13,3/6/16,Grid,https://scholar.google.com/citations?hl=en&user=uxs7YVwAAAAJ&view_op=list_works&sortby=pubdate,,,High-Power Transistor Switch,Persist,,active research agenda,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Stanford University,ALUMNI,Non-profit,2/20/13,3/19/18,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/StanfordRadiativeCooling_OPEN2012_ExternalImpactSheet_FINAL.pdf,https://www.nature.com/articles/nature13883,https://www.pnas.org/content/pnas/112/40/12282.full.pdf,Radiative Coolers for Rooftops and Cars,Persist,,nature article about its success,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,4/8/13,11/30/16,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/documents/files/RAPMOD%20Impact%20Sheet-01272017_FINAL.pdf,,,Rapid Building Energy Modeler - RAPMOD,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of California, Berkeley (UC Berkeley)",ALUMNI,Non-profit,3/1/13,6/30/18,Grid,https://arpa-e.energy.gov/sites/default/files/documents/files/UCB_OPEN2012_ExternalProjectImpactSheet_FINAL.pdf,,,Measuring Phase Angle Change in Power Lines,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of Illinois, Urbana-Champaign (UIUC)",ALUMNI,Non-profit,4/5/13,8/31/16,Grid,https://www.osti.gov/biblio/1341011,http://hkn.ieee.org/wp-content/uploads/2017/10/Bridge_2_2016.pdf,,Power Grid Security,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of Minnesota (UMN),ALUMNI,Non-profit,3/22/13,9/21/16,Resource Efficiency,https://scholar.google.com/citations?hl=en&user=bzIzJ6cAAAAJ&view_op=list_works&sortby=pubdate,,,Ultra-Thin Membranes for Biofuels Production,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of North Dakota Energy & Environmental Research Center (UND-EERC),ALUMNI,Non-profit,4/1/13,6/30/14,Resource Efficiency,https://www.serdp-estcp.org/content/download/48952/466792/file/EW-201723%20Demonstration%20Report.pdf,,,Water-Efficient Power Generation,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of Pittsburgh,ALUMNI,Non-profit,5/1/13,4/30/16,Resource Efficiency,https://patents.google.com/patent/US9777122B2/en,https://pubs.acs.org/doi/pdf/10.1021/acs.energyfuels.6b00946?rand=l3np9orf,,CO2 Thickeners for Enhanced Oil and Gas Recovery,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of Texas at Austin (UT Austin),ALUMNI,Non-profit,3/28/13,9/26/16,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/documents/files/UTAustin_OPEN2012%20_ExternalProjectImpactSheet_FINAL.pdf,,,Smart Window Coatings,Persist,,,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Yale University,ALUMNI,Non-profit,4/24/13,12/31/15,Resource Efficiency,https://www.sciencedirect.com/science/article/pii/S0376738817304180,,,Closed-Loop System Using Waste Heat for Electricity,Persist,,tech not currently meeting specs,,,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Silicon Power,CANCELLED,For-profit,5/15/13,8/10/15,Grid,https://siliconpower.com/,,,Optical Switches for High-Power Systems,Persist,,,,,,,,,,,,,
1,0,OPEN 2015,https://drive.google.com/open?id=1WJSH11x-Vav4FOWStJvpj7rF-wrYDpSe ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2015,The Mackinac Technology Company,ALUMNI,For-profit,4/1/16,3/31/18,Building Efficiency,https://www.mackinac-technology.com/index.html,https://info.ornl.gov/sites/publications/Files/Pub108320.pdf,https://www.transit.dot.gov/sites/fta.dot.gov/files/docs/research-innovation/115886/fta-annual-report-public-transportation-innovation-research-projects-fy-2017-fta-report-no-0120.pdf,Single Pane Window Retrofit System,Pivot,,switched to transportation from buildings,,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,Advanced Cooling Technologies (ACT),ALUMNI,For-profit,8/15/15,12/31/18,Resource Efficiency,https://www.1-act.com/products/pumped-two-phase-cooling-solutions/,,,Cool Storage for Supplemental Cooling,Pivot,,"mention mostly industrial applications, whereas initial bid was for power plants",,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,General Electric (GE) Global Research,ALUMNI,For-profit,9/1/15,3/2/17,Resource Efficiency,https://patentimages.storage.googleapis.com/dd/3e/fc/079fc9b0f26f48/US20160123229A1.pdf,,,Absorption Heat Pump,Persist,,http://gemeac.com/pdf/Air-Products/GE_AASP_Series_combine.pdf,,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,Palo Alto Research Center (PARC),ALUMNI,For-profit,8/6/15,5/5/17,Resource Efficiency,https://scholar.google.com/citations?hl=en&user=0VaDO80AAAAJ&view_op=list_works&sortby=pubdate,,,Radiative Film for Supplemental Cooling,Persist,,,,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,SRI International,ALUMNI,Non-profit,8/5/15,6/6/17,Resource Efficiency,https://www.sri.com/work/projects/static,https://www.sri.com/sites/default/files/brochures/sri_arid_static_2017_datasheet.pdf,,Radiative Film for Supplemental Cooling,Persist,,could also be Pivot; used in commercial applications as well as initial bid application of power plants,,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,7/31/15,9/30/18,Resource Efficiency,http://radi-cool.com/,,,Radiative Cooling and Cold Storage,Persist,,,,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,TDA Research,CANCELLED,For-profit,8/6/15,8/5/16,Resource Efficiency,,,,Water Recovery for Cooling,Persist,,http://tda.com/emerging-technologies-2/,http://tda.com/patents/,,,,,,,,,,
1,0,ARID,https://drive.google.com/open?id=1qJJT74pfa9ZavvjOt8bplmOBI6B9cBEr ,https://arpa-e.energy.gov/?q=arpa-e-programs/arid,University of Maryland (UMD),CANCELLED,Non-profit,9/1/15,8/13/18,Resource Efficiency,https://patentimages.storage.googleapis.com/a2/96/93/ac695c85608e55/US20160200591A1.pdf,,,Advanced Absorption Cooling,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,ADMA Products,ALUMNI,For-profit,9/1/10,7/31/14,Building Efficiency,https://www.admaproducts.com/,https://patents.google.com/patent/US9555376B2/en,,Membrane Dehumidifier,Persist,,also operates in other markets,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Architectural Applications (A2),ALUMNI,For-profit,10/15/10,10/14/11,Building Efficiency,http://www.architecturalapplications.com/,https://www.buildinggreen.com/product-review/fa-ade-ventilation-moving-beyond-open-windows,https://www.energy.gov/sites/prod/files/2016/08/f33/30004_Breshears_040716-1015.pdf,Energy Efficient Building Ventilation Systems,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Astronautics Corporation of America,ALUMNI,For-profit,9/1/10,4/30/14,Building Efficiency,https://astronautics.com/,,,Air Conditioning with Magnetic Refrigeration,Perish,,"not a current tech on website, although they may be using something in an aviation",,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Battelle Memorial Institute,ALUMNI,Non-profit,9/1/10,12/30/11,Building Efficiency,,,,Cascade Reverse Osmosis Air Conditioning System,Perish,,no current info,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Dais Analytic Corporation,ALUMNI,For-profit,10/1/10,2/29/12,Building Efficiency,https://daisanalytic.com/,,,Dehumidifying Air for Cooling & Refrigeration,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Georgia Tech Research Corporation,ALUMNI,Non-profit,9/1/10,6/30/14,Building Efficiency,http://www.me.gatech.edu/news/garimelladodarpae,https://www.sciencedirect.com/science/article/pii/S0140700718300069,https://patents.google.com/patent/US20110180235A1/en,Innovative Miniaturized Heat Pumps for Buildings,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,9/15/10,7/31/15,Building Efficiency,https://www.pnnl.gov/news/release.aspx?id=806,https://www.nature.com/articles/ncomms5368.pdf,https://energyenvironment.pnnl.gov/pdf/NAVY_Flier_ARPAE.pdf,High-Efficiency Adsorption Chillers,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Pennsylvania State University (Penn State),ALUMNI,Non-profit,9/1/10,7/31/14,Building Efficiency,Steven Garrett,https://www.forbes.com/sites/johnkoetsier/2019/01/18/this-dutch-startup-converts-heat-into-cold-via-a-stirling-engine-and-could-just-save-the-planet/#3840a2346744,,Helium-Based Soundwave Chiller,Persist,,"https://scholar.google.com/scholar?as_ylo=2015&q=Robert+Keolian&hl=en&as_sdt=0,31",,,,,,,,,1,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Sheetak,ALUMNI,For-profit,9/1/10,6/30/15,Building Efficiency,http://www.sheetak.com/,,,High-Efficiency Solid State Cooling Technologies,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,United Technologies Research Center (UTRC),ALUMNI,For-profit,9/2/10,8/31/14,Building Efficiency,https://patents.google.com/patent/US20170030611A1/en?q=liquid+desiccant&assignee=United+Technologies+Research+Center,https://www.techconnect.org/news/entry.html?id=221,https://www.carrier.com/commercial/en/us/products/packaged-outdoor/outdoor-packaged-units/,Liquid Desiccant in Air Conditioners,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,10/1/10,9/30/12,Building Efficiency,http://www.seas.ucla.edu/mtsl/,https://science.sciencemag.org/content/sci/357/6356/1130.full.pdf,,Compact Solid State Cooling Systems,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,University of Florida,ALUMNI,Non-profit,9/1/10,8/31/15,Building Efficiency,http://mae.ufl.edu/neslabs/,https://patentimages.storage.googleapis.com/2d/87/ae/d34b986f691997/US20190072303A1.pdf,,Membrane-Based Absorption Refrigeration Systems,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,University of Maryland (UMD),ALUMNI,Non-profit,10/1/10,3/6/17,Building Efficiency,https://mse.umd.edu/clark/faculty/722/Ichiro-Takeuchi,https://patents.google.com/patent/US20190085228A1/en,https://www.nature.com/articles/s41467-018-06626-y,Elastic Metal Alloy Refrigerants,Persist,,,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,University of Notre Dame,ALUMNI,Non-profit,10/1/10,9/30/13,Building Efficiency,https://wfschneidergroup.github.io/,,,Carbon Dioxide and Ionic Liquid Refrigerants,Persist,,looked at applications other than refrigerants,,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,Material Methods,CANCELLED,For-profit,9/15/10,9/21/11,Building Efficiency,http://materialmethods.com/index.html,,,Sound Wave Refrigerants,Persist,,https://www.phononic.com/,company website does not mention project,,,,,,,,,,
1,0,BEETIT,https://drive.google.com/open?id=1uRDlI3aq0jaK1eYPclYMBLDGvs-hlP0O ,https://arpa-e.energy.gov/?q=arpa-e-programs/beetit,United Technologies Research Center (UTRC),CANCELLED,For-profit,9/2/10,3/16/12,Building Efficiency,http://www.utrc.utc.com/,,,Water-Based Refrigerants,Perish,,cannot find data on techn,,,,,,,,,,,
1,0,DELTA,https://drive.google.com/open?id=1ZVUUcPDHm5-8ddOv4sJ4ZuVFtsErCGii ,https://arpa-e.energy.gov/?q=arpa-e-programs/delta,Cornell University,ALUMNI,Non-profit,4/27/15,8/15/18,Building Efficiency,https://patents.google.com/patent/US20170172227A1/en,,,Thermoregulatory Clothing System,Persist,,,,,,,,,,,,,
1,0,DELTA,https://drive.google.com/open?id=1ZVUUcPDHm5-8ddOv4sJ4ZuVFtsErCGii ,https://arpa-e.energy.gov/?q=arpa-e-programs/delta,SRI International,ALUMNI,Non-profit,5/1/15,9/30/18,Building Efficiency,https://arpa-e.energy.gov/sites/default/files/18_SRI_DELTA_ProgramKickoff_0.pdf,https://arpa-e.energy.gov/sites/default/files/8.%20SRI%20Pitch%20for%20ARPA-E_DELTA%20SEPT-2017%20public.pdf,https://www.sri.com/blog/wearable-active-textiles-personal-cooling-and-heating-saving-energy-and-increasing-comfort,Wearable Electroactive Textile,Persist,https://science.sciencemag.org/content/357/6356/1130,,,,,,,,,,,,
1,0,DELTA,https://drive.google.com/open?id=1ZVUUcPDHm5-8ddOv4sJ4ZuVFtsErCGii ,https://arpa-e.energy.gov/?q=arpa-e-programs/delta,The State University of New York (SUNY) at Stony Brook,ALUMNI,Non-profit,5/5/15,7/30/18,Building Efficiency,https://nesywangsbu.wixsite.com/yawang/blank-c151z,,,Electroactive Smart Air-Conditioner VEnt Registers (eSAVER),Persist,,,,,,,,,,,,,
