Total project count,To-do list,Program,Program FOA,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Comments,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Georgia Tech Research Corporation,ALUMNI,Non-profit,5/3/2013,9/30/2016,Distributed Generation,http://www.fmrl.gatech.edu/drupal/projects/solarvortex,https://industry.gatech.edu/technology/method-converting-solar-and-waste-heat-usable-energy,,Power Generation Using Solar-Heated Ground Air,Persist,Seems like PI still actively doing research,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Glint Photonics,ALUMNI,For-profit,4/1/2013,3/31/2017,Distributed Generation,https://www.glintphotonics.com/,https://arpa-e.energy.gov/?q=slick-sheet-project/self-tracking-concentrator-photovoltaics,,Self-Tracking Concentrator Photovoltaics,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Integral Consulting,ALUMNI,For-profit,4/5/2013,8/31/2017,Distributed Generation,https://www.integral-corp.com/,https://arpa-e.energy.gov/sites/default/files/documents/files/Integral_OPEN2012_ExternalProjectImpactSheet_FINAL.pdf,https://www.sofarocean.com/products/spotter,Measuring Real-Time Wave Data with Ocean Wave Buoy,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,National Renewable Energy Laboratory (NREL),ALUMNI,Non-profit,2/1/2013,12/30/2018,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S1876610214006092,https://www.energy.gov/sites/prod/files/2014/01/f7/csp_review_meeting_042313_ginley.pdf,https://www.nrel.gov/news/press/2017/nrel_research_yields_significant_thermoelectric_performance.html,Solar Thermoelectric Generator,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Otherlab,ALUMNI,For-profit,2/19/2013,9/30/2017,Distributed Generation,https://arpa-e.energy.gov/sites/default/files/documents/files/Sunfolding_ImpactSheet_FINAL.pdf,,,Small Mirrors for Solar Power Tower Plants,Persist,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Pratt & Whitney Rocketdyne (PWR),ALUMNI,For-profit,6/14/2013,3/15/2015,Distributed Generation,http://www.pw.utc.com/,https://www.sciencedirect.com/science/article/pii/S1000936115002356,,Continuous Detonation Engine Combustors,Perish,Patents expired,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,4/1/2013,9/30/2015,Distributed Generation,https://tees.tamu.edu/,,,Electricity from Low-Temperature Waste Heat,Pivot,"Partner company bought out, doesn't seem to be continued",,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,General Electric (GE) Power & Water,CANCELLED,For-profit,5/1/2013,12/31/2014,Distributed Generation,https://patents.google.com/patent/US9188102B2/en,,,Fabric-Based Wind Turbine Blades,Perish,,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,MicroLink Devices,CANCELLED,For-profit,3/20/2013,9/1/2015,Distributed Generation,http://www.mldevices.com/,,,High-Efficiency Solar Cells,Persist,OPEN-2015,,,,,,,,
1,0,OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15 ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of California, Santa Cruz (UC Santa Cruz)",CANCELLED,Non-profit,5/1/2013,12/31/2014,Distributed Generation,https://scholar.google.com/citations?hl=en&user=UE0CVaMAAAAJ&view_op=list_works&sortby=pubdate,,,Efficient Collection of Concentrated Solar,Persist,Still publishing,,,,,,,,
1,0,OPEN 2015,https://drive.google.com/open?id=1WJSH11x-Vav4FOWStJvpj7rF-wrYDpSe ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2015,Cummins Corporate Research & Technology,ALUMNI,For-profit,2/9/2016,8/8/2018,Distributed Generation,https://www.cumminswestport.com/models/isx12n,https://www.nrel.gov/news/press/2019/nrel-announces-new-projects-to-advance-medium-and-heavy-duty-natural-gas-vehicle-technologies.html,https://patentimages.storage.googleapis.com/61/57/ae/55bbd9bf9b231f/US9709005.pdf,High-Efficiency Engines,Persist,,,,,,,,,
1,0,OPEN 2015,https://drive.google.com/open?id=1WJSH11x-Vav4FOWStJvpj7rF-wrYDpSe ,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2015,Stanford University,ALUMNI,Non-profit,6/1/2016,12/31/2018,Distributed Generation,https://scholar.google.com/citations?hl=en&user=ABSaf6IAAAAJ&view_op=list_works&sortby=pubdate,,https://www.cyclotronroad.org/spark,High-Efficiency Energy Converters,Persist,,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Arizona State University (ASU),ALUMNI,Non-profit,5/30/2014,8/29/2017,Distributed Generation,https://ieeexplore.ieee.org/abstract/document/8366306,https://www.sunvapor.net/research--development.html,https://www.soitec.com/en,High-Temperature Topping Cells from LED Materials,Pivot,Nothing since then... companies seem to be doing other things,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Arizona State University (ASU),ALUMNI,Non-profit,6/1/2014,8/31/2017,Distributed Generation,https://holman.engineering.asu.edu/,https://aip.scitation.org/doi/pdf/10.1063/1.4984328?class=pdf,,Solar-Concentrating Photovoltaic Mirror,Pivot,Research group seems to have moved on to different funding,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Cogenra Solar,ALUMNI,For-profit,7/10/2014,7/9/2016,Distributed Generation,https://us.sunpower.com/,https://www.greentechmedia.com/articles/read/sunpower-integrates-cogenras-novel-solar-manufacturing-technique#gs.q9oaym,,Hybrid Solar Converter with Light-Filtering Mirror,Pivot,,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Gas Technology Institute (GTI),ALUMNI,Non-profit,5/13/2014,1/31/2018,Distributed Generation,https://www.gti.energy/simultaneously-generating-electricity-and-storable-heat-with-a-hybrid-solar-energy-system/,https://news.ucmerced.edu/news/2019/uc-solar-projects-bringing-lower-costs-renewable-energy-industry-commerce-and-homes,,Double-Reflector Hybrid Solar Energy System,Persist,,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,General Electric (GE) Global Research,ALUMNI,For-profit,8/1/2014,12/31/2018,Distributed Generation,https://www.osti.gov/servlets/purl/1373211,http://gasturbinespower.asmedigitalcollection.asme.org/article.aspx?articleid=2714573,https://www.energy.gov/eere/solar/project-profile-general-electric-ge-global-research,Electrochemical Energy Storage with a Supercritical CO2 Cycle,Persist,,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,6/17/2014,9/16/2017,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S2542435118300552#fig1,https://patents.google.com/patent/US20190100439A1/en?inventor=Gang+Chen&assignee=Massachusetts+Inst+Technology&after=priority:20140101,,Stacked Hybrid Solar Converter,Persist,Recent publications,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,5/15/2014,7/31/2015,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S0022024816300379,https://scholar.google.com.sg/citations?hl=en&user=Mn1-cq8AAAAJ&view_op=list_works&sortby=pubdate,https://www.osapublishing.org/prj/abstract.cfm?uri=prj-6-4-290,Low-Cost Hetero-Epitaxial Solar Cell for Hybrid Converter,Persist,,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Tulane University,ALUMNI,Non-profit,8/1/2014,9/30/2018,Distributed Generation,https://reader.elsevier.com/reader/sd/pii/S0306261917313041?token=B3F5049677F69AB49C760F0D24D06EAC8FDE00FEDD23E0C40EC700C9D20EF0C1DFA57CA13CCB04DB823F783566F9017E,http://escarra.tulane.edu/project/hybrid-solar-converter-with-integrated-thermal-storage-focus/,,Hybrid Solar Converter,Persist,Patent Application in 2018,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,University of Arizona,ALUMNI,Non-profit,8/11/2017,8/10/2018,Distributed Generation,http://dwpenergysolutions.com/wordpress/information-center/news-blog/,https://www.osapublishing.org/view_article.cfm?gotourl=https%3A%2F%2Fwww%2Eosapublishing%2Eorg%2FDirectPDFAccess%2FD73CDDB9%2D976B%2D579D%2DEAE2AF6A3C40523D%5F376387%2FOSE%2D2017%2DRW3B%2E6%2Epdf%3Fda%3D1%26id%3D376387%26uri%3DOSE%2D2017%2DRW3B%2E6%26seq%3D0%26mobile%3Dno&org=Princeton%20University%20Library,,Partially Transmitting Mirror,Persist,DWP seems to be working on the same thing,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,University of Tulsa,ALUMNI,Non-profit,5/15/2014,2/14/2017,Distributed Generation,https://engineering.utulsa.edu/arpae-research-2017/,https://www.greentechmedia.com/articles/read/sunpower-integrates-cogenras-novel-solar-manufacturing-technique#gs.ydwxxl,,Liquid Filter with Plasmonic Nanoparticles,Persist,"Still publishing, see entry below",,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,University of Tulsa,ALUMNI,Non-profit,11/7/2016,12/31/2018,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S0960148118300259,https://www.sciencedirect.com/science/article/pii/S0960148119309206,https://aip.scitation.org/doi/pdf/10.1063/1.5117680?class=pdf,Hybrid Solar Converter with Light-Filtering Mirror,Persist,,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Yale University,ALUMNI,Non-profit,7/15/2014,12/31/2017,Distributed Generation,https://aip.scitation.org/doi/pdf/10.1063/1.5001429?class=pdf,,,High-Temperature Dual-Junction Topping Cells,Pivot,Hasn't published anything on it since 2017,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,MicroLink Devices,CANCELLED,For-profit,6/11/2014,8/4/2016,Distributed Generation,http://www.mldevices.com/index.php/news,,,Dual-Junction Photovoltaic Topping Device for High-Temp Operation,Persist,News seems to be based on epi technology,,,,,,,,
1,0,FOCUS,https://drive.google.com/open?id=1WZEvCT9T1V-UWj7qdlJPXJAMrK1-ftkC ,https://arpa-e.energy.gov/?q=arpa-e-programs/focus ,Northrop Grumman Aerospace Systems,CANCELLED,For-profit,6/15/2014,8/4/2016,Distributed Generation,https://arpa-e.energy.gov/sites/default/files/FOCUS_Project_Presentations_combined-Tuesday.pdf,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2467410,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7749658,Thermo-Acoustic Hybrid Solar Energy System,Perish,Nothing since 2017,,,,,,,,
1,0,GENSETS,https://drive.google.com/open?id=1bC7Y7D6SXo-2czrpMnER5ah8Nmz86ICI ,https://arpa-e.energy.gov/?q=arpa-e-programs/gensets,Aerodyne Research,ALUMNI,For-profit,11/1/2015,12/31/2018,Distributed Generation,https://journals.sagepub.com/doi/abs/10.1177/1468087418800612,https://arpa-e.energy.gov/sites/default/files/12_ARI%20PowerPoint%20template%20GENSETS_v4_public.pdf,https://patentimages.storage.googleapis.com/10/2f/55/40c351d81ba6be/US9574556.pdf,Single-Cylinder Two-Stroke Free-Piston Internal Combustion Generator,Persist,Still publishing,,,,,,,,
1,0,GENSETS,https://drive.google.com/open?id=1bC7Y7D6SXo-2czrpMnER5ah8Nmz86ICI ,https://arpa-e.energy.gov/?q=arpa-e-programs/gensets,Brayton Energy,ALUMNI,For-profit,11/9/2015,11/8/2018,Distributed Generation,https://www.braytonenergy.net/our-projects/2-kw-recuperated-brayton/,,,1kW Recuperated Brayton-Cycle Engine,Persist,Selling,,,,,,,,
1,0,GENSETS,https://drive.google.com/open?id=1bC7Y7D6SXo-2czrpMnER5ah8Nmz86ICI ,https://arpa-e.energy.gov/?q=arpa-e-programs/gensets,Metis Design Corporation (MDC),ALUMNI,For-profit,10/22/2015,12/31/2018,Distributed Generation,https://arpa-e.energy.gov/sites/default/files/6_GENSETS%20workshop%202018%20RCK%20v5.pdf,https://www.sbir.gov/sbc/metis-design-corporation?page=2,,Advanced Microturbine Engine for Residential CHP,Persist,Patent just granted,,,,,,,,
1,0,GENSETS,https://drive.google.com/open?id=1bC7Y7D6SXo-2czrpMnER5ah8Nmz86ICI ,https://arpa-e.energy.gov/?q=arpa-e-programs/gensets,NanoConversion Technologies,CANCELLED,,11/16/2015,12/2/2016,Distributed Generation,Webiste doesn't work,,,High-Efficiency Thermoelectric CHP,Perish,"VP of Product Engineering went to ""Independent Consulting"" in 2016",,,,,,,,
1,0,HEATS,https://drive.google.com/open?id=1ZDDQhmKxpgy0gCLGMfGzMoF5yJCe2NWI ,https://arpa-e.energy.gov/?q=arpa-e-programs/heats,University of Florida,ALUMNI,Non-profit,12/19/2011,7/15/2016,Distributed Generation,http://www.solarfuelllc.com/,https://patents.google.com/patent/US20160122670A1/en,,Solar Thermochemical Fuel Production,Pivot,"Patent just granted, but no publications since 2016",,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Columbia University,ALUMNI,Non-profit,6/10/2016,9/9/2017,Distributed Generation,https://pubs.acs.org/doi/pdf/10.1021/acsnano.6b08597?rand=xgk6j6yq,,,Integrated Power Adapter,Persist,Still active research,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Cree Fayetteville,ALUMNI,For-profit,2/3/2017,2/2/2018,Distributed Generation,https://mrsfall2018.zerista.com/event/member/533200,http://www.femtosci.com/applications,,Diamond Capacitors for Power Electronics,Persist,Company still active,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,GeneSiC Semiconductor,ALUMNI,For-profit,12/20/2016,9/19/2018,Distributed Generation,https://scholar.google.com/citations?hl=en&user=1q52F_QAAAAJ&view_op=list_works&sortby=pubdate,https://www.genesicsemi.com/home/news/,,Novel Gallium Nitride Transistors,Pivot,No more publications from project contact on project,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,George Washington University (GWU),ALUMNI,Non-profit,8/2/2017,11/16/2018,Distributed Generation,https://scholar.google.com/citations?hl=en&user=cFbKdMEAAAAJ&view_op=list_works&sortby=pubdate,,,Transfer Printed Virtual Substrates,Persist,Recent publication citing initial publication,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Northeastern University,ALUMNI,Non-profit,12/6/2016,12/5/2017,Distributed Generation,https://arpa-e.energy.gov/?q=slick-sheet-project/universal-converter-ac-systems,,,Power Converter for Photovoltaic Applications,Persist,New ARPA-E grant,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Oregon State University (OSU),ALUMNI,Non-profit,7/15/2014,7/31/2016,Distributed Generation,https://scholar.google.com/citations?hl=en&user=z0RKL14AAAAJ&view_op=list_works&sortby=pubdate,,,Home Generator Benchmarking Program,Persist,Still publishing benchmarks,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Tandem PV,ALUMNI,For-profit,10/31/2017,12/15/2018,Distributed Generation,https://www.tandempv.com/#technology,https://www.greentechmedia.com/articles/read/tandem-pv-secures-a-rare-fund-raise-for-perovskite-solar#gs.wtnqkk,,Unlock Perovskite Photovoltaics,Persist,Company still active,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Saint-Gobain Ceramics & Plastics,ALUMNI,For-Profit,1/19/2016,4/30/2017,Distributed Generation,https://www.ceramicsrefractories.saint-gobain.com/search?cat=other&query=arpa-e,,,High Temperature Ceramics for Solar Fuel Production,Persist,Company seems to be selling coating now,,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Sandia National Laboratories,ALUMNI,Non-profit,12/21/2016,12/20/2017,Distributed Generation,https://www.osti.gov/servlets/purl/1529754,,,High Gain Step-Up Converters,Persist,"? Publications in 2018, nothing since then",,,,,,,,
1,0,IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,University of Michigan,ALUMNI,Non-profit,1/1/2015,3/31/2016,Distributed Generation,https://patents.google.com/patent/US20180195203A1/en,http://ma.ecsdl.org/content/MA2016-02/20/1590.short,,Benchtop Growth of High Quality Thin Film Photovoltaics,Persist,"Patent flied, publications from 2018, but project contact seems to still be publishing related articles",,,,,,,,
1,0,MOSAIC,https://drive.google.com/open?id=1LV-gHN5GD-t_zhZ3tg6mGHjSz4NkWRM3 ,https://arpa-e.energy.gov/?q=arpa-e-programs/mosaic,Texas Engineering Experiment Station (TEES),ALUMNI,Non-profit,2/1/2016,12/31/2018,Distributed Generation,https://scholar.google.com/citations?user=-qAqFAcAAAAJ&hl=en,,,Waveguiding Solar Concentrator,Persist,Publication this year,,,,,,,,
1,0,REBELS,https://drive.google.com/open?id=10Aj-x4GNKeMiNFQyEktA_mC37DLRCj35 ,https://arpa-e.energy.gov/?q=arpa-e-programs/rebels,Argonne National Laboratory,ALUMNI,Non-profit,10/1/2014,3/31/2017,Distributed Generation,https://publications.anl.gov/anlpubs/2017/12/140576.pdf,,,Electricity and Liquid Fuels from Natural Gas,Persist,Patent filed this year,,,,,,,,
1,0,REBELS,https://drive.google.com/open?id=10Aj-x4GNKeMiNFQyEktA_mC37DLRCj35 ,https://arpa-e.energy.gov/?q=arpa-e-programs/rebels,Georgia Tech Research Corporation,ALUMNI,Non-profit,10/1/2014,9/30/2018,Distributed Generation,http://fcbt.mse.gatech.edu/liu.htm,,,Fuel Cell Tailored for Efficient Utilization of Methane,Pivot,Pivot to hydrogen instead of methane,,,,,,,,
1,0,REBELS,https://drive.google.com/open?id=10Aj-x4GNKeMiNFQyEktA_mC37DLRCj35 ,https://arpa-e.energy.gov/?q=arpa-e-programs/rebels,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,10/1/2014,10/7/2017,Distributed Generation,https://www.sciencedirect.com/science/article/pii/S0378775318302544,http://ma.ecsdl.org/content/MA2017-01/7/622.short,https://www.netl.doe.gov/sites/default/files/event-proceedings/2017/sofc%20proceedings/tuesday/Zawodzinski.pdf,Nanocomposite Electrodes for a Solid Acid Fuel Cell Stack,Persist,,,,,,,,,
1,0,REBELS,https://drive.google.com/open?id=10Aj-x4GNKeMiNFQyEktA_mC37DLRCj35 ,https://arpa-e.energy.gov/?q=arpa-e-programs/rebels,Redox Power Systems,ALUMNI,For-profit,10/1/2014,3/31/2018,Distributed Generation,https://www.bizjournals.com/washington/news/2019/02/25/fuel-cell-company-redox-clears-major-hurdles-in.html,,,Low-Temperature Solid Oxide Fuel Cells,Perish,Company died,,,,,,,,
1,0,REBELS,https://drive.google.com/open?id=10Aj-x4GNKeMiNFQyEktA_mC37DLRCj35 ,https://arpa-e.energy.gov/?q=arpa-e-programs/rebels,SAFCell,ALUMNI,For-profit,10/1/2014,6/30/2018,Distributed Generation,http://www.safcell.com/news/2015/5/6/safcell-selected-for-37-million-arpa-e-award,,,Solid Acid Fuel Cell Stack,Persist,,,,,,,,,
