,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder2,coder1notes,coder2notes
10,Cornell University,"Cornell University will develop an innovative, high-efficiency, gallium nitride (GaN) power switch. Cornell's design is significantly smaller and operates at much higher performance levels than conventional silicon power switches, making it ideal for use in a variety of power electronics applications. Cornell will also reuse expensive GaN materials and utilize conventional low-cost production methods to keep costs down.

",2017-10-16,SWITCHES,ALUMNI,?q=slick-sheet-project/gan-power-transistor,2015-08-01,New York,GaN Power Transistor,Electrical Efficiency, ,3435498,0.0,Non-profit,Pivot,Persist,"Research, not licensed?",Qorvo selling GaN switches
11,Cree,"Cree is developing silicon carbide (SiC) power transistors that are 50% more energy efficient than traditional transistors. Transistors act like a switch, controlling the electrical energy that flows through an electrical circuit. Most power transistors today use silicon semiconductors to conduct electricity. However, transistors with SiC semiconductors operate at much higher temperatures, as well as higher voltage and power levels than their silicon counterparts. SiC-based transistors are also smaller and require less cooling than those made with traditional silicon power technology. Cree's SiC transistors will enable electrical circuits to handle higher power levels more efficiently, and they will result in much smaller and lighter electrical devices and power converters. Cree, an established leader in SiC technology, has already released a commercially available SiC transistor that can operate at up to 1,200 volts. The company has also demonstrated a utility-scale SiC transistor that operates at up to 15,000 volts.
",2014-12-31,ADEPT,ALUMNI,?q=slick-sheet-project/utility-scale-silicon-carbide-power-transistors,2010-09-01,North Carolina,Utility-Scale Silicon Carbide Power Transistors,Electrical Efficiency,Grid,5999973,0.0,For-profit,Pivot,Persist,Category 3,
12,Cree,"Cree is developing a compact, lightweight power conversion device that is capable of taking utility-scale solar power and outputting it directly into the electric utility grid at distribution voltage levels--eliminating the need for large transformers. Transformers ""step up"" the voltage of the power that is generated by a solar power system so it can be efficiently transported through transmission lines and eventually ""stepped down"" to usable voltages before it enters homes and businesses. Power companies step up the voltage because less electricity is lost along transmission lines when the voltage is high and current is low. Cree's new power conversion devices will eliminate these heavy transformers and connect a utility-scale solar power system directly to the grid. Cree's modular devices are designed to ensure reliability--if one device fails it can be bypassed and the system can continue to run.
",2017-07-31,Solar ADEPT,ALUMNI,?q=slick-sheet-project/utility-scale-solar-power-converter,2012-01-25,North Carolina,Utility-Scale Solar Power Converter,Distributed Generation, ,2794354,0.0,For-profit,Pivot,Persist,"similar products, what about the timeline?",Seems like they're selling this product
13,Cree Fayetteville,"Cree Fayetteville will develop high voltage (10kV), high energy density (30 J/cm3), high temperature (150 ?C+) capacitors utilizing chemical vapor deposition (CVD) diamond capable of powering the next generation of high-performance power electronics systems. CVD diamond is a superior material for capacitors due to its strong electrical, mechanical, and materials qualities that are inherently stable over varying temperatures. It also has similar qualities of single crystal diamond without the high cost. Commercial CVD diamond deposition will be utilized to prove the feasibility of the technology with consistent, low cost, high-resistivity diamond films. The CVD diamond will be used as an optimal dielectric for today's demanding power electronics applications. Most power electronics systems require large capacitors to filter switching noise and provide sufficient energy to loads during transient periods. But present-day film and ceramic capacitor technologies are quickly becoming obsolete as the switching frequency and operating temperature of power electronic systems continue to increase. Using CVD diamond for this purpose may provide a capacitor technology that does not experience lifetime-limiting overheating, at both low frequency (high energy) and high frequency (low equivalent series resistance) conditions, and with reasonable size and cost. In conjunction with a robust electrode metallurgy and proven high-temperature packaging techniques, energy densities in excess of 80 J/cm3 have been modeled; the proposed specification of 30 J/cm3 will be a drastic improvement over current technologies. The team's effort will primarily focus on the development and characterization of multi-layer CVD diamond capacitor design, packaging, and fabrication techniques, resulting in proof of concept prototypes to demonstrate the technology feasibility.

",2018-02-02,IDEAS,ALUMNI,?q=slick-sheet-project/diamond-capacitors-power-electronics,2017-02-03,Arkansas,Diamond Capacitors for Power Electronics,Distributed Generation, ,498272,1.0,For-profit,Perish,Persist,listed as former project on partner (femto) website,Company still active
14,Delphi Automotive Systems,"Delphi Automotive Systems is developing power converters that are smaller and more energy efficient, reliable, and cost-effective than current power converters. Power converters rely on power transistors which act like a very precisely controlled on-off switch, controlling the electrical energy flowing through an electrical circuit. Most power transistors today use silicon (Si) semiconductors. However, Delphi is using semiconductors made with a thin layer of gallium-nitride (GaN) applied on top of the more conventional Si material. The GaN layer increases the energy efficiency of the power transistor and also enables the transistor to operate at much higher temperatures, voltages, and power-density levels compared to its Si counterpart. Delphi is packaging these high-performance GaN semiconductors with advanced electrical connections and a cooling system that extracts waste heat from both sides of the device to further increase the device's efficiency and allow more electrical current to flow through it. When combined with other electronic components on a circuit board, Delphi's GaN power transistor package will help improve the overall performance and cost-effectiveness of HEVs and EVs.
",2013-12-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/more-efficient-power-conversion-evs,2010-02-01,Michigan,More Efficient Power Conversion for EVs,Electrical Efficiency,Transportation Vehicles,7044569,1.0,For-profit,Persist,Pivot,,Now working with CREE on SiC instead of GaN
15,General Electric (GE) Global Research,"GE is designing and testing components of a turbine system driven by high-temperature, high-pressure carbon dioxide (CO<sub>2</sub>) to develop a more durable and efficient energy conversion system. Current solar energy system components break down at high temperatures, shortening the system's cycle life. GE's energy storage system stores heat from the sun in molten salt at moderate temperature and uses surplus electricity from the grid to create a phase change heat sink, which helps manage the temperature of the system. Initially, the CO<sub>2</sub> remains at a low temperature and low pressure to enable more efficient energy storage. Then, the temperature and pressure of the CO<sub>2</sub> is increased and expanded through a turbine to generate dispatchable electricity. The dramatic change in temperature and pressure is enabled by an innovative system design that prevents thermal losses across the turbine and increases its cycle life. This grid-scale energy storage system could be coupled to a hybrid solar converter to deliver solar electricity on demand.

",2018-12-31,FOCUS,ALUMNI,?q=slick-sheet-project/electrochemical-energy-storage-supercritical-co2-cycle,2014-08-01,Connecticut,Electrochemical Energy Storage with a Supercritical CO2 Cycle,Distributed Generation, ,2275671,0.0,For-profit,Pivot,Persist,"still researchy, but got follow-on funding",
16,GeneSiC Semiconductor,"GeneSiC Semiconductor will lead a team to develop high-power and voltage (1200V) vertical transistors on free-standing gallium nitride (GaN) substrates. Bipolar junction transistors amplify or switch electrical current. NPN junction transistors are one class of these transistors consisting of a layer of p-type semiconductor between two n-type semiconductors. The output electrical current between two terminals is controlled by applying a small input current at the third terminal. The proposed effort combines the latest innovations in device designs/process technology, bulk GaN substrate technology, and innovative metal-organic chemical vapor deposition epitaxial growth techniques. If the proposed design concept is successful, it will enable three-fold improvement of power density in high voltage devices, and provide a low-cost solution for mass market power conversion. Moreover, the device can be processed with significantly lower process complexity and cost, as compared to competing silicon carbide and GaN device technologies. GeneSiC will focus on all device development tasks while its partner, Adroit Materials, will focus on the GaN epitaxial growth on bulk GaN substrates, as well as detailed materials characterization according to specifications generated by GeneSiC.

",2018-09-19,IDEAS,ALUMNI,?q=slick-sheet-project/novel-gallium-nitride-transistors,2016-12-20,Virginia,Novel Gallium Nitride Transistors,Distributed Generation, ,438520,1.0,For-profit,Perish,Pivot,"No GaN products, publications",No more publications from project contact on project
17,GeneSiC Semiconductor,"GeneSiC Semiconductor is developing an advanced silicon-carbide (SiC)-based semiconductor called an anode-switched thyristor. This low-cost, compact SiC semiconductor conducts higher levels of electrical energy with better precision than traditional silicon semiconductors. This efficiency will enable a dramatic reduction in the size, weight, and volume of the power converters and the electronic devices they are used in. GeneSiC is developing its SiC-based semiconductor for utility-scale power converters. Traditional silicon semiconductors can't process the high voltages that utility-scale power distribution requires, and they must be stacked in complicated circuits that require bulky insulation and cooling hardware. GeneSiC's semiconductors are well suited for high-power applications like large-scale renewable wind and solar energy installations.
",2013-02-28,ADEPT,ALUMNI,?q=slick-sheet-project/utility-scale-silicon-carbide-semiconductor,2010-09-01,Virginia,Utility-Scale Silicon Carbide Semiconductor,Electrical Efficiency, ,2530949,0.0,For-profit,Pivot,Persist,,Seem to be selling this product
18,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a high-efficiency concentrating solar receiver and reactor for the production of solar fuels. The team will develop a system that uses liquid metal to capture and transport heat at much higher temperatures compared to state-of-the-art concentrating solar power facilities. This high temperature system will be combined with the team's novel reactor to produce solar fuels that allow the flexibility to store and transport solar energy for later use or for immediate power production. Higher temperatures should result in much higher efficiencies and therefore lower costs of produced fuel or electricity. Additionally, plant operators would have the flexibility to match electricity or fuel production with the changing market demand to improve the cost effectiveness of the plant.
",2016-10-17,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-efficiency-solar-fuel-reactor,2013-04-17,Georgia,High-Efficiency Solar Fuel Reactor,Distributed Generation, ,3598640,1.0,Non-profit,Perish,Persist,"No one's licensed it, research is for CSP, not solar fuels ",
19,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a fuel cell that operates at temperatures less than 500?C by integrating nanostructured materials into all cell components. This is a departure from traditional fuel cells that operate at much lower or much higher temperatures. By developing multifunctional anodes that can efficiently reform and directly process methane, this fuel cell will allow for efficient use of methane. Additionally, the Georgia Tech team will develop nanocomposite electrolytes to reduce cell temperature without sacrificing system performance. These technological advances will enable an efficient, intermediate-temperature fuel cell for distributed generation applications.

",2018-09-30,REBELS,ALUMNI,?q=slick-sheet-project/fuel-cell-tailored-efficient-utilization-methane,2014-10-01,Georgia,Fuel Cell Tailored for Efficient Utilization of Methane,Distributed Generation,Storage,1230755,0.0,Non-profit,Persist,Pivot,"Recent patent, publications",Pivot to hydrogen instead of methane
20,Georgia Tech Research Corporation,"Georgia Tech Research Corporation is developing a method to capture energy from wind vortices that form from a thin layer of solar-heated air along the ground. ""Dust devils"" are a random and intermittent example of this phenomenon in nature. Naturally, the sun heats the ground creating a thin air layer near the surface that is warmer than the air above. Since hot air rises, this layer of air will naturally want to rise. The Georgia Tech team will use a set of vanes to force the air to rotate as it rises, forming an anchored columnar vortex that draws in additional hot air to sustain itself. Georgia Tech's technology uses a rotor and generator to produce electrical power from this rising, rotating air similar to a conventional wind turbine. This solar-heated air, a renewable energy resource, is broadly available, especially in the southern U.S. Sunbelt, yet has not been utilized to date. This technology could offer more continuous power generation than conventional solar PV or wind. Georgia Tech's technology is a, low-cost, scalable approach to electrical power generation that could create a new class of renewable energy ideally suited for arid low-wind regions.
",2016-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/power-generation-using-solar-heated-ground-air,2013-05-03,Georgia,Power Generation Using Solar-Heated Ground Air,Distributed Generation, ,3674039,1.0,Non-profit,Perish,Persist,,Seems like PI still actively doing research
21,Glint Photonics,"Glint Photonics is developing an inexpensive solar concentrating PV (CPV) module that tracks the sun's position over the course of the day to channel sunlight into PV materials more efficiently. Conventional solar concentrator technology requires complex moving parts to track the sun's movements. In contrast, Glint's inexpensive design can be mounted in a stationary configuration and adjusts its properties automatically in response to the solar position. By embedding this automated tracking function within the concentrator, Glint's design enables CPV modules to use traditional mounting technology and techniques, reducing installation complexity and cost. These self-tracking concentrators can significantly decrease the cost of solar power modules by enabling high efficiency while eliminating the additional costs of precision trackers and specialized mounting hardware. The concentrator itself is designed to be manufactured at extremely low-cost due to low material usage and compatibility with high-speed fabrication techniques. Glint's complete module costs are estimated to be $0.35/watt-peak.

",2017-03-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/self-tracking-concentrator-photovoltaics,2013-04-01,California,Self-Tracking Concentrator Photovoltaics,Distributed Generation, ,2723044,1.0,For-profit,Perish,Persist,They make interior lighting now?,
22,Grid Logic,"The Grid Logic team is adapting a form of vapor deposition technology to demonstrate a new approach to creating powerful hybrid magnets. This ""physical vapor deposition particle encapsulation technology"" utilizes an inert atmosphere chamber, which allows for precisely controlled and reproducible pressure, gas flow, and fluidization conditions for a powder vessel. The team will use this specialized chamber to fabricate nanostructured exchange-spring magnets, which require careful control of material dimension and composition.  Nanostructured exchange-spring magnets are composite magnetic materials that use an exchange between soft magnetic materials, which have high saturation magnetization but are easily demagnetized, and hard magnetic materials that are difficult to demagnetize but have lower saturation magnetization and high coercivity. In this case, the team will create magnets consisting of Manganese Bismuth (MnBi) hard magnetic core particles with nanometer-scale Cobalt (Co) soft magnet shells. If successful, the team will demonstrate a process for producing: 1) A hard magnet core particle capable of withstanding a strong external magnetic field without becoming demagnetized; and 2) A soft magnet shell providing high magnetic saturation (i.e. maximum magnetization due to an external magnetic field). By combining precise control of nano-scale layering, material ratios, and material interfaces the project could develop a magnet that rivals permanent magnets made from rare earth elements. As an ARPA-E IDEAS project, this early stage research will provide proof of concept showing that the particle encapsulation system developed in this project can enable large-scale, cost-efficient production of composite magnets that do not require rare earth elements.

",2016-06-30,IDEAS,ALUMNI,?q=slick-sheet-project/nanostructured-coreshell-powders-magnets,2015-06-01,Michigan,Nanostructured Core/Shell Powders for Magnets,Electrical Efficiency, ,499985,1.0,For-profit,Perish,Persist,,Patent active
23,Grid Logic,"Grid Logic is developing a new type of electrical superconductor that could significantly improve the performance (in $/kA-m) and lower the cost of high-power energy generation, transmission, and distribution. Grid Logic is using a new manufacturing technique to coat very fine particles of superconducting material with an extremely thin layer--less than 1/1,000 the width of a human hair--of a low-cost metal composite. This new manufacturing process is not only much simpler and more cost effective than the process used to make today's state-of-the-art high-power superconductors, but also it makes superconductive cables easier to handle and improves their electrical properties in certain applications.
",2016-06-04,OPEN 2012,ALUMNI,?q=slick-sheet-project/high-power-superconductors,2013-03-05,Michigan,High-Power Superconductors,Electrical Efficiency, ,3828075,1.0,For-profit,Perish,Pivot,Doesn't seem like they're doing antying with this,
24,Harvard University,"Harvard University in partnership with Sandia National Laboratories will develop a transistor-less 16kW DC to DC converter boosting a 0.5kV DC input to 8kV that is scalable to 100kW. If successful, the transistor-less DC to DC converter could improve the performance of power electronics for electric vehicles, commercial power supplies, renewable energy systems, grid operations, and other applications. Converting DC to DC is a two-step process that traditionally uses fast-switching transistors to convert a DC input to an AC signal before the signal is rectified to a DC output. The Harvard and Sandia team will improve the process by replacing the active, fast-switching transistors with a slow switch followed by a passive, nonlinear transmission line (NLTL). The NLTL is a ladder network of passive components (inductors and diodes) that provide a nonlinear output with voltage. The combination of the nonlinear behavior with dispersion converts a quasi-DC input into a series of sharper and taller (amplified) voltage pulses called solitons, thus executing the DC to AC conversion without the use of active, fast-switching transistors. The NLTL will be followed by a high breakdown voltage silicon carbide and/or gallium nitride diode-based accumulator that converts the series of solitons to a DC output. Replacing the fast-switching transistors with a slow switch and a NLTL addresses the cost, size, efficiency, and reliability issues associated with fast switching based converters. Diodes also cost less and last longer because they are simpler structures than transistors and use no dielectrics. Efficiency, cost, and reliability improvements provided by a NLTL-based power converter will drastically benefit commercial power supplies, industrial motors, electric vehicles, data centers, the electric grid, and renewable electric power generation such as solar and wind.

",2018-11-30,IDEAS,ALUMNI,?q=slick-sheet-project/transistor-less-power-supply-technology,2017-06-01,Massachusetts,Transistor-less Power Supply Technology,Electrical Efficiency, ,498566,1.0,Non-profit,Perish,Persist,"can't find any arpa-e credited publications, very researchy, no recent patents",Sandia still mentions this project
25,Helion Energy,"Helion Energy's team will develop a prototype device that will explore a potential low-cost path to fusion for a less expensive, simplified reactor design. In contrast to conventional designs, this prototype will be smaller than a semi-trailer - reducing cost and complexity. The smaller size is achieved by using new techniques to achieve the high temperatures and densities required for fusion. The research team will produce these conditions using field-reversed configuration (FRC) plasmas, a special form of plasma that may offer significant advantages for fusion research. FRC plasmas are movable - they can be produced at one location and then moved into the fusion chamber, which prevents the hot fusion products from damaging the FRC formation hardware. FRC plasmas also have an embedded magnetic field which helps them retain heat. Helion's reactor employs a pulsed heating technique that uses a series of magnetic coils to compress the plasma fuel to very high temperatures and densities. The reactor will also capture and reuse the magnetic energy used to heat and confine the plasma, further increasing efficiency. The smaller size and reduced complexity of the reactor's design will decrease research and development costs and speed up research progress in developing the efficiencies required for fusion power production.
",2018-09-29,ALPHA,ALUMNI,?q=slick-sheet-project/compression-frc-targets-fusion,2015-09-30,Washington,Compression of FRC Targets for Fusion,Centralized Generation, ,3971263,0.0,For-profit,Pivot,Persist,"Missed performance targets, building another, bigger prototype",Still publishing and patent application in the works
26,HRL Laboratories,"HRL Laboratories is using gallium nitride (GaN) semiconductors to create battery chargers for electric vehicles (EVs) that are more compact and efficient than traditional EV chargers. Reducing the size and weight of the battery charger is important because it would help improve the overall performance of the EV. GaN semiconductors process electricity faster than the silicon semiconductors used in most conventional EV battery chargers. These high-speed semiconductors can be paired with lighter-weight electrical circuit components, which helps decrease the overall weight of the EV battery charger. HRL Laboratories is combining the performance advantages of GaN semiconductors with an innovative, interactive battery-to-grid energy distribution design. This design would support 2-way power flow, enabling EV battery chargers to not only draw energy from the power grid, but also store and feed energy back into it.
",2014-06-30,ADEPT,ALUMNI,?q=slick-sheet-project/compact-interactive-electric-vehicle-charger,2010-10-01,California,"Compact, Interactive Electric Vehicle Charger",Electrical Efficiency, ,5425912,0.0,For-profit,Pivot,Perish,"Seems like some of the stuff made it into GM cars, but no bidirectional charging, efficiencies are lower",HRL doesn't advistise EV charger; also it's a V2G which hasn't panned out
27,Ideal Power,"PV inverters convert DC power generated by modules into usable AC power. Ideal Power's initial 30kW 94lb PV inverter reduces the weight of comparable 30kW PV inverters by 90%--reducing the cost of materials, manufacturing, shipping, and installation. With ARPA-E support, new bi-directional silicon power switches will be developed, commercialized, and utilized in Ideal Power's next-generation PV inverter. With these components, Ideal Power will produce 100kW inverters that weight less than 100lb., reducing the weight of conventional 3,000lb. 100kW inverters by more than 95%. The new power switches will cut IPC's $/W manufacturing cost in half, as well as further reduce indirect shipping and installation costs.

",2015-05-29,Solar ADEPT,ALUMNI,?q=slick-sheet-project/lightweight-pv-inverters,2012-01-30,Texas,Lightweight PV Inverters,Distributed Generation, ,2499787,0.0,For-profit,Pivot,Perish,,"Caveat: company still exists, still selling product. but partnered with Aquion, and no big partners in sight now"
