Program,Program Targets,Program Website,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Website(s),,,Tagline,Outcome,Comments
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,,Iowa State University (ISU),CANCELLED,Non-profit,1/15/10,10/14/11,Transportation Fuels,https://www.gdcb.iastate.edu/retirement-reception-for-marty-spalding,,,Optimized Breeding of Microalgae for Biofuels,Perish,
OPEN 2009,https://drive.google.com/file/d/1_gC6c6bd0MqD8Bb7Jbqst05DcyEK3sM7/view?usp=sharing ,,Pennsylvania State University (Penn State),CANCELLED,Non-profit,12/14/09,7/9/10,Transportation Fuels,https://cen.acs.org/articles/90/web/2012/02/Famed-Materials-Scientist-Charged-Grant.html,,,Solar Conversion of CO2 and Water Vapor to Hydrocarbon Fuels,Perish,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d15,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Bio2Electric,ALUMNI,For-profit,2/1/13,12/31/18,Transportation Fuels,http://bio2electric.com/modular-gas-to-liquid-technology/,https://arpa-e.energy.gov/sites/default/files/documents/files/EcoCatalytic_OPEN2012_ExternalProjectImpactSheet_FINAL.pdf,,Electrogenerative Gas-to-Liquid Reactor,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d16,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Colorado State University (CSU),ALUMNI,Non-profit,4/4/13,10/3/15,Transportation Fuels,https://wp.natsci.colostate.edu/medfordlab/in-the-news/,https://www-sciencedirect-com.ezproxy.princeton.edu/science/article/pii/S0168945218300529?via%3Dihub,https://patents.google.com/patent/US20180105825A1/en,More Options for Bioenergy Crops,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d17,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Cornell University,ALUMNI,Non-profit,2/1/13,5/1/14,Transportation Fuels,https://www.ericksonlab.org/,,,Efficient Photobioreactor for Algae-Based Fuel,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d18,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Electron Energy Corporation (EEC),ALUMNI,For-profit,4/15/13,2/14/17,Transportation Vehicles,https://www.electronenergy.com/,https://patentimages.storage.googleapis.com/7f/e0/19/f31cac04d9b64e/US10109418.pdf,,New Processing Technology for Permanent Magnets,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d19,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Evolva,ALUMNI,For-profit,4/11/13,9/30/16,Transportation Fuels,https://www.evolva.com/,,,High Performance Aviation Fuels from Terpenes,Perish,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d20,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/13,9/30/15,Transportation Fuels,https://www.gti.energy/,https://www.gti.energy/wp-content/uploads/2018/09/GTI-Annual-Report-2017.pdf,,Efficient Natural Gas-to-Methanol Conversion,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d21,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Plant Sensory Systems (PSS),ALUMNI,For-profit,3/15/13,6/14/17,Transportation Fuels,https://arpa-e.energy.gov/?q=impact-sheet/plant-sensory-systems-open-2012,,,Better Biofuel Feedstock from Beets,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d22,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Pratt & Whitney Rocketdyne (PWR),ALUMNI,For-profit,5/1/13,3/15/16,Transportation Fuels,http://www.pw.utc.com/,http://members.igu.org/old/IGU%20Events/igrc/igrc-2014/papers/wo2-1_basu.pdf,https://www.osti.gov/servlets/purl/1361171,Efficient Conversion of Natural Gas,Pivot,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d23,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Research Triangle Institute (RTI),ALUMNI,Non-profit,3/15/13,6/30/17,Transportation Fuels,https://www.rti.org/,https://onlinelibrary.wiley.com/doi/epdf/10.1002/cjce.22443,https://patents.google.com/patent/WO2019067341A2/en?q=reformer&assignee=research+triangle+institute,Compact Inexpensive Reformers for Natural Gas,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d24,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of Tennessee (UT),ALUMNI,Non-profit,2/1/13,7/31/16,Transportation Fuels,https://arpa-e.energy.gov/?q=search/node/neal%20stewart,,,High Throughput Bioengineering of Switchgrass,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d25,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of Washington (UW),ALUMNI,Non-profit,2/1/13,6/30/16,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/documents/files/LanzaTech_REMOTE_ExternalProjectImpactSheet__FINAL.pdf,,,Microbe-Based Methane to Diesel Conversion,Persist,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d26,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,Vorbeck Materials,ALUMNI,For-profit,3/6/13,6/5/15,Transportation Vehicles,https://vorbeck.com/,,,"High-Performance, Low-Cost Lithium-Sulfur Batteries",Perish,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d27,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,"University of Colorado, Boulder (CU-Boulder)",CANCELLED,Non-profit,5/1/13,6/29/17,Transportation Fuels,https://scholar.google.com/citations?hl=en&user=KqGtMDIAAAAJ&view_op=list_works&sortby=pubdate,,,Small-Scale Reactors for Natural Gas Conversion,Pivot,
OPEN 2012,https://drive.google.com/open?id=11ZzOee8woyMAKrGeWGYXkFbi7WwS-d28,https://arpa-e.energy.gov/?q=arpa-e-programs/open-2012,University of Wisconsin-Madison (UW-Madison),CANCELLED,Non-profit,2/12/13,5/31/14,Transportation Fuels,https://scholar.google.com/citations?hl=en&user=gel3FSkAAAAJ&view_op=list_works&sortby=pubdate,,,"Turning Sunlight, CO2, and Water into Fuel",Pivot,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Columbia University,ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,https://bantalab.cheme.columbia.edu/,,,"Biofuels from Bacteria, Electricity, and CO2",Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Ginkgo Bioworks,ALUMNI,For-profit,7/16/10,1/15/14,Transportation Fuels,https://www.ginkgobioworks.com/,https://www.theatlantic.com/science/archive/2018/02/ginkgo-bioworks-gmos/552374/,,Biofuels from E. Coli,Perish,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Harvard University,ALUMNI,Non-profit,7/1/10,9/30/13,Transportation Fuels,https://silver.med.harvard.edu/index.php/publications/,,,"Fuel from Bacteria, CO2, Water, and Solar Energy",Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Lawrence Berkeley National Laboratory (LBNL),ALUMNI,Non-profit,7/16/10,12/31/14,Transportation Fuels,https://link.springer.com/chapter/10.1007/978-1-4614-3348-4_40,https://aem.asm.org/content/79/14/4433.short#ack-1,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C33&q=Steven+Singer+%2B+arpa-e&btnG=,Turning Bacteria into Biofuel,Pivot,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,7/15/10,3/31/14,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/documents/files/MIT_Electrofuels_ExternalProjectImpactSheet_01272017_FINAL.pdf,,,Natural Oil Production from Microorganisms,Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,7/15/10,10/1/13,Transportation Fuels,https://wit.edu/directory/christopher-brigham,,,Liquid Fuel from Bacteria,Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Medical University of South Carolina (MUSC),ALUMNI,Non-profit,7/9/10,2/15/15,Transportation Fuels,http://www.electrobiome.org/publications.html,,,Liquid Fuel from Microbial Communities,Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,North Carolina State University (NC State),ALUMNI,Non-profit,7/1/10,12/31/14,Transportation Fuels,https://www.tandfonline.com/doi/full/10.1080/17597269.2014.996729?scroll=top&needAccess=true,https://www.cbe.ncsu.edu/extremophiles/publications-and-patents/,,Liquid Fuel from Heat-Loving Microorganisms,Pivot,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,OPX Biotechnologies,ALUMNI,For-profit,7/12/10,3/31/14,Transportation Fuels,https://greenchemicalsblog.com/2015/05/05/opxbio-sells-fermentation-tech-to-cargill/,https://www.cargill.com/news/releases/2015/NA31794255.jsp,,Engineering Bacteria for Efficient Fuel Production,Perish,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,Pennsylvania State University (Penn State),ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,http://www.curtislab.org/wrc2,https://www.sciencedirect.com/science/article/pii/S0960852414012346,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C33&q=+Wayne+Curtis+arpa-e&btnG=,Genetically Modified Bacteria for Fuel Production,Pivot,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,The Ohio State University,ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,https://jb.asm.org/content/197/22/3488.short#ack-1,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C33&q=F.+Tabita+arpa-e&btnG=,https://patents.google.com/patent/US20140087436A1/en,Fuel From Bacteria,Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,"University of California, Los Angeles (UCLA)",ALUMNI,Non-profit,7/15/10,4/30/14,Transportation Fuels,https://www.seas.ucla.edu/liao_lab/next-generation-biofuels.html,https://science.sciencemag.org/content/335/6076/1596,,Liquid Fuel from Renewable Electricity and Bacteria,Persist,
Electrofuels,https://drive.google.com/open?id=17xX4pKOSXqSuquuaZwNCAaHToTdQMPpS ,https://arpa-e.energy.gov/?q=arpa-e-programs/electrofuels,University of Massachusetts at Amherst (UMass Amherst),ALUMNI,Non-profit,7/1/10,6/30/14,Transportation Fuels,https://scholar.google.com/scholar?q=Derek+Lovley+arpa-e&hl=en&as_sdt=0%2C31&as_ylo=2012&as_yhi=,,,Biofuels from Solar Energy and Bacteria,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,California Institute of Technology (Caltech),ALUMNI,Non-profit,3/9/15,9/30/17,Transportation Fuels,https://pubs.acs.org/doi/pdf/10.1021/jacs.7b13409?rand=3kia1q0g,https://pubs.acs.org/doi/pdf/10.1021/acs.jpcc.9b04386?rand=jv9v6une,,Acoustic Wave Enhanced Catalysis,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Columbia University,ALUMNI,Non-profit,3/1/15,5/30/16,Transportation Fuels,https://patents.google.com/patent/US20170333840A1/en,"https://scholar.google.com/scholar?as_ylo=2015&q=Scott+Banta+%2B+arpa-e&hl=en&as_sdt=0,33",,Co-Generation of Fuels During Copper Bioleaching,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Cornell University,ALUMNI,Non-profit,8/17/16,8/16/17,Transportation Fuels,https://archergroup.cbe.cornell.edu/research/,https://onlinelibrary.wiley.com/doi/full/10.1002/anie.201707754,,Secondary Lithium Metal Batteries,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Gas Technology Institute (GTI),ALUMNI,For-profit,9/7/16,9/30/17,Transportation Fuels,https://www.gti.energy/soft-oxidation-softox-process-mitigates-flaring-issues-and-converts-sour-gas-to-clean-liquid-fuels/,https://www.cosia.ca/uploads/documents/id44/COSIA%20GTI%20Natural%20Gas%20Decarbonization%20Report%20July.pdf,,Methane Soft Oxidation,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Hi Fidelity Genetics,ALUMNI,For-profit,5/5/16,11/10/17,Transportation Fuels,https://hifidelitygenetics.com/news/,,,Plant Root Phenotyping,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Inventev,ALUMNI,For-profit,1/6/16,4/5/17,Transportation Vehicles,https://inventev.com/news-%26-events?blogcategory=Press+Release,,,Transmission-Based Power Generator,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Iowa State University (ISU),ALUMNI,Non-profit,8/11/16,12/31/17,Transportation Fuels,https://www.biorenew.iastate.edu/research/thermochemical/autothermal/,https://www.aiche.org/rapid/projects/autothermal-pyrolysis-lignocellulose-wastes-sugars-and-other-biobased-products,,Catalytic Autothermal Pyrolysis,Persist,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Princeton Optronics,ALUMNI,For-Profit,10/1/14,9/30/15,Transportation Vehicles,https://patents.google.com/patent/US9574541,https://www.sciencedirect.com/science/article/pii/S0079672718300107,,Development of a New Type of Laser Ignition System,Persist,Acquired by AMS in 2017
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Rice University,ALUMNI,Non-profit,9/15/16,12/14/17,Transportation Fuels,https://link.springer.com/article/10.1007/s10295-018-2035-3,,,Biological Ammonia Production,Pivot,No longer producing ammonia
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,Space Orbital Services,ALUMNI,For-profit,8/1/14,12/31/15,Transportation Fuels,Website doesn't work,,,Low Temperature Methane Conversion Through Impacting Common Alloy Catalysts,Perish,
IDEAS,https://drive.google.com/open?id=1A8u4oPAB431zgUzwqNS9vZSoChhWbBwl ,https://arpa-e.energy.gov/?q=arpa-e-programs/ideas,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,10/15/15,8/14/17,Transportation Vehicles,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8779693,,,Capacitive Wireless Power System,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Blackpak,ALUMNI,For-profit,10/1/12,9/30/16,Transportation Fuels,Website doesn't work,,,Sorbent-Based Natural Gas Tank,Perish,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Eaton Corporation,ALUMNI,For-profit,1/1/13,12/31/15,Transportation Fuels,https://www.fuelfreedom.org/garage-filling-stations-are-we-getting-close/,,,Liquid-Piston Isothermal Home Natural Gas Compressor,Pivot,Still working on CNG but no evidence of home natural gas compressor
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Gas Technology Institute (GTI),ALUMNI,Non-profit,1/1/13,12/31/14,Transportation Fuels,https://pubs.acs.org/doi/10.1021/acs.nanolett.6b00919,https://patents.google.com/patent/US9249934B2/en?q=nano-valved&assignee=gas+,,Adsorbent Materials for Natural Gas Storage,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Gas Technology Institute (GTI),ALUMNI,Non-profit,10/1/12,3/31/14,Transportation Fuels,https://pubs.acs.org/doi/pdf/10.1021/jp502359q?rand=30zi5l73,,,Low-Pressure Conformable Natural Gas Vehicle Tank,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,OnBoard Dynamics,ALUMNI,For-profit,10/1/12,1/14/18,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/OnBoardDynamics_MOVE_External_ImpactProjectSheet_FINAL.pdf,https://onboarddynamics.com/about-onboard-dynamics/,,On-Vehicle Engine-Compressor System,Persist,"New on-vehicle technology is not yet on company website, but appears to still be in development"
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Otherlab,ALUMNI,For-profit,9/3/12,3/31/16,Transportation Fuels,https://arpa-e.energy.gov/sites/default/files/documents/files/Otherlab_MOVE_ExternalProjectImpactSheet_FINAL.pdf,http://voluteinc.com/,,Intestinal Natural Gas Storage,Persist,Technology licensed to another company.
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Pacific Northwest National Laboratory (PNNL),ALUMNI,Non-profit,10/1/12,9/30/14,Transportation Fuels,"http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=9,234,626.PN.&OS=PN/9,234,626&RS=PN/9,234,626",,,Ultra-Light Conformable Natural Gas Tank,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,REL,ALUMNI,For-profit,9/1/12,9/30/16,Transportation Fuels,https://www.relinc.com/,https://arpa-e.energy.gov/?q=impact-sheet/rel-move,,Conformable Core Gas Tank,Persist,
MOVE,https://drive.google.com/open?id=1lOH-ovjG0DOq1rUXRstP6zg-UVldZAuM  ,https://arpa-e.energy.gov/?q=arpa-e-programs/move,Texas A&M University,ALUMNI,Non-profit,9/17/12,12/31/14,Transportation Fuels,http://www.chem.tamu.edu/rgroup/zhou/,,,Highly Adsorbent Materials for Natural Gas Storage,Persist,
