,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,recipientType,coder1,coder3,coder1notes,coder3notes
11,Columbia University,"Columbia University is developing a process to pull CO<sub>2</sub> out of the exhaust gas of coal-fired power plants and turn it into a solid that can be easily and safely transported, stored above ground, or integrated into value-added products (e.g. paper filler, plastic filler, construction materials, etc.). In nature, the reaction of CO<sub>2</sub> with various minerals over long periods of time will yield a solid carbonate--this process is known as carbon mineralization. The use of carbon mineralization as a CO<sub>2</sub> capture and storage method is limited by the speeds at which these minerals can be dissolved and CO<sub>2</sub> can be hydrated. To facilitate this, Columbia University is using a unique process and a combination of chemical catalysts which increase the mineral dissolution rate, and the enzymatic catalyst carbonic anhydrase which speeds up the hydration of CO<sub>2</sub>.
",2014-01-15,IMPACCT,ALUMNI,?q=slick-sheet-project/chemically-accelerated-carbon-mineralization,2010-07-16,New York,Chemically Accelerated Carbon Mineralization,Resource Efficiency, ,1254752,0.0,Non-profit,Pivot,Persist,"seems to be continuing the research, not many specifics in the proposal description",
12,Cornell University,"Cornell University will develop thermoregulatory apparel that enables the expansion of the comfortable temperature range in buildings by more than 4?F in both heating and cooling seasons. Cornell's thermoregulatory apparel integrates advanced textile technologies and state-of-the-art wearable electronics into a functional apparel design without compromising comfort, wearability, washability, appearance, or safety. The thermoregulatory clothing system senses the wearer's skin temperature and activates a heated or cooled airflow around the individual, reducing the energy required to heat or cool the building itself by satisfying the comfort requirements of the individual.

",2018-08-15,DELTA,ALUMNI,?q=slick-sheet-project/thermoregulatory-clothing-system,2015-04-27,New York,Thermoregulatory Clothing System,Building Efficiency, ,2996807,0.0,Non-profit,Perish,Persist,"Research focused, moved on",
13,Dioxide Materials,"Dioxide Materials is developing technology to produce carbon monoxide, or ""synthesis gas"" electrochemically from CO<sub>2</sub> emitted by power plants. Synthesis gas can be used as a feedstock for the production of industrial chemicals and liquid fuels. The current state-of-the-art process for capturing and removing CO<sub>2</sub> from the flue gas of power plants is expensive and energy intensive, and therefore faces significant hurdles towards widespread implementation. The technologies being developed by Dioxide Materials aim to convert CO<sub>2</sub> into something useful in an economical and practical way. The technology has the potential to create an entirely new industry where waste CO<sub>2</sub>--rather than oil--is used to produce gasoline, diesel fuel, jet fuel, and industrial chemicals.

",2017-03-06,OPEN 2012,ALUMNI,?q=slick-sheet-project/converting-co2-fuel-and-chemicals,2013-02-01,Florida,Converting CO2 into Fuel and Chemicals,Resource Efficiency, ,4877239,1.0,For-profit,Pivot,Persist,Focusing on smaller markets first,
14,General Atomics,"General Atomics is developing a direct current (DC) circuit breaker that could protect the grid from faults 100 times faster than its alternating current (AC) counterparts. Circuit breakers are critical elements in any electrical system. At the grid level, their main function is to isolate parts of the grid where a fault has occurred--such as a downed power line or a transformer explosion--from the rest of the system. DC circuit breakers must interrupt the system during a fault much faster than AC circuit breakers to prevent possible damage to cables, converters and other grid-level components. General Atomics' high-voltage DC circuit breaker would react in less than 1/1,000th of a second to interrupt current during a fault, preventing potential hazards to people and equipment.
",2013-07-31,GENI,ALUMNI,?q=slick-sheet-project/low-insertion-hvdc-circuit-breaker,2012-01-09,California,Low-Insertion HVDC Circuit Breaker,Grid, ,2268543,0.0,For-profit,Pivot,Perish,No mention of the DC circuit breaker anywhere on website,no data
15,General Electric (GE) Global Research,"General Electric (GE) Global Research and the University of Pittsburgh are developing a unique CO<sub>2</sub> capture process in which a liquid absorbent changes into a solid upon contact with CO<sub>2</sub>. Once in solid form, the material can be separated and the CO<sub>2</sub> can be released for storage by heating. Upon heating, the absorbent returns to its liquid form, where it can be reused to capture more CO<sub>2</sub>. The approach is more efficient than other solvent-based processes because it avoids the heating of extraneous solvents such as water. This ultimately leads to a lower cost of CO<sub>2</sub> capture and will lower the additional cost to produce electricity for coal-fired power plants that retrofit their facilities to include this technology.

",2013-09-30,IMPACCT,ALUMNI,?q=slick-sheet-project/co2-capture-liquid-solid-absorbents,2010-10-01,Connecticut,CO2 Capture with Liquid-to-Solid Absorbents,Resource Efficiency, ,3692967,0.0,For-profit,Perish,Persist,"In NETL doc, GE reorg killed it",
16,General Electric (GE) Global Research,"General Electric (GE) Global Research is developing new, low-cost insulation for high-voltage direct current (HVDC) electricity transmission cables. The current material used to insulate HVDC transmission cables is very expensive and can account for as much as 1/3 of the total cost of a high-voltage transmission system. GE is embedding nanomaterials into specialty rubber to create its insulation. Not only are these materials less expensive than those used in conventional HVDC insulation, but also they will help suppress excess charge accumulation. The excess charge left behind on a cable poses a major challenge for high-voltage insulation--if it is not kept to a low level, it could ultimately lead the insulation to fail. GE's low-cost insulation is compatible with existing U.S. cable manufacturing processes, further enhancing its cost effectiveness.
",2014-05-31,GENI,ALUMNI,?q=slick-sheet-project/cost-effective-cable-insulation,2012-02-24,Connecticut,Cost-Effective Cable Insulation,Grid, ,816229,0.0,For-profit,Perish,Persist,can't find anything after project,
17,General Electric (GE) Global Research,"General Electric (GE) Global Research will design, manufacture, and test an absorption heat pump that can be used for supplemental dry cooling at thermoelectric power plants. The team's project features a novel, absorbent-enabled regenerator that doubles the coefficient of performance of conventional absorption heat pumps. The new absorbents demonstrate greater hygroscopic potential, or the ability to prevent evaporation. To remove heat and cool condenser water, these absorbents take in water vapor (refrigerant) and release the water as liquid during desorption without vaporization or boiling. GE's technology will use waste heat from the power plant's flue gas to drive the cooling system, eliminating the need for an additional power source. GE estimates the system will cost half that of conventional absorption heat pumps.
",2017-03-02,ARID,ALUMNI,?q=slick-sheet-project/absorption-heat-pump,2015-09-01,Connecticut,Absorption Heat Pump,Resource Efficiency, ,1099940,0.0,For-profit,Pivot,Persist,"sort of related patent, but couldn't find any products online",http://gemeac.com/pdf/Air-Products/GE_AASP_Series_combine.pdf
18,General Electric (GE) Global Research,"General Electric (GE) Global Research is developing electricity transmission hardware that could connect distributed renewable energy sources, like wind farms, directly to the grid--eliminating the need to feed the energy generated through intermediate power conversion stations before they enter the grid. GE is using the advanced semiconductor material silicon carbide (SiC) to conduct electricity through its transmission hardware because SiC can operate at higher voltage levels than semiconductors made out of other materials. This high-voltage capability is important because electricity must be converted to high-voltage levels before it can be sent along the grid's network of transmission lines. Power companies do this because less electricity is lost along the lines when the voltage is high.
",2015-01-22,GENI,ALUMNI,?q=slick-sheet-project/connecting-renewables-directly-grid,2012-01-23,Connecticut,Connecting Renewables Directly to the Grid,Grid, ,4412392,0.0,For-profit,Perish,Persist,nothing on the website,
19,Georgia Tech Research Corporation,"Georgia Tech Research Corporation?is using innovative components and system design to develop a new type of absorption heat pump. Georgia Tech's new heat pumps are energy efficient, use refrigerants that do not emit greenhouse gases, and can run on energy from combustion, waste heat, or solar energy. Georgia Tech is leveraging enhancements to heat and mass transfer technology possible in micro-scale passages and removing hurdles to the use of heat-activated heat pumps that have existed for more than a century. Use of micro-scale passages allows for miniaturization of systems that can be packed as monolithic full-system packages or discrete, distributed components enabling integration into a variety of residential and commercial buildings. Compared to conventional heat pumps, Georgia Tech's design innovations will create an absorption heat pump that is much smaller, has higher energy efficiency, and can also be mass produced at a lower cost and assembly time. Georgia Tech received a separate award of up to $2,315,845 from the Department of the Navy to help decrease military fuel use.
",2014-06-30,BEETIT,ALUMNI,?q=slick-sheet-project/innovative-miniaturized-heat-pumps-buildings,2010-09-01,Georgia,Innovative Miniaturized Heat Pumps for Buildings,Building Efficiency, ,2399492,0.0,Non-profit,Pivot,Persist,"Still researching, abandoned patent app",
20,Georgia Tech Research Corporation,"Georgia Tech Research Corporation?is developing a decentralized, autonomous, internet-like control architecture and control software system for the electric power grid. Georgia Tech's new architecture is based on the emerging concept of electricity prosumers--economically motivated actors that can produce, consume, or store electricity. Under Georgia Tech's architecture, all of the actors in an energy system are empowered to offer associated energy services based on their capabilities. The actors achieve their sustainability, efficiency, reliability, and economic objectives, while contributing to system-wide reliability and efficiency goals. This is in marked contrast to the current one-way, centralized control paradigm.
",2015-02-15,GENI,ALUMNI,?q=slick-sheet-project/autonomous-decentralized-grid-architecture,2012-01-11,Georgia,"Autonomous, Decentralized Grid Architecture",Grid, ,2009908,0.0,Non-profit,Pivot,Persist,,https://prosumergrid.com/
21,Georgia Tech Research Corporation,"A team of six faculty members at Georgia Tech Research Corporation is developing an enhanced membrane by fitting metal organic frameworks, compounds that show great promise for improved carbon capture, into hollow fiber membranes. This new material would be highly efficient at removing CO<sub>2</sub> from the flue gas produced at coal-fired power plants. The team is analyzing thousands of metal organic frameworks to identify those that are most suitable for carbon capture based both on their ability to allow coal exhaust to pass easily through them and their ability to select CO<sub>2</sub> from that exhaust for capture and storage. The most suitable frameworks would be inserted into the walls of the hollow fiber membranes, making the technology readily scalable due to their high surface area. This composite membrane would be highly stable, withstanding the harsh gas environment found in coal exhaust.
",2012-10-31,IMPACCT,ALUMNI,?q=slick-sheet-project/composite-membranes-co2-capture,2010-07-01,Georgia,Composite Membranes for CO2 Capture,Resource Efficiency, ,998928,0.0,Non-profit,Pivot,Persist,"others got follow-on funding, was it different?",
22,IBM T.J. Watson Research Center,"IBM's T.J Watson Research Center is working in conjunction with Harvard University and Princeton University to develop an energy-efficient, self-organizing mesh network to gather data over a distributed methane measurement system. Data will be passed to a cloud-based analytics system using custom models to quantify the amount and rate of methane leakage. Additionally, IBM is developing new, low-cost optical sensors that will use tunable diode laser absorption spectroscopy (TDLAS) for methane detection. While today's optical sensors offer excellent sensitivity and selectivity, their high cost and power requirements prevent widespread adoption. To overcome these hurdles, IBM and its partners plan to produce a miniaturized, integrated, on-chip version that is less expensive and consumes less power. At a planned cost of about $300 per sensor, IBM's sensors will be 10 to 100 times cheaper than TDLAS sensors on the market today. By advancing an affordable methane detection system that can be customized, IBM's technology could enable producers to more efficiently locate and repair methane leaks, and therefore reduce overall methane emissions.
",2018-08-09,MONITOR,ALUMNI,?q=slick-sheet-project/multi-modal-methane-measurement-system,2015-08-10,New York,Multi-Modal Methane Measurement System,Resource Efficiency, ,4500000,0.0,For-profit,Pivot,Persist,,
23,Johns Hopkins University,"Johns Hopkins University will study the adsorption compression phenomenon for ways to enhance the reaction rate for commercially relevant reactions. Adsorption is the adhesion of molecules from a gas, liquid, or dissolved solid to a surface, creating layers of the ""adsorbate"" on the surface of the host material. The Johns Hopkins team will explore the physical state where the forces acting parallel to the surface of adsorbate molecules can in certain conditions be far higher than forces associated with adsorption of additional molecules on the surface. This phenomenon is called adsorption compression. This compression is important because it leads to a strain in intramolecular bonds and can change the activation energy for many chemical reactions - which can alter reaction pathways, increase reactivity, or improve selectivity for desired products. The team plans to explore this phenomenon as a method to improve the efficiency of commercial catalytic systems.

",2017-12-31,IDEAS,ALUMNI,?q=slick-sheet-project/adsorption-compression-chemical-reactions,2016-02-15,Marylan,Adsorption Compression on Chemical Reactions,Resource Efficiency, ,500000,1.0,Non-profit,Pivot,Persist,Not many actual publications (dissertations),https://hub.jhu.edu/2018/06/01/reduce-emissions-exhaust-catalyst-system/
24,Lawrence Livermore National Laboratory (LLNL),"Lawrence Livermore National Laboratory (LLNL) is designing a process to pull CO<sub>2</sub> out of the exhaust gas of coal-fired power plants so it can be transported, stored, or utilized elsewhere. Human lungs rely on an enzyme known as carbonic anhydrase to help separate CO<sub>2</sub> from our blood and tissue as part of the normal breathing process. LLNL is designing a synthetic catalyst with the same function as this enzyme. The catalyst can be used to quickly capture CO<sub>2</sub> from coal exhaust, just as the natural enzyme does in our lungs. LLNL is also developing a method of encapsulating chemical solvents in permeable microspheres that will greatly increase the speed of binding of CO<sub>2</sub>. The goal of the project is an industry-ready chemical vehicle that can withstand the harsh environments found in exhaust gas and enable new, simple process designs requiring less capital investment.
",2014-12-31,IMPACCT,ALUMNI,?q=slick-sheet-project/synthetic-catalysts-co2-storage,2010-08-15,California,Synthetic Catalysts for CO2 Storage,Resource Efficiency, ,3611376,0.0,Non-profit,Pivot,Persist,"Still working on the microcapsules, have some patents","can also be Perish, given it was not successul and nothing since 2016"
25,LI-COR Biosciences,"LI-COR Biosciences is working with Colorado State University (CSU) and Gener8 to develop cost-effective, highly sensitive optical methane sensors that can be integrated into mobile or stationary methane monitoring systems. Their laser-based sensor utilizes optical cavity techniques, which provide long path lengths and high methane sensitivity and selectivity, but previously have been costly. The team will employ a novel sensor design developed in parallel with advanced manufacturing techniques to enable a substantial cost reduction. The sensors are expected to provide exceptional long-term stability, enabling robust, unattended field deployment and further reducing total cost-of-ownership. CSU will test representative sensor prototypes and demonstrate the sensor's application to leak detection and quantification. The team's proposed sensor could decrease the expense of today's monitoring technologies and encourage widespread adoption of methane monitoring and mitigation at natural gas wellpads.

",2017-08-12,MONITOR,ALUMNI,?q=slick-sheet-project/optical-sensors-methane-detection,2015-05-15,Nebraska,Optical Sensors for Methane Detection,Resource Efficiency, ,2849950,0.0,For-profit,Perish,Persist,Stuck with original technology,
26,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) is developing a water treatment system to treat contaminated water from hydraulic fracking and seawater. There is a critical need for small to medium-sized, low-powered, low-cost water treatment technologies, particularly for regions lacking centralized water and energy infrastructure. Conventional water treatment methods, such as reverse osmosis, are not effective for most produced water clean up based on the high salt levels resulting from fracking. MIT's water treatment system will remove high-levels of typical water contaminants such as salt, metals, and microorganisms. The water treatment system is based on low-powered generation enabling efficient on-demand, on-site potable water production. The process allows for a 50% water recovery rate and is cost-competitive with conventional water treatment technology. MIT's water treatment device would require less power than competing technologies and has important applications for mining, oil and gas production, and water treatment for remote locations.
",2014-12-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/scalable-low-power-water-treatment-system,2013-06-01,Massachusetts,"Scalable, Low-Power Water Treatment System",Resource Efficiency, ,749119,1.0,Non-profit,Perish,Persist,Working on seawater desalination,https://www.nature.com/articles/srep31850
27,Massachusetts Institute of Technology (MIT),"Massachusetts Institute of Technology (MIT) and Siemens Corporation are developing a process to separate CO<sub>2</sub> from the exhaust of coal-fired power plants by using electrical energy to chemically activate and deactivate sorbents--materials that absorb gases. The team found that certain sorbents bond to CO<sub>2</sub> when they are activated by electrical energy and then transported through a specialized separator that deactivates the molecule and releases it for storage. This method directly uses the electricity from the power plant, which is a more efficient but more expensive form of energy than heat, though the ease and simplicity of integrating it into existing coal-fired power plants reduces the overall cost of the technology. This process could cost as low as $31 per ton of CO<sub>2</sub> stored.
",2013-01-31,IMPACCT,ALUMNI,?q=slick-sheet-project/co2-capture-using-electrical-energy,2010-07-01,Massachusetts,CO2 Capture Using Electrical Energy,Resource Efficiency, ,998111,0.0,Non-profit,Perish,Persist,"Different research direction, Siemens not selling, not licensing MIT patent",
28,Northeastern University,"Northeastern University, in partnership with the Ames Laboratory, will evaluate a range of new magnetocaloric compounds (AlT<sub>2</sub>X<sub>2</sub>) for potential application in room-temperature magnetic cooling. Magnetic refrigeration is an environmentally friendly alternative to conventional vapor-compression cooling technology. The magnetocaloric effect is triggered by application and removal of an applied magnetic field--adjusting the magnetic field translates into an adjustment in the temperature of the material. The benchmark magnetocaloric materials are based on the rare earth metal gadolinium (Gd), but gadolinium is scarce in the earth's crust and prohibitively expensive. Other magnetocaloric materials have similar rarity and cost constraints, or are brittle and undergo large volume changes during magnetic transition. Volume changes are problematic because a magnetocaloric working material must maintain mechanical and magnetic integrity over 300 million cycles in a ten-year lifetime. The Northeastern-led team is proposing to explore new magnetocaloric materials, AlT<sub>2</sub>X<sub>2</sub> (where T=Fe, Mn, and/or Co, and X = B and/or C) comprised of abundant, non-toxic elements that can undergo a structural transition near room temperature. The material is projected to meet or exceed the performance of other candidate magnetocaloric materials due to its potential ease of fabrication, corrosion resistance, high mechanical integrity maintained through caloric phase change, and low heat capacity that fosters effective heat transfer. The project objectives are to ascertain the most promising compositions and magnetic field and temperature combinations to realize the optimal magnetocaloric response in this compound.

",2017-12-31,IDEAS,ALUMNI,?q=slick-sheet-project/materials-magnetocaloric-applications,2016-09-01,Massachusetts,Materials for Magnetocaloric Applications,Building Efficiency, ,500000,1.0,Non-profit,Pivot,Persist,"Research project, still not commercial",https://scholar.google.com/citations?hl=en&user=cLMm3tkAAAAJ&view_op=list_works&sortby=pubdate
29,Northeastern University,"Northeastern University is developing bulk quantities of rare-earth-free permanent magnets with an iron-nickel crystal structure for use in the electric motors of renewable power generators and EVs. These materials could offer magnetic properties that are equivalent to today's best commercial magnets, but with a significant cost reduction and diminished environmental impact. This iron-nickel crystal structure, which is only found naturally in meteorites and developed over billions of years in space, will be artificially synthesized by the Northeastern University team. Its material structure will be replicated with the assistance of alloying elements introduced to help it achieve superior magnetic properties. The ultimate goal of this project is to demonstrate bulk magnetic properties that can be fabricated at the industrial scale.
",2013-12-31,REACT,ALUMNI,?q=slick-sheet-project/iron-nickel-based-supermagnets,2012-02-24,Massachusetts,Iron-Nickel-Based Supermagnets,Resource Efficiency, ,2216836,0.0,Non-profit,Pivot,Persist,"Research, no commercialization plan",
30,Oak Ridge National Laboratory (ORNL),"Oak Ridge National Laboratory (ORNL) is developing an electromagnet-based, amplifier-like device that will allow for complete control over the flow of power within the electric grid. To date, complete control of power flow within the grid has been prohibitively expensive. ORNL's controller could provide a reliable, cost-effective solution to this problem. The team is combining two types of pre-existing technologies to assist in flow control, culminating in a prototype iron-based magnetic amplifier. Ordinarily, such a device would require expensive superconductive wire, but the magnetic iron core of ORNL's device could serve as a low-cost alternative that is equally adept at regulating power flow.

",2017-06-30,GENI,ALUMNI,?q=slick-sheet-project/magnetic-amplifier-power-flow-control,2012-02-24,Tennessee,Magnetic Amplifier for Power Flow Control,Grid, ,5496651,0.0,Non-profit,Pivot,Persist,"Licensed tech, but SPX seems to only do custom (ie expensive, not 10x cheaper) stuff",
