,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount,OPEN,costTarget,recipientType,Partners,coder1,coder2,coder3,coder4,coder5,coder1notes,coder2notes,coder3notes,coder4notes,coder5notes,dummyCoder,FinalDecision,Notes,counter,endYr,startYr,yrGrp,early,middle,late,dum09,dum10,dum11,dum12,dum13,dum14,dum15,dum16,dum17,dum18,ForProf,TC_TF,TC_DG,TC_TS,TC_SS,TC_BE,TC_RE,TC_ME,TC_CG,TC_EE,TC_GR,TC_TV,TC_TN,TC_OT
10,10,Algaeventure Systems (AVS),"Led by CEO Ross Youngs, Algaeventure Systems (AVS) has patented a cost-effective dewatering technology that separates micro-solids (algae) from water. Separating micro-solids from water traditionally requires a centrifuge, which uses significant energy to spin the water mass and force materials of different densities to separate from one another. In a comparative analysis, dewatering 1 ton of algae in a centrifuge costs around $3,400. AVS's Solid-Liquid Separation (SLS) system is less energy-intensive and less expensive, costing $1.92 to process 1 ton of algae. The SLS technology uses capillary dewatering with filter media to gently facilitate water separation, leaving behind dewatered algae which can then be used as a source for biofuels and bio-products. The biomimicry of the SLS technology emulates the way plants absorb and spread water to their capillaries.
",2012-01-31,OPEN 2009,ALUMNI,?q=slick-sheet-project/fuel-algae,2010-01-15,Ohio,Fuel from Algae,Transportation Fuels, ,5.992676,1.0,No,For-profit,1,Perish,blank,blank,Perish,blank,Energy to pharmaceuticals,blank,blank,,blank,blank,Perish,Energy to pharmaceuticals,0,2.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Alliant Techsystems (ATK),"Researchers at Alliant Techsystems (ATK) and ACENT Laboratories are developing a device that relies on aerospace wind-tunnel technologies to turn CO<sub>2</sub> into a condensed solid for collection and capture. ATK's design incorporates a special nozzle that converges and diverges to expand flue gas, thereby cooling it off and turning the CO<sub>2</sub> into solid particles which are removed from the system by a cyclonic separator. This technology is mechanically simple, contains no moving parts and generates no chemical waste, making it inexpensive to construct and operate, readily scalable, and easily integrated into existing facilities. The increase in the cost to coal-fired power plants associated with introduction of this system would be 50% less than current technologies.

",2013-06-30,IMPACCT,ALUMNI,?q=slick-sheet-project/supersonic-technology-co2-capture,2010-07-01,Minnesota,Supersonic Technology for CO2 Capture,Resource Efficiency, ,2.68304,0.0,No,For-profit,0,Perish,blank,Persist,blank,blank,Bought by northrup grumman,blank,https://www.osti.gov/biblio/1394653,blank,blank,blank,Persist,,0,3.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,12,Alveo Energy,"Alveo Energy is developing a grid-scale storage battery using Prussian Blue dye as the active material within the battery. Prussian Blue is most commonly known for its application in blueprint documents, but it can also hold electric charge. Though it provides only modest energy density, Prussian Blue is so readily available and inexpensive that it could provide a cost-effective and sustainable storage solution for years to come. Alveo will repurpose this inexpensive dye for a new battery that is far cheaper and less sensitive to temperature, air, and other external factors than comparable systems. This will help to facilitate the adoption and deployment of renewable energy technology. Alveo's Prussian Blue dye-based grid-scale storage batteries would be safe and reliable, have long operational lifetime, and be cheaper to produce than any existing battery technology.

",2016-03-31,OPEN 2012,ALUMNI,?q=slick-sheet-project/prussian-blue-dye-batteries,2013-02-21,California,Prussian Blue Dye Batteries,Storage, ,4.599814,1.0,No,For-profit,0,Persist,blank,blank,blank,Persist,rebrand,blank,blank,blank,Chevron invested in Natron 2019; Natron was founded as Alveo Energy in 2012 as a spin-out from research originally performed at Stanford University.(https://www.greencarcongress.com/2019/01/20190128-natron.html),blank,Persist,rebrand,0,6.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,13,American Manufacturing,"American Manufacturing, in collaboration with the University of Colorado at Boulder, will develop a flash sintering system to manufacture solid lithium-conducting electrolytes with high ionic conductivity. Conventional sintering is the process of compacting and forming a solid mass by heat and/or pressure without melting it to the point of changing it to a liquid, similar to pressing a snowball together from loose snow. In conventional sintering a friable ceramic ""bisque"" is heated for several hours at very high temperatures until it becomes dense and strong. Oxide ceramics for solid-state electrolytes have high melting points, and some are chemically stable and do not react with lithium metal, which can reduce cost and maximize energy density. But the sintering process requires several hours at very high temperatures (1100?C). These conditions conflict with the fast movement of lithium atoms in the solid state, which is a key property of the electrolyte.  Therefore, the manufacture of these electrolytes by the conventional sintering process is a key barrier to their cost and viability. In contrast, flash sintering can occur in fewer than 5 seconds, at temperatures below 800?C, and can prevent the loss of lithium experienced in conventional sintering. This project is expected to improve lithium battery technology in the following ways: lowering the cost of sintering and processing; enhancing productivity through roll-to-roll manufacturing of co-sintered multilayers ready to be inserted into devices; and hastening the discovery of new materials by shortening the time between synthesis of new chemistries and their electrochemical evaluation to days instead of months.

",2018-09-19,IONICS,ALUMNI,?q=slick-sheet-project/flash-sintering-system,2016-12-20,Colorado,Flash Sintering System,Storage,Transportation Storage,0.85,0.0,Yes,For-profit,1,Pivot,blank,blank,blank,Persist,"Research, limited commercial apps",blank,blank,blank,Academic effort ongoing,blank,Pivot,"Research, limited commercial apps",0,8.0,7.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14,14,Ames National Laboratory,"Ames Laboratory is developing a new class of permanent magnets based on the more commonly available element cerium for use in both EVs and renewable power generators. Cerium is 4 times more abundant and significantly less expensive than the rare earth element neodymium, which is frequently used in today's most powerful magnets. Ames Laboratory will combine other metal elements with cerium to create a new magnet that can remain stable at the high temperatures typically found in electric motors. This new magnetic material will ultimately be demonstrated in a prototype electric motor, representing a cost-effective and efficient alternative to neodymium-based motors.
",2015-05-31,REACT,ALUMNI,?q=slick-sheet-project/cerium-based-magnets,2012-01-01,Iowa,Cerium-Based Magnets,Resource Efficiency, ,3.035358,0.0,Yes,Non-profit,1,Perish,blank,Persist,blank,blank,,blank,https://onlinelibrary.wiley.com/doi/full/10.1002/adma.201404892,blank,blank,blank,Persist,@rebecca to follow up a bit more ,0,5.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,15,Applied Materials,"Applied Materials is developing new tools for manufacturing Li-Ion batteries that could dramatically increase their performance. Traditionally, the positive and negative terminals of Li-Ion batteries are mixed with glue-like materials called binders, pressed onto electrodes, and then physically kept apart by winding a polymer mesh material between them called a separator. With the Applied Materials system, many of these manually intensive processes will be replaced by next generation coating technology to apply each component. This process will improve product reliability and performance of the cells at a fraction of the current cost. These novel manufacturing techniques will also increase the energy density of the battery and reduce the size of several of the battery's components to free up more space within the cell for storage.
",2013-09-30,BEEST,ALUMNI,?q=slick-sheet-project/new-electrode-manufacturing-process-equipment,2010-07-01,California,New Electrode Manufacturing Process Equipment,Transportation Storage, ,4.371028,0.0,Yes,For-profit,1,Persist,blank,blank,blank,blank,,blank,blank,blank,blank,blank,Persist,,0,3.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,16,Applied Materials,"Applied Materials is working with ARPA-E and the Office of Energy Efficiency and Renewable Energy (EERE) to build a reactor that produces the silicon wafers used in solar panels at a dramatically lower cost than existing technologies. Current wafer production processes are time consuming and expensive, requiring the use of high temperatures to produce ingots from molten silicon that can be sliced into wafers for use in solar cells. This slicing process results in significant silicon waste--or ""kerf loss""--much like how sawdust is created when sawing wood. With funding from ARPA-E, Applied Materials is developing a reactor where ultra-thin silicon wafers are created by depositing silicon directly from vapor onto specialized reusable surfaces, allowing a significant reduction in the amount of silicon used in the process. Since high purity silicon is one of the most significant costs in producing solar cells, this kerf-less approach could significantly reduce the overall cost of producing solar panels. Applied Materials is partnering with Suniva, who will use funds from EERE to integrate these low-cost wafers into solar cells and modules that generate low-cost electricity, and with Arizona State University, who will develop high-efficiency devices on ultra-thin kerfless substrates.  This partnership could enable low-cost, domestic manufacturing of solar modules, allowing the U.S. to reduce the amount of equipment we import from other countries.

",2016-09-30,OPEN 2012,ALUMNI,?q=slick-sheet-project/low-cost-silicon-wafers-solar-modules,2013-06-01,California,Low-Cost Silicon Wafers for Solar Modules,Centralized Generation,Distributed Generation,4.958074,1.0,No,For-profit,1,Persist,Persist,blank,blank,blank,,Suniva selling,blank,blank,blank,blank,Persist,,0,6.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
17,17,Arcadia Biosciences,"Arcadia Biosciences, in collaboration with the University of California-Davis, is developing plants that produce vegetable oil in their leaves and stems. Ordinarily, these oils are produced in seeds, but Arcadia Biosciences is turning parts of the plant that are not usually harvested into a source of concentrated energy. Vegetable oil is a concentrated source of energy that plants naturally produce and is easily separated after harvest. Arcadia Biosciences will isolate traits that control oil production in seeds and transfer them into leaves and stems so that all parts of the plants are oil-rich at harvest time. After demonstrating these traits in a fast-growing model plant, Arcadia Biosciences will incorporate them into a variety of dedicated biofuel crops that can be grown on land not typically suited for food production.
",2015-09-30,PETRO,ALUMNI,?q=slick-sheet-project/vegetable-oil-leaves-and-stems,2012-01-01,California,Vegetable Oil from Leaves and Stems,Transportation Fuels, ,1.416351,0.0,Yes,For-profit,1,Perish,blank,blank,Perish,blank,Doesn't seem like they're doing anything with sorghum anymore,blank,blank,,blank,blank,Perish,Doesn't seem like they're doing anything with sorghum anymore,0,5.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
18,18,Architectural Applications (A2),"Architectural Applications (A2) is developing a building moisture and heat exchange technology that leverages a new material and design to create healthy buildings with lower energy use. Commercial building owners/operators are demanding buildings with greater energy efficiency and healthier indoor environments. A2 is developing a membrane-based heat and moisture exchanger that controls humidity by transferring the water vapor in the incoming fresh air to the drier air leaving the building. Unlike conventional systems, A2 locates the heat and moisture exchanger within the depths of the building's wall to slow down the air flow and increase the surface area that captures humidity, but with less fan power. The system's integration into the wall reduces the size and demand on the air conditioning equipment and increases liable floor area flexibility.
",2011-10-14,BEETIT,ALUMNI,?q=slick-sheet-project/energy-efficient-building-ventilation-systems,2010-10-15,Oregon,Energy Efficient Building Ventilation Systems,Building Efficiency, ,0.458251,0.0,Yes,For-profit,1,Pivot,blank,Persist,blank,blank,"Were doing pilots, can't find really recent info",blank,,blank,blank,blank,Pivot,,0,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
19,19,Argonne National Laboratory,"ANL is developing a new hybrid fuel cell technology that could generate both electricity and liquid fuels from natural gas. Existing fuel cell technologies typically convert chemical energy from hydrogen into electricity during a chemical reaction with oxygen or some other agent. In addition to generating electricity from hydrogen, ANL's fuel cell would produce ethylene--a liquid fuel precursor--from natural gas. In this design, a methane-coupling catalyst is added to the anode side of a fuel cell that, when fed with natural gas, creates a chemical reaction that produces ethylene and utilizes leftover hydrogen, which is then passed through a proton-conducting membrane to generate electricity. Removing hydrogen from the reaction site leads to increased conversion of natural gas to ethylene.
",2017-03-31,REBELS,ALUMNI,?q=slick-sheet-project/electricity-and-liquid-fuels-natural-gas,2014-10-01,Illinois,Electricity and Liquid Fuels from Natural Gas,Distributed Generation,Storage,2.0,0.0,Yes,Non-profit,0,Perish,Persist,blank,blank,blank,,Patent filed this year,blank,blank,blank,blank,Perish,https://patents.google.com/patent/US20190062235A1/en but nothing really after that?,0,7.0,5.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,20,Argonne National Laboratory (ANL),"Argonne National Laboratory (ANL) is developing a cost-effective exchange-spring magnet to use in the electric motors of wind generators and EVs that uses no rare earth materials. This ANL exchange-spring magnet combines a hard magnetic outer shell with a soft magnetic inner core--coupling these together increases the performance (energy density and operating temperature). The hard and soft magnet composite particles would be created at the molecular level, followed by consolidation in a magnetic field. This process allows the particles to be oriented to maximize the magnetic properties of low-cost and abundant metals, eliminating the need for expensive imported rare earths. The ultimate goal of this project is to demonstrate this new type of magnet in a prototype electric motor.
",2015-09-30,REACT,ALUMNI,?q=slick-sheet-project/exchange-spring-magnets,2012-01-01,Illinois,Exchange-Spring Magnets,Resource Efficiency, ,4.683016,0.0,Yes,Non-profit,1,Perish,blank,Perish,blank,blank,"Can't find any projects/papers/publications, main (original) guy left",blank,no data,blank,blank,blank,Perish,"Can't find any projects/papers/publications, main (original) guy left",0,5.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,21,Arizona State University (ASU),"Arizona State University (ASU) is developing a solar cell that can maintain efficient operation at temperatures above 400?C. Like many other electronics, solar panels work best in cooler environments. As the temperature of traditional solar cells increases beyond 100?C, the energy output decreases markedly and components are more prone to failure. ASU's technology adapts semiconducting materials used in today's light-emitting diode (LED) industry to enable efficient, long-term high-temperature operation. These materials could allow the cells to maintain operation at much higher temperatures than today's solar cells, so they can be integrated as the sunlight-absorbing surface of a thermal receiver in the next generation of hybrid solar collectors. The solar cell would provide electricity using a portion of the incoming sunlight, while the receiver collects usable heat at high temperature that can be stored and dispatched to generate electricity as needed.

",2017-08-29,FOCUS,ALUMNI,?q=slick-sheet-project/high-temperature-topping-cells-led-materials,2014-05-30,Arizona,High-Temperature Topping Cells from LED Materials,Distributed Generation, ,3.899998,0.0,Yes,Non-profit,1,Perish,Pivot,blank,blank,blank,"Some similar research, parnter companies moved on",Nothing since then... companies seem to be doing other things,blank,blank,blank,blank,Pivot,,0,7.0,5.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,22,Arizona State University (ASU),"Arizona State University (ASU) is developing an innovative, formable battery that can be incorporated as a structural element in the vehicle. This battery would replace structural elements such as roof and side panels that previously remained passive, and incapable of storing energy. Unlike today's batteries that require significant packaging and protection, ASU's non-volatile chemistry could better withstand collision on its own because the battery would be more widely distributed throughout the vehicle so less electricity would be stored in any single area. Furthermore, ASU's battery would not use any flammable components or high-voltage modules. The chemistry minimizes conventional protection and controls while enabling it to store energy and provide structure, thus making vehicles lighter and safer.
",2015-12-31,RANGE,ALUMNI,?q=slick-sheet-project/multifunctional-cells-electric-vehicles,2013-11-25,Arizona,Multifunctional Cells for Electric Vehicles,Transportation Storage, ,1.998913,0.0,Yes,Non-profit,0,Perish,blank,blank,blank,blank,"Not a thing, but main guy worked at fluidic",blank,blank,blank,blank,blank,Perish,"Not a thing, but main guy worked at fluidic",0,5.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,23,Arizona State University (ASU),"Arizona State University (ASU) is developing an innovative electrochemical technology for capturing the CO<sub>2</sub> released by coal-fired power plants. ASU's technology aims to cut both the energy requirements and cost of CO<sub>2</sub> capture technology in half compared to today's best methods. Presently, the only proven commercially viable technology for capturing CO<sub>2</sub> from coal plants uses a significant amount of energy, consuming roughly 40% of total power plant output. If installed today, this technology would increase the cost of electricity production by 85%. ASU is advancing a fundamentally new paradigm for CO<sub>2</sub> capture using novel electrochemical reactants to separate and capture CO<sub>2</sub>. This process could be easily scaled and integrated in conventional fossil fuel power generation facilities.
",2017-02-28,OPEN 2012,ALUMNI,?q=slick-sheet-project/electrochemical-carbon-capture,2013-03-12,Arizona,Electrochemical Carbon Capture,Resource Efficiency, ,3.471515,1.0,No,Non-profit,0,Pivot,blank,Persist,blank,blank,"not terribly out of date research, but has tried several different chemistries over time",blank,https://sms.asu.edu/node/854,blank,blank,blank,Pivot,,0,7.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
