,companies,tagline,program,startDate,endDate,projectStatus,state,description,techCat1,techCat2,projecturl,companyCopy
44,Arizona State University (ASU),Solar-Concentrating Photovoltaic Mirror,FOCUS,06/01/2014,08/31/2017,ALUMNI,Arizona,"Arizona State University (ASU) is developing a hybrid solar energy system that modifies a CSP trough design, replacing the curved mirror with solar cells that collect both direct and diffuse rays of a portion of sunlight while reflecting the rest of the direct sunlight to a thermal absorber to generate heat. Electricity from the solar cells can be used immediately while the heat can be stored for later use.  Today's CSP systems offer low overall efficiency because they collect only direct sunlight, or the light that comes in a straight beam from the sun. ASU's technology could increase the amount of light that can be converted to electricity by collecting diffuse sunlight, or light that has been scattered by the atmosphere, clouds, and off the earth. By integrating curved solar cells into a hybrid trough system, ASU will effectively split the solar spectrum and use each portion of the spectrum in the most efficient way possible. Diffuse and some direct sunlight are converted into electricity in the solar cells, while the unused portion of the direct sunlight is reflected for conversion to heat.

",Distributed Energy Resources, ,?q=slick-sheet-project/solar-concentrating-photovoltaic-mirror,Arizona State University (ASU)
45,Arizona State University (ASU),Electrochemical Carbon Capture,OPEN 2012,03/12/2013,02/28/2017,ALUMNI,Arizona,"Arizona State University (ASU) is developing an innovative electrochemical technology for capturing the CO<sub>2</sub> released by coal-fired power plants. ASU's technology aims to cut both the energy requirements and cost of CO<sub>2</sub> capture technology in half compared to today's best methods. Presently, the only proven commercially viable technology for capturing CO<sub>2</sub> from coal plants uses a significant amount of energy, consuming roughly 40% of total power plant output. If installed today, this technology would increase the cost of electricity production by 85%. ASU is advancing a fundamentally new paradigm for CO<sub>2</sub> capture using novel electrochemical reactants to separate and capture CO<sub>2</sub>. This process could be easily scaled and integrated in conventional fossil fuel power generation facilities.
",Resource Efficiency, ,?q=slick-sheet-project/electrochemical-carbon-capture,Arizona State University (ASU)
46,Arizona State University (ASU),High-Temperature Topping Cells from LED Materials,FOCUS,05/30/2014,08/29/2017,ALUMNI,Arizona,"Arizona State University (ASU) is developing a solar cell that can maintain efficient operation at temperatures above 400°C. Like many other electronics, solar panels work best in cooler environments. As the temperature of traditional solar cells increases beyond 100°C, the energy output decreases markedly and components are more prone to failure. ASU's technology adapts semiconducting materials used in today's light-emitting diode (LED) industry to enable efficient, long-term high-temperature operation. These materials could allow the cells to maintain operation at much higher temperatures than today's solar cells, so they can be integrated as the sunlight-absorbing surface of a thermal receiver in the next generation of hybrid solar collectors. The solar cell would provide electricity using a portion of the incoming sunlight, while the receiver collects usable heat at high temperature that can be stored and dispatched to generate electricity as needed.

",Distributed Energy Resources, ,?q=slick-sheet-project/high-temperature-topping-cells-led-materials,Arizona State University (ASU)
47,Arizona State University (ASU),Diamond Power Transistors,SWITCHES,02/20/2014,07/15/2019,ALUMNI,Arizona,"Arizona State University (ASU) will develop a process to produce low-cost, vertical, diamond semiconductor devices for use in high-power electronics. Diamond is an excellent conductor of electricity when boron or phosphorus is added--or doped--into its crystal structures. In fact, diamond can withstand much higher temperatures with higher performance levels than silicon, which is used in the majority of today's semiconductor devices. However, growing uniformly doped diamond crystals is difficult and expensive. ASU's innovative diamond-growing process could create greater doping uniformity, helping to significantly lower the cost of diamond semiconductor devices.
",Electrical Efficiency, ,?q=slick-sheet-project/diamond-power-transistors,Arizona State University (ASU)
48,Arizona State University (ASU),Sensor Enabled Modeling of Future Distribution Systems with Distributed Energy Resources,OPEN 2018,08/07/2019,08/06/2022,ACTIVE,Arizona,"Arizona State University will develop learning-ready models and control tools to maintain sensor-rich distribution systems in the presence of high levels of DER and storage. This approach will include topology processing algorithms, load and DER models for system planning and operation, distribution system state estimation, optimal DER operational scheduling algorithms, and system-level DER control strategies that leverage inverter controls' flexibility. The project will alter distribution system operation from today's reactive, load-serving, and outage mitigation-focused approach to an active DER, load, and outage-managed, market-ready approach.
",Grid, ,?q=slick-sheet-project/sensor-enabled-modeling-future-distribution-systems-distributed-energy-resources,Arizona State University (ASU)
49,Arizona State University (ASU),Mining Air for Fuels and Fine chemicals,OPEN 2018,08/13/2019,08/12/2022,ACTIVE,Arizona,"ASU will collect CO<sub>2</sub> from air using a low-cost polymer membrane-based DAC process. The team will use water evaporation to drive to capture CO<sub>2</sub>, decrease emissions, and improve the energy efficiency of the overall carbon capture process. The project will use novel materials to create high-surface area membranes to continuously and actively pump CO<sub>2</sub> against a concentration gradient. The process will capture distributed CO<sub>2</sub> emissions that can be sequestered or converted into a wide range of energy-dense fuels, fuel feedstocks, or fine chemicals.
",Transportation Fuels, ,?q=slick-sheet-project/mining-air-fuels-and-fine-chemicals,Arizona State University (ASU)
50,Arizona State University (ASU),Insulating Particulate Coatings,SHIELD,12/13/2016,06/11/2020,ACTIVE,Arizona,"Arizona State University (ASU) and its partners will develop new windowpanes for single-pane windows to minimize heat losses and improve soundproofing without sacrificing durability or transparency. The team from ASU will produce a thermal barrier composed of silicon dioxide nanoparticles deposited on glass by supersonic aerosol spraying. The layer will minimize heat losses and be transparent at a substantially lower cost than can be done presently with silica aerogels, for example. A second layer deposited using the same method will reflect thermal radiation. The windowpanes will also incorporate layers of dense polymers to control condensation and adhesion, while improving strength. The coating is designed to last more than 20 years and be resistant to damage from scratching, peeling, or freezing of water vapor within the pores of the silica layer.

",Building Efficiency, ,?q=slick-sheet-project/insulating-particulate-coatings,Arizona State University (ASU)
51,Arizona State University (ASU),Stochastic Optimal Power Flow,NODES,07/11/2016,10/10/2020,ACTIVE,Arizona,"Arizona State University (ASU) will develop a stochastic optimal power flow (SOPF) framework, which would integrate uncertainty from renewable resources, load, distributed storage, and demand response technologies into bulk power system management in a holistic manner. The team will develop SOPF algorithms for the security-constrained economic dispatch (SCED) problem used to manage variability in the electric grid. The algorithms will be implemented in a software tool to provide system operators with real-time guidance to help coordinate between bulk generation and large numbers of DERs and demand response. ASU's project features unique data-analytics based short-term forecast for bulk and distributed wind and solar generation utilized by the advisory tool that generates real-time recommendations for market operators based on the SOPF algorithm outputs.
",Grid, ,?q=slick-sheet-project/stochastic-optimal-power-flow,Arizona State University (ASU)
52,Arizona State University (ASU),Effective Selective Area Growth,PNDIODES,09/18/2017,12/17/2020,ACTIVE,Arizona,"Arizona State University (ASU) proposes a comprehensive project to advance fundamental knowledge in the selective area doping of GaN using selective regrowth of gallium nitride (GaN) materials. This will lead to the development of high-performance GaN vertical power transistors. The ASU team aims to develop a better mechanistic understanding of these fundamental materials issues, by focusing on three broad areas. First, they will use powerful characterization methods to study fundamental materials properties such as defects, surface states, and investigate possible materials degradation mechanisms. Next, they will develop innovative epitaxial growth and fabrication processes such as Atomic Layer Etching and novel surface passivations, to tackle the materials engineering challenges related to selective area doping for GaN p-n junctions. Finally, they will apply their research to demonstrate randomly placed, reliable, contactable p-n junctions for GaN vertical power devices. If successful, this project will provide a path towards high efficiency, high power, small form factor, and high thermal performance GaN vertical power devices.

",Electrical Efficiency, ,?q=slick-sheet-project/effective-selective-area-growth,Arizona State University (ASU)
62,Battelle Memorial Institute,Cascade Reverse Osmosis Air Conditioning System,BEETIT,09/01/2010,12/30/2011,ALUMNI,Ohio,"Battelle Memorial Institute is developing a new air conditioning system that uses a cascade reverse osmosis-based absorption cycle. Analyses show that this new cycle can be as much as 60% more efficient than vapor compression, which is used in 90% of air conditioners. Traditional vapor-compression systems use polluting liquids for a cooling effect. Absorption cycles use benign refrigerants such as water, which is absorbed in a salt solution and pumped as liquid--replacing compression of vapor. The refrigerant is subsequently separated from absorbing salt using heat for re-use in the cooling cycle. Battelle is replacing thermal separation of refrigerant with a more efficient reverse osmosis process. Research has shown that the cycle is possible, but further investment will be needed to reduce the number of cascade reverse osmosis stages and therefore cost.
",Building Efficiency, ,?q=slick-sheet-project/cascade-reverse-osmosis-air-conditioning-system,Battelle Memorial Institute
66,Bettergy,Beyond Lithium-Ion Solid-State Battery,RANGE,12/01/2013,09/30/2015,ALUMNI,New York,"Bettergy is developing an inexpensive battery that uses a novel combination of solid, non-flammable materials to hold a greater amount of energy for use in EVs. Conventional EV batteries are typically constructed using costly materials and require heavy, protective components to ensure safety. Consequently, these heavy battery systems require the car to expend more energy, leading to reduced driving range. Bettergy will research a battery design that utilizes low-cost energy storage materials to reduce costs, and solid, non-flammable components that will not leak to improve battery safety. Bettergy plans to do this while reducing the battery weight for greater efficiency so vehicles can drive further on a single charge.
",Transportation Storage, ,?q=slick-sheet-project/beyond-lithium-ion-solid-state-battery,Bettergy
74,Boston University (BU),Decision-Support Software for Grid Operators,GENI,04/19/2013,03/31/2016,ALUMNI,Massachusetts,"The Boston University (BU) team is developing control technology to help grid operators more actively manage power flows and integrate renewables by optimally turning entire power lines on and off in coordination with traditional control of generation and load resources. The control technology being developed would provide grid operators with tools to help manage transmission congestion by identifying the facilities whose on/off status must change to lower generation costs, increase utilization of renewable resources and improve system reliability. The technology is based on fast optimization algorithms for the near to real-time change in the on/off status of transmission facilities and their software implementation.

",Grid, ,?q=slick-sheet-project/decision-support-software-grid-operators,Boston University (BU)
76,Brayton Energy,Low-Cost Dispatchable CSP Engine For Residential Power,OPEN 2018,03/25/2019,09/24/2020,ACTIVE,New Hampshire,"Brayton Energy is developing an efficient and low-cost distributed residential-scale combined heat and power system. This project seeks to advance and combine several complementary technologies--including metallic screw compressors, high temperature ceramic screw expanders, and a high-effectiveness recuperator. This combination will result in an integrated system with performance surpassing existing state-of-the-art systems. Brayton Energy's proposed technology would continuously deliver 2 kW of electrical power and enable efficient and economical distributed power systems that would radically transform how we heat and cool our homes.
",Generation, ,?q=slick-sheet-project/low-cost-dispatchable-csp-engine-residential-power,Brayton Energy
77,Brayton Energy ,1kW Recuperated Brayton-Cycle Engine,GENSETS,11/09/2015,11/08/2018,ALUMNI,New Hampshire,"Brayton Energy will develop a 1 kW recuperated Brayton cycle engine to produce heat and electricity for residential use. To begin the cycle, compressed air is preheated in a recuperator before adding fuel, then the air-fuel mix is ignited in a combustion chamber. The high temperature exhaust gases then expand through the turbine, providing some of the work that drives the compressor and also produces electricity in a generator. Major project innovations include the use of a rotary screw-type compressor and expander that operate in a sub-atmospheric Brayton cycle i.e. below atmospheric pressure. In addition, Brayton will also use their innovative patented recuperator that is currently in production, and an ultra-low emission combustor.
",Distributed Energy Resources, ,?q=slick-sheet-project/1kw-recuperated-brayton-cycle-engine,Brayton Energy
86,California Institute of Technology (Caltech),Micro-Optical Tandem Luminescent Solar Concentrator,MOSAIC,02/11/2016,08/10/2019,ALUMNI,California,"Researchers at the California Institute of Technology (Caltech) and their partners will design and fabricate a new CPV module with features that can capture both direct and diffuse sunlight. The team's approach uses a luminescent solar concentrator (LSC) sheet that includes quantum dots to capture and re-emit sunlight, micro-PV cells matched to the color of the light from the quantum dots, and a coating of advanced materials that enhance concentration and delivery of sunlight to the micro-PV cells. In addition, the light not captured by the quantum dots will impinge on a tandem solar cell beneath the LSC sheet. The design of the LSC will focus on lowering the number of expensive micro-PV cells needed within the concentrator sheet, which will reduce system costs, but still maintain high efficiency. The design will also allow the module to be effective without any tracking system, making it potentially attractive for all PV markets, including space-constrained rooftops.
",Distributed Energy Resources, ,?q=slick-sheet-project/micro-optical-tandem-luminescent-solar-concentrator,California Institute of Technology (Caltech)
87,California Institute of Technology (Caltech),Improving Solar Generation Efficiency with Solar Modules,OPEN 2012,03/28/2013,09/27/2016,ALUMNI,California,"The California Institute of Technology (Caltech) is developing a solar module that splits sunlight into individual color bands to improve the efficiency of solar electricity generation. For PV to maintain momentum in the marketplace, the energy conversion efficiency must increase significantly to result in reduced power generation costs. Most conventional PV modules provide 15-20% energy conversion efficiency because their materials respond efficiently to only a narrow band of color in the sun's spectrum, which represents a significant constraint on their efficiency. To increase the light conversion efficiency, Caltech will assemble a solar module that includes several cells containing several different absorbing materials, each tuned to a different color range of the sun's spectrum. Once light is separated into color bands, Caltech's tailored solar cells will match each separated color band to dramatically improve the overall efficiency of solar energy conversion. Caltech's approach to improve the efficiency of PV solar generation should enable improved cost-competitiveness for PV energy.
",Generation, ,?q=slick-sheet-project/improving-solar-generation-efficiency-solar-modules,California Institute of Technology (Caltech)
88,California Institute of Technology (Caltech),Scalable Distributed Automation System,GENI,03/01/2012,06/01/2015,ALUMNI,California,"The California Institute of Technology (Caltech) is developing a distributed automation system that allows distributed generators--solar panels, wind farms, thermal co-generation systems--to effectively manage their own power. To date, the main stumbling block for distributed automation systems has been the inability to develop software that can handle more than 100,000 distributed generators and be implemented in real time. Caltech's software could allow millions of generators to self-manage through local sensing, computation, and communication. Taken together, localized algorithms can support certain global objectives, such as maintaining the balance of energy supply and demand, regulating voltage and frequency, and minimizing cost. An automated, grid-wide power control system would ease the integration of renewable energy sources like solar power into the grid by quickly transmitting power when it is created, eliminating the energy loss associated with the lack of renewable energy storage capacity of the grid.
",Grid, ,?q=slick-sheet-project/scalable-distributed-automation-system,California Institute of Technology (Caltech)
89,California Institute of Technology (Caltech) ,Acoustic Wave Enhanced Catalysis,IDEAS,03/09/2015,09/30/2017,ALUMNI,California,"The California Institute of Technology (Caltech) team is using first-principles reasoning (i.e. a mode of examination that begins with the most basic physical principles related to an issue and ""builds up"" from there) and advanced computational modeling to ascertain the underlying mechanisms that cause acoustic waves to affect catalytic reaction pathways. The team will first focus their efforts on two types of reactions for which there is strong experimental evidence that acoustic waves can enhance catalytic activity: Carbon Monoxide (CO) oxidation, and Ethanol decomposition. Armed with this new understanding, the team will suggest promising applications for acoustic wave enhanced catalysis to new reactions with large energy and emissions footprints, such as ammonia synthesis. As an ARPA-E IDEAS project, this research is at a very early stage. However, this novel approach to acoustic wave enhanced catalysis has the potential to improve energy and resource efficiency across broad swathes of the chemical, industrial, and other sectors of the economy.
",Manufacturing Efficiency, ,?q=slick-sheet-project/acoustic-wave-enhanced-catalysis,California Institute of Technology (Caltech)
90,California Institute of Technology (Caltech) ,Heating and Compression Mechanisms for Fusion,ALPHA,10/01/2015,12/31/2018,ALUMNI,California,"Caltech, in coordination with Los Alamos National Laboratory (LANL), will investigate the scaling of adiabatic heating of plasma by propelling magnetized plasma jets into stationary heavy gases and/or metal walls. This is the reverse of the process that would occur in an actual fusion reactor - where a gas or metal liner would compress the plasma - but will provide experimental data to assess the magneto-inertial fusion approach. By using this alternative frame of reference, the researchers will be able to conduct experiments more frequently and at a lower cost because the experimental setup is non-destructive. The team will investigate the jet-target collision using many experiments with a wide range of parameters to determine the actual equation of state relating compression, change in magnetic field, and temperature increase. The experimental work will be supplemented with advanced 3D computer models. If successful, these results will show that compressional heating by a liner is a viable method for increasing temperatures to the levels required for magneto-inertial fusion. The study will also provide critical information on the interactions and limitations for a variety of possible driver and plasma target combinations being developed across the ALPHA program portfolio.

",Generation, ,?q=slick-sheet-project/heating-and-compression-mechanisms-fusion,California Institute of Technology (Caltech)
93,Carnegie Mellon University (CMU),"High Energy Density Modular Heat Exchangers through Design, Materials Processing, and Manufacturing Innovations",HITEMMP,09/16/2019,12/15/2022,ACTIVE,Pennsylvania,"The Carnegie Mellon team will develop a modular radial heat exchanger that includes flow through pin arrays and counter-flow headers. The team will fabricate the heat exchanger via laser powder bed fusion additive manufacturing, with superalloys selected for high temperature and high pressure capability. Multiple approaches will be used to smooth the heat exchanger components' internal passages to minimize pressure drop. Developing 3D metals printing technology for high temperature heat exchangers would radically remove constraints on heat exchanger design, making it a potentially disruptive technology.

",Generation, ,?q=slick-sheet-project/high-energy-density-modular-heat-exchangers-through-design-materials-processing,Carnegie Mellon University (CMU)
94,Carnegie Mellon University (CMU),Magnet Technology for Power Converters,Solar ADEPT,02/27/2012,03/28/2015,ALUMNI,Pennsylvania,"Carnegie Mellon University (CMU) is developing a new nanoscale magnetic material that will reduce the size, weight, and cost of utility-scale PV solar power conversion systems that connect directly to the grid. Power converters are required to turn the energy that solar power systems create into useable energy for the grid. The power conversion systems made with CMU's nanoscale magnetic material have the potential to be 150 times lighter and significantly smaller than conventional power conversion systems that produce similar amounts of power.
",Electrical Efficiency, ,?q=slick-sheet-project/magnet-technology-power-converters,Carnegie Mellon University (CMU)
96,Case Western Reserve University,Segmented Cell for Electrowinning Titanium,METALS,01/01/2014,06/30/2016,ALUMNI,Ohio,"Case Western Reserve University is developing a specialized electrochemical cell  that produces titanium from titanium salts using a series of layered membranes. Conventional titanium production is expensive and inefficient due to the high temperatures and multiple process steps required. The Case Western concept is to reduce the energy required for titanium metal production using an electrochemical reactor with multiple, thin membranes. The multi-membrane concept would limit side reactions and use one third of the energy required by today's production methods.
",Manufacturing Efficiency, ,?q=slick-sheet-project/segmented-cell-electrowinning-titanium,Case Western Reserve University
97,Case Western Reserve University,Iron-Nitride Alloy Magnets,REACT,01/01/2012,06/30/2015,ALUMNI,Ohio,"Case Western Reserve University is developing a highly magnetic iron-nitride alloy to use in the magnets that power electric motors found in EVs and renewable power generators. This would reduce the overall price of the motor by eliminating the expensive imported rare earth minerals typically found in today's best commercial magnets. The iron-nitride powder is sourced from abundant and inexpensive materials found in the U.S. The ultimate goal of this project is to demonstrate this new magnet system, which contains no rare earths, in a prototype electric motor. This could significantly reduce the amount of greenhouse gases emitted in the U.S. each year by encouraging the use of clean alternatives to oil and coal.

",Resource Efficiency, ,?q=slick-sheet-project/iron-nitride-alloy-magnets,Case Western Reserve University
98,Case Western Reserve University,Virtual Building Energy Audits,OPEN 2015,05/10/2016,12/31/2019,ALUMNI,Ohio,"Case Western Reserve University will develop a data analytics approach to building-efficiency diagnosis and prognostics. Their tool, called EDIFES (Energy Diagnostics Investigator for Efficiency Savings), will not require complex or expensive computational simulation, physical audits, or building automation systems. Instead, the tool will map a building's energy signature through a rigorous analysis of multiple datastreams. Combining knowledge of specific climatic, weather, solar insolation, and utility meter data through data assembly, the team will analyze these time-series datastreams to reveal patterns and relationships that were previously ignored or neglected. EDIFES will provide a virtual energy audit combined with a predictive energy usage calculator for efficiency solutions without setting foot in a building. The team's goal is to design EDIFES in such a way that beyond time-series, whole building utility data, only minimal information will be required from the building owner for accurate virtual energy audits that identify efficiency problems and solutions and provide continuous efficiency monitoring. EDIFES will be a resource for equipment providers and contractors to illustrate replacement equipment value, a mechanism for utilities to measure the impact of energy efficiency programs, and a tool for financiers to evaluate the potential risk and opportunity of efficiency investments. EDIFES will target the light commercial building space where minimal tools are available and a high potential for savings exists.

",Building Efficiency, ,?q=slick-sheet-project/virtual-building-energy-audits,Case Western Reserve University
99,Case Western Reserve University,Titanium-Alloy Power Capacitor,ADEPT,09/01/2010,11/30/2012,ALUMNI,Ohio,"There is a constant demand for better performing, more compact, lighter-weight, and lower-cost electronic devices. Unfortunately, the materials traditionally used to make components for electronic devices have reached their limits. Case Western Reserve University is developing capacitors made of new materials that could be used to produce the next generation of compact and efficient high-powered consumer electronics and electronic vehicles. A capacitor is an important component of an electronic device. It stores an electric charge and then discharges it into an electrical circuit in the device. Case Western is creating its capacitors from titanium, an abundant material extracted from ore which can be found in the U.S. Case Western's capacitors store electric charges on the surfaces of films, which are grown on a titanium alloy electrode that is formed as a spinal column with attached branches. The new material and spine design make the capacitor smaller and lighter than traditional capacitors, and they enable the component to store 300% more energy than capacitors of the same weight made of tantalum, the current industry standard. Case Western's titanium-alloy capacitors also spontaneously self-repair, which prolongs their life.
",Storage, ,?q=slick-sheet-project/titanium-alloy-power-capacitor,Case Western Reserve University
