,Unnamed: 0,companies,description,endDate,program,projectStatus,projecturl,startDate,state,tagline,techCat1,techCat2,awardAmount
10,10,Arizona State University (ASU),"Arizona State University (ASU) proposes a comprehensive project to advance fundamental knowledge in the selective area doping of GaN using selective regrowth of gallium nitride (GaN) materials. This will lead to the development of high-performance GaN vertical power transistors. The ASU team aims to develop a better mechanistic understanding of these fundamental materials issues, by focusing on three broad areas. First, they will use powerful characterization methods to study fundamental materials properties such as defects, surface states, and investigate possible materials degradation mechanisms. Next, they will develop innovative epitaxial growth and fabrication processes such as Atomic Layer Etching and novel surface passivations, to tackle the materials engineering challenges related to selective area doping for GaN p-n junctions. Finally, they will apply their research to demonstrate randomly placed, reliable, contactable p-n junctions for GaN vertical power devices. If successful, this project will provide a path towards high efficiency, high power, small form factor, and high thermal performance GaN vertical power devices.

",9/17/2019,PNDIODES,ACTIVE,?q=slick-sheet-project/effective-selective-area-growth,9/18/2017,Arizona,Effective Selective Area Growth,Electrical Efficiency, ,1849989
11,11,Arizona State University (ASU),"Arizona State University (ASU) will develop a process to produce low-cost, vertical, diamond semiconductor devices for use in high-power electronics. Diamond is an excellent conductor of electricity when boron or phosphorus is added--or doped--into its crystal structures. In fact, diamond can withstand much higher temperatures with higher performance levels than silicon, which is used in the majority of today's semiconductor devices. However, growing uniformly doped diamond crystals is difficult and expensive. ASU's innovative diamond-growing process could create greater doping uniformity, helping to significantly lower the cost of diamond semiconductor devices.
",7/15/2019,SWITCHES,ACTIVE,?q=slick-sheet-project/diamond-power-transistors,2/20/2014,Arizona,Diamond Power Transistors,Electrical Efficiency, ,2303865
12,12,Arizona State University (ASU),"Arizona State University (ASU) will develop a stochastic optimal power flow (SOPF) framework, which would integrate uncertainty from renewable resources, load, distributed storage, and demand response technologies into bulk power system management in a holistic manner. The team will develop SOPF algorithms for the security-constrained economic dispatch (SCED) problem used to manage variability in the electric grid. The algorithms will be implemented in a software tool to provide system operators with real-time guidance to help coordinate between bulk generation and large numbers of DERs and demand response. ASU's project features unique data-analytics based short-term forecast for bulk and distributed wind and solar generation utilized by the advisory tool that generates real-time recommendations for market operators based on the SOPF algorithm outputs.
",7/10/2019,NODES,ACTIVE,?q=slick-sheet-project/stochastic-optimal-power-flow,7/11/2016,Arizona,Stochastic Optimal Power Flow,Grid, ,3000000
13,13,Aspen Aerogels,"Aspen Aerogels and its partners will develop a cost-effective, silica aerogel-insulated windowpane to retrofit single-pane windows. Silica aerogels are well-known, highly porous materials that are strongly insulating, resisting the flow of heat. The team will advance their silica aerogels to have a combination of high visible light transmittance, low haze, and low thermal conductivity. The team's design consists of an aerogel sheet sandwiched between two glass panes to make a double glazed pane. This silica aerogel-insulated pane will be manufactured using an innovative supercritical drying method to significantly reduce the aerogel drying time, thereby increasing productivity and reducing cost. Aspen Aerogels' windowpane could be used to replace single panes in windows where thickness or weight preclude replacement with common double-pane units and at substantially lower cost.

",11/17/2019,SHIELD,ACTIVE,?q=slick-sheet-project/aerogel-insulated-pane,11/18/2016,Massachusetts,Aerogel Insulated Pane,Building Efficiency, ,2751377
14,14,Ayar Labs,"Ayar Labs will develop new intra-rack configurations using silicon-based photonic (optical) transceivers, optical devices that transmit and receive information.  The team will additionally develop methods to package their photonic transceiver with an electronic processor chip. Marrying these two components will reduce the size and cost of the chip system. Integrated packaging also moves the photonics closer to the chip, which increases energy efficiency by reducing the amount of ""hops"" between components. If successful, the project will prove that chip packages incorporating both optics and processors, or optics and switches, are possible. This will finally allow optics to penetrate deep into an electrical system and relieve chip interconnect bottlenecks, enabling system architecture improvements to achieve nearly double the energy efficiency with a structure more optimized for future data-use cases such as ""big data"" analytics and machine learning.

",8/3/2019,ENLITENED,ACTIVE,?q=slick-sheet-project/optical-communication-system,8/4/2017,California,Optical Communication System,Electrical Efficiency, ,1999999
15,15,Bettergy,"Bettergy will develop a catalytic membrane reactor to allow on-site hydrogen generation from ammonia. Ammonia is much easier to store and transport than hydrogen, but on-site hydrogen generation will not be viable until a number of technical challenges have been met. The team is proposing to develop a system that overcomes the issues caused by the high cracking temperature and the use of expensive catalysts. Bettergy proposes a low temperature, ammonia-cracking membrane reactor system comprised of a non-precious metal ammonia cracking catalyst and a robust composite membrane. A one-step cracking process will be used to convert ammonia into hydrogen and nitrogen, with the hydrogen passing through the selective membrane leaving only nitrogen as the byproduct. If the team is successful, the conversion efficiency will be higher than conventional methods because the hydrogen is removed from the system as it is being produced. The low-temperature reactor will provide greater reliability, ease of operation, and cost effectiveness to hydrogen fueling stations. The team's technology could also be applicable for stationary fuel cell systems and the semiconductor, metallurgy, chemical, aerospace, and telecommunications industries.
",6/8/2020,REFUEL,ACTIVE,?q=slick-sheet-project/ammonia-cracking-membrane-reactor,6/9/2017,New York,Ammonia Cracking Membrane Reactor,Transportation Fuels, ,1524606
16,16,Boston University (BU),"Boston University (BU) will develop an occupancy sensing system to estimate the number of people in commercial spaces and monitor how this number changes over time. Their Computational Occupancy Sensing SYstem (COSSY) will be designed to deliver robust performance by combining data from off-the-shelf sensors and cameras. Data streams will be interpreted by advanced detection algorithms to provide an occupancy estimate. All processing will be performed locally to mitigate security concerns. The system will be designed to accommodate various room sizes and geometries. Occupancy data will be sent to the building control system to manage the heating, cooling, and air flow in order to maximize building energy efficiency and provide optimal human comfort. Energy costs of heating and cooling can be reduced by up to 30% by training the building management system to deliver the right temperature air when and where it is needed. The system's use of components readily available in the market today promises low cost and fast commercialization.

",4/30/2021,SENSOR,ACTIVE,?q=slick-sheet-project/occupancy-sensing-commercial-venues,5/1/2018,Massachusetts,Occupancy Sensing for Commercial Venues,Building Efficiency, ,998728
17,17,Brayton Energy,"el-panel panel-col-middle"">
<div class=""inside"">
",8/27/2021,DAYS,ACTIVE,?q=slick-sheet-project/more-information-braytons-project-coming-soon,1/28/2019,New Hampshire,More information on Brayton's project is coming soon!,"></div></div><div class=""field field-name-field-project-start field-type-datetime field-label-inline clearfix""><div class=""field-label"">Project Term:?</div><div class=""field-items""><div class=""field-item even""><div class=""date-display-range""><span class=""date-display-start"" content=""2019-01-28T00:00:00-05:00"" datatype=""xsd:dateTime"" property=""dc:date"">01/28/2019</span> to <span class=""date-display-end"" content=""2021-08-27T00:00:00-04:00"" datatype=""xsd:dateTime"" property=""dc:date"">08/27/2021</span></div></div></div></div><div class=""field field-name-field-project-status field-type-text field-label-inline clearfix""><div class=""field-label"">Project Status:?</div><div class=""field-items""><div class=""field-item even"">ACTIVE</div></div></div><div class=""field field-name-field-project-state field-type-list-text field-label-inline clearfix""><div class=""field-label"">Project State:?</div><div class=""field-items""><div class=""field-item even"">New Hampshire</div></div></div></div>
</div", ,2226001
18,18,Bridger Photonics,"Bridger Photonics?plans to build a mobile methane sensing system capable of surveying a 10 meter by 10 meter well platform in just over five minutes with precision that exceeds existing technologies used for large-scale monitoring. Bridger's complete light-detection and ranging (LiDAR) remote sensing system will use a novel, near-infrared fiber laser amplifier in a system mounted on a ground vehicle or an unmanned aerial vehicle (UAV), which can be programmed to survey multiple wellpads a day. Data captured by the LiDAR system will provide 3-D topographic and methane absorption imagery using integrated inertial navigation and global positioning system data to show precisely where a methane leak may be occurring and at what rate. This approach will also be used to identify objects on the wellsite to better inform the search optimization. Bridger's goal is for its devices to be able to service up to 85 sites, and thus cost $1,400 to $2,220 a year to operate per wellsite. By advancing an affordable methane detection system that can both pinpoint and assess leakage quickly, Bridger's system could help companies repair methane leaks and catalyze an overall reduction in methane emissions from natural gas development.

",7/14/2019,MONITOR,ACTIVE,?q=slick-sheet-project/mobile-methane-sensing-system,6/15/2015,Montana,Mobile Methane Sensing System,Resource Efficiency, ,2806529
19,19,C.A. Goudey &amp; Associates,"The C.A. Goudey and Associates team will lead a MARINER Category 2 project to develop an autonomous marine tow vessel to enable deployment of large-scale seaweed farming systems. Essentially all marine transportation systems rely on manned vessels. These systems are labor-intensive and depend on boats and ships that are a poor match to the tasks associated with deployment and operations of large-scale seaweed farming systems. This project seeks to remove the costs and requirements of manned systems through the use of slow-moving, autonomous tow vessels. Such vessels will enable macroalgae farming systems over larger ocean areas by eliminating the schedule constraints of a manned vessel, and the misapplication of high-speed boats to towing. Once operational, autonomous vessels could be used for a number of farming tasks such as towing pre-seeded longlines to the farm, transporting harvested seaweed back to collection points, or relocation of critical marine infrastructure. Where manned activities are essential, farm personnel can return to shore while the products of their labor make the same journey at a slower pace and significantly lower costs. If successful, this towing solution can be integrated into complete macroalgae farming systems to reduce high operating costs attributable to fuel and labor.

",4/5/2021,MARINER,ACTIVE,?q=slick-sheet-project/autonomous-tow-vessels,4/6/2018,Massachusetts,Autonomous Tow Vessels,Transportation Fuels, ,909901
20,20,California Institute of Technology (Caltech),"Researchers at the California Institute of Technology (Caltech) and their partners will design and fabricate a new CPV module with features that can capture both direct and diffuse sunlight. The team's approach uses a luminescent solar concentrator (LSC) sheet that includes quantum dots to capture and re-emit sunlight, micro-PV cells matched to the color of the light from the quantum dots, and a coating of advanced materials that enhance concentration and delivery of sunlight to the micro-PV cells. In addition, the light not captured by the quantum dots will impinge on a tandem solar cell beneath the LSC sheet. The design of the LSC will focus on lowering the number of expensive micro-PV cells needed within the concentrator sheet, which will reduce system costs, but still maintain high efficiency. The design will also allow the module to be effective without any tracking system, making it potentially attractive for all PV markets, including space-constrained rooftops.
",8/10/2019,MOSAIC,ACTIVE,?q=slick-sheet-project/micro-optical-tandem-luminescent-solar-concentrator,2/11/2016,California,Micro-Optical Tandem Luminescent Solar Concentrator,Distributed Generation, ,2999594
21,21,Case Western Reserve University,"Case Western Reserve University will develop a data analytics approach to building-efficiency diagnosis and prognostics. Their tool, called EDIFES (Energy Diagnostics Investigator for Efficiency Savings), will not require complex or expensive computational simulation, physical audits, or building automation systems. Instead, the tool will map a building's energy signature through a rigorous analysis of multiple datastreams. Combining knowledge of specific climatic, weather, solar insolation, and utility meter data through data assembly, the team will analyze these time-series datastreams to reveal patterns and relationships that were previously ignored or neglected. EDIFES will provide a virtual energy audit combined with a predictive energy usage calculator for efficiency solutions without setting foot in a building. The team's goal is to design EDIFES in such a way that beyond time-series, whole building utility data, only minimal information will be required from the building owner for accurate virtual energy audits that identify efficiency problems and solutions and provide continuous efficiency monitoring. EDIFES will be a resource for equipment providers and contractors to illustrate replacement equipment value, a mechanism for utilities to measure the impact of energy efficiency programs, and a tool for financiers to evaluate the potential risk and opportunity of efficiency investments. EDIFES will target the light commercial building space where minimal tools are available and a high potential for savings exists.

",7/9/2019,OPEN 2015,ACTIVE,?q=slick-sheet-project/virtual-building-energy-audits,5/10/2016,Ohio,Virtual Building Energy Audits,Building Efficiency, ,1433281
22,22,Catalina Sea Ranch,"The Catalina Sea   Ranch team will lead a MARINER Category 1 project to design an advanced giant   kelp cultivation system for deployment on open ocean sites to assess their   ability to produce economical and sustainable biomass for a future biofuels   industry. The team plans to develop solutions to the main challenges facing   macroalgae cultivation: scalability of seeding, cultivation, and harvest;   survivability of the offshore installations; energy use and ecosystem impact;   predictability of yield and quality of harvested biomass; and cost   effectiveness. The effort will begin by optimizing macroalgae cultivation in   the open ocean through site-specific adaption and techno-economic modeling of   a proven offshore cultivation system. In collaboration with its commercial   partners, the team will then use a direct seeding method, which deposits   young plants onto specially designed substrates to save money and time during   the hatchery and deployment phase. Additionally, the team's mechanical   partial harvest technology, which allows the same plant to be cut multiple   times, is expected to further reduce annual seeding costs compared to the   state of the art systems.

",7/15/2019,MARINER,ACTIVE,?q=slick-sheet-project/design-large-scale-macroalgae-systems,5/1/2018,California,Design of Large Scale Macroalgae Systems,Transportation Fuels, ,495022
23,23,Chemtronergy,"Chemtronergy will develop an advanced solid oxide fuel cell (SOFC) system to electrochemically convert ammonia into electricity. Conventional SOFC systems are manufactured using ceramic fabrication techniques that are time-consuming, energy-intensive, and have high material costs. SOFCs also typically operate at 700-900?C to chemically activate the fuel feedstock and ensure that it is sufficiently cracked or reformed for electrochemical use. This high temperature, however, imposes harsh operating conditions and stresses on the materials, which further increases costs. To address these challenges, the team proposes to lower the operating temperature below 650?C and to develop anode, cathode, and electrolyte materials using a combination of advanced materials discovery, reaction kinetics modeling, and 3D printing technology for large-scale rapid prototyping. The team hopes to greatly reduce the cost of SOFC systems while providing a distributed power-generating option with high efficiency, long life, and a reduced carbon footprint.

",8/31/2019,REFUEL,ACTIVE,?q=slick-sheet-project/solid-oxide-fuel-cell-system,11/15/2017,Utah,Solid Oxide Fuel Cell System,Transportation Fuels, ,1099999
24,24,Clemson University,"Clemson University is partnering with Carnegie Mellon University (CMU), the Donald Danforth Plant Science Center, and Near Earth Autonomy to develop and operate an advanced plant phenotyping system, incorporating modeling and rapid prediction of plant performance to drive improved yield and compositional gains for energy sorghum.  The team will plant and phenotype one of the largest sets of plant types in the TERRA program. Researchers will design and build two phenotyping platforms - an aerial sensor platform and a ground-based platform. The aerial platform, developed by Near Earth Autonomy, is a fast moving, autonomous helicopter outfitted with sensors that will collect image data from above. The ground platforms are customized robots from CMU that will drive between crop rows below the plant canopy and collect data using two distinct sensor suites.  The first will use sophisticated cameras and imaging algorithms to develop detailed 3D models of individual plants and their canopy structure.  The second will have the unique ability to directly contact the plant in order to systematically measure physical characteristics that were previously measured manually with labor-intensive, low-throughput methods. The team will use machine learning techniques to analyze the data gathered from the phenotyping systems and translate this into predictive algorithms for accelerated breeding of improved biofuel plants.

",5/28/2019,TERRA,ACTIVE,?q=slick-sheet-project/breeding-high-yielding-bioenergy-sorghum,9/30/2015,South Carolina,Breeding High Yielding Bioenergy Sorghum,Transportation Fuels, ,6149998
25,25,Colorado School of Mines,"The Colorado School of Mines will develop a hybrid power generation system that leverages a pressurized, intermediate-temperature solid oxide fuel cell (SOFC) stack and an advanced low-energy-content fuel internal combustion (IC) engine. The custom-designed, turbocharged IC engine will use the exhaust from the anode side of the SOFC as fuel and directly drive a specialized compressor-expander that supplies pressurized air to the fuel cell. High capital costs and poor durability have presented significant barriers to the widespread commercial adoption of SOFC technology. In part, these challenges have been associated with SOFC high operating temperatures of 750-1000?C (1382-1832?F). This team will use a robust, metal-supported SOFC (600?C or 1112?F) technology that will provide greater durability, better heat management, and superior sealing over standard ceramic-supported SOFC designs. The modified diesel IC engine in a hybrid system provides a low-cost, controllable solution to use the remaining chemical energy in the fuel cell exhaust. The system will use the hot air and exhaust gases it produces to keep components running at the proper temperatures to maximize overall efficiency. The team will also develop supporting equipment, including a specialized compressor-expander and power inverter. The new system has the potential to enable highly-efficient, cost-effective distributed power generation.
",9/6/2020,INTEGRATE,ACTIVE,?q=slick-sheet-project/high-efficiency-low-cost-robust-hybrid-sofcic-engine-power-generator,9/7/2018,Colorado,"High Efficiency, Low Cost &amp; Robust Hybrid SOFC/IC Engine Power Generator",Distributed Generation, ,3081864
26,26,Colorado School of Mines,"The Colorado School of Mines is developing a mixed proton and oxygen ion conducting electrolyte that will allow a fuel cell to operate at temperatures less than 500?C. By using a proton and oxygen ion electrolyte, the fuel cell stack is able to reduce coking - which clogs anodes with carbon deposits - and enhance the process of turning hydrocarbon fuels into hydrogen. Today's ceramic fuel cells are based on oxygen-ion conducting electrolytes and operate at high temperatures. Mines' advanced mixed proton and oxygen-ion conducting fuel cells will operate on lower temperatures, and have the capacity to run on hydrogen, ethanol, methanol, or methane, representing a drastic improvement over using only oxygen-ion conducting electrolytes. Additionally, the fuel cell will leverage a recently developed ceramic processing technique that decreases fuel cell manufacturing cost and complexity. Additionally, their technology will reduce the number of manufacturing steps from 15 to 3, drastically reducing the cost of distributed generation applications.

",9/21/2020,REBELS,ACTIVE,?q=slick-sheet-project/fuel-flexible-protonic-ceramic-fuel-cell-stack,10/1/2014,Colorado,Fuel-Flexible Protonic Ceramic Fuel Cell Stack,Distributed Generation,Storage,3997457
27,27,Colorado State University (CSU) ,"Colorado State University (CSU) will develop a high-throughput ground-based robotic platform that will characterize a plant's root system and the surrounding soil chemistry to better understand how plants cycle carbon and nitrogen in soil. CSU's robotic platform will use a suite of sensor technologies to investigate crop genetic-environment interaction and generate data to improve models of chemical cycling of soil carbon and nitrogen in agricultural environments. The platform will collect information on root structure and depth, and deploy a novel spectroscopic technology to quantify levels of carbon and other key elements in the soil.   The technology proposed by the Colorado State team aims to speed the application of genetic and genomic tools for the discovery and deployment of root traits that control plant growth and soil carbon cycling. Crops will be studied at two field sites in Colorado and Arizona with diverse advantages and challenges to crop productivity, and the data collected will be used to develop a sophisticated carbon flux model. The sensing platform will allow characterization of the root systems in the ground and lead to improved quantification of soil health. The collected data will be managed and analyzed through the CyVerse ""big data"" computational analytics platform, enabling public access to data connecting aboveground plant traits with belowground soil carbon accumulation.

",10/20/2020,ROOTS,ACTIVE,?q=slick-sheet-project/root-genetics-drought-and-carbon-adaptation,7/3/2017,Colorado,Root Genetics for Drought and Carbon Adaptation,Transportation Fuels, ,6142319
28,28,Colorado State University (CSU) ,"Colorado State University (CSU) and its partners are developing an inexpensive, polymer-based, energy-saving material that can be applied to windows as a retrofit. The team will develop a coating consisting of polymers that can rapidly self-assemble into orderly layers that will reflect infrared wavelengths but pass visible light. As such, the coating will help reduce building cooling requirements and energy use without darkening the room. The polymers can be applied as a paint, meaning that deployment could be faster, less expensive, and more widespread because homeowners can apply the window coatings themselves instead of paying for a technician. The team estimates that up to 75% of the dry film could be produced from commodity plastic, which has the potential to significantly reduce the current costs associated with manufacturing window coatings.

",8/20/2019,OPEN 2015,ACTIVE,?q=slick-sheet-project/heat-reflective-window-coating,5/5/2016,Colorado,Heat-Reflective Window Coating,Building Efficiency, ,5205217
29,29,Colorado State University (CSU) ,"Colorado State University (CSU) and its partners, Modine and Barber-Nichols, will develop a thermally powered supplemental cooling system for thermoelectric power plants that will enable dry cooling. The technology features a transformational turbo-compressor and low-cost, high-performance heat exchangers that are currently mass produced for the HVAC industry. To operate, low-grade waste heat from the power plant combustion exhaust gases, or flue gas, is captured and used to power a highly efficient turbo-compressor system. The compressor pressurizes vapor in a refrigeration cycle to remove up to 30% of the power plant cooling load. The cooling system utilizes proprietary technology to maximize the turbo compressor and total system efficiencies, enabling a low production cost and an overall smaller, less expensive dry-cooling system. As a result, the cooling system could allow thermoelectric power plants to maintain a high efficiency while eliminating the use of local water resources. Furthermore, due to its very high performance, the turbo-compression cooling system has potential applications in a range of other markets, including commercial HVAC systems, data center cooling, and distributed cooling industries.
",5/9/2019,ARID,ACTIVE,?q=slick-sheet-project/ultra-efficient-turbo-compression-cooling,11/10/2015,Colorado,Ultra-Efficient Turbo-Compression Cooling,Resource Efficiency, ,2087586
